Protoss_Pylon2 141; Protoss_Pylon 47; Protoss_Opening reaver_drop; Protoss_Assimilator 99; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 286; Protoss_Expansion 650; Protoss_Arbiter_Tribunal 937; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon -1; Protoss_Stargate 846; Protoss_Citadel_of_Adun 302; Protoss_Gateway2 451; Protoss_Forge 737; Protoss_Templar_Archives 345; Protoss_Photon_Cannon 770; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 96; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 108; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 327; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 287; Protoss_Fleet_Beacon 506; Protoss_Stargate 452; Protoss_Citadel_of_Adun 530; Protoss_Gateway2 159; Protoss_Forge -1; Protoss_Templar_Archives 1003; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 141; 
Protoss_Pylon2 224; Protoss_Pylon 48; Protoss_Opening ; Protoss_Assimilator 136; Protoss_Gateway 125; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 108; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 312; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 583; Protoss_Gateway2 156; Protoss_Forge 837; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 167; 
Protoss_Pylon2 143; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 100; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 333; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 274; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 209; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 124; 
Protoss_Pylon2 109; Protoss_Pylon 47; Protoss_Opening two_gates; Protoss_Assimilator 127; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 511; Protoss_Expansion 274; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 314; Protoss_Fleet_Beacon 803; Protoss_Stargate 743; Protoss_Citadel_of_Adun 464; Protoss_Gateway2 285; Protoss_Forge 608; Protoss_Templar_Archives 700; Protoss_Photon_Cannon 638; Protoss_Cybernetics_Core 161; 
Protoss_Pylon2 136; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 100; Protoss_Gateway 80; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 156; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 551; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 372; Protoss_Gateway2 190; Protoss_Forge 555; Protoss_Templar_Archives 665; Protoss_Photon_Cannon 594; Protoss_Cybernetics_Core 165; 
Protoss_Pylon2 136; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 91; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 284; Protoss_Expansion 330; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 225; Protoss_Fleet_Beacon 598; Protoss_Stargate 514; Protoss_Citadel_of_Adun 456; Protoss_Gateway2 416; Protoss_Forge 532; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 584; Protoss_Cybernetics_Core 118; 
Protoss_Pylon2 137; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 100; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 246; Protoss_Arbiter_Tribunal 710; Protoss_Robotics_Facility 284; Protoss_Fleet_Beacon -1; Protoss_Stargate 627; Protoss_Citadel_of_Adun 398; Protoss_Gateway2 175; Protoss_Forge 560; Protoss_Templar_Archives 608; Protoss_Photon_Cannon 688; Protoss_Cybernetics_Core 119; 
Protoss_Pylon2 142; Protoss_Pylon 50; Protoss_Opening fast_dt; Protoss_Assimilator 101; Protoss_Gateway 80; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 308; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 205; Protoss_Gateway2 224; Protoss_Forge -1; Protoss_Templar_Archives 246; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 138; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 97; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 404; Protoss_Expansion 247; Protoss_Arbiter_Tribunal 745; Protoss_Robotics_Facility 288; Protoss_Fleet_Beacon -1; Protoss_Stargate 579; Protoss_Citadel_of_Adun 505; Protoss_Gateway2 321; Protoss_Forge 643; Protoss_Templar_Archives 590; Protoss_Photon_Cannon 678; Protoss_Cybernetics_Core 119; 
Protoss_Pylon2 133; Protoss_Pylon 49; Protoss_Opening reaver_drop; Protoss_Assimilator 104; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 296; Protoss_Expansion 429; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 221; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 502; Protoss_Gateway2 257; Protoss_Forge -1; Protoss_Templar_Archives 756; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 154; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 99; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 305; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 250; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 145; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 163; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 91; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 260; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 404; Protoss_Fleet_Beacon 638; Protoss_Stargate 558; Protoss_Citadel_of_Adun 477; Protoss_Gateway2 157; Protoss_Forge 471; Protoss_Templar_Archives 1012; Protoss_Photon_Cannon 518; Protoss_Cybernetics_Core 119; 
Protoss_Pylon2 145; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 158; Protoss_Gateway 130; Protoss_Robotics_Support_Bay 445; Protoss_Expansion 113; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 383; Protoss_Fleet_Beacon 633; Protoss_Stargate 562; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 204; Protoss_Forge 855; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 887; Protoss_Cybernetics_Core 185; 
Protoss_Pylon2 140; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 91; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 380; Protoss_Expansion 350; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 218; Protoss_Fleet_Beacon 830; Protoss_Stargate 779; Protoss_Citadel_of_Adun 691; Protoss_Gateway2 266; Protoss_Forge 683; Protoss_Templar_Archives 793; Protoss_Photon_Cannon 726; Protoss_Cybernetics_Core 119; 
Protoss_Pylon2 154; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 97; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 450; Protoss_Expansion 427; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 261; Protoss_Fleet_Beacon 1053; Protoss_Stargate 995; Protoss_Citadel_of_Adun 664; Protoss_Gateway2 138; Protoss_Forge 786; Protoss_Templar_Archives 934; Protoss_Photon_Cannon 829; Protoss_Cybernetics_Core 121; 
Protoss_Pylon2 173; Protoss_Pylon 48; Protoss_Opening nony; Protoss_Assimilator 92; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 360; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 249; Protoss_Gateway2 138; Protoss_Forge -1; Protoss_Templar_Archives 293; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 120; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 136; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 93; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 238; Protoss_Arbiter_Tribunal 787; Protoss_Robotics_Facility 397; Protoss_Fleet_Beacon -1; Protoss_Stargate 696; Protoss_Citadel_of_Adun 492; Protoss_Gateway2 286; Protoss_Forge 649; Protoss_Templar_Archives 567; Protoss_Photon_Cannon 715; Protoss_Cybernetics_Core 119; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 154; Protoss_Pylon 43; Protoss_Opening fast_dt; Protoss_Assimilator 90; Protoss_Gateway 68; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 332; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 439; Protoss_Fleet_Beacon 719; Protoss_Stargate 657; Protoss_Citadel_of_Adun 183; Protoss_Gateway2 232; Protoss_Forge -1; Protoss_Templar_Archives 226; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 115; 
Protoss_Pylon2 134; Protoss_Pylon 47; Protoss_Opening speedzeal; Protoss_Assimilator 91; Protoss_Gateway 74; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 353; Protoss_Arbiter_Tribunal 559; Protoss_Robotics_Facility 193; Protoss_Fleet_Beacon -1; Protoss_Stargate 507; Protoss_Citadel_of_Adun 179; Protoss_Gateway2 216; Protoss_Forge 728; Protoss_Templar_Archives 233; Protoss_Photon_Cannon 762; Protoss_Cybernetics_Core 117; 
Protoss_Pylon2 141; Protoss_Pylon 51; Protoss_Opening unknown; Protoss_Assimilator 95; Protoss_Gateway 83; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 283; Protoss_Arbiter_Tribunal 980; Protoss_Robotics_Facility 368; Protoss_Fleet_Beacon -1; Protoss_Stargate 790; Protoss_Citadel_of_Adun 168; Protoss_Gateway2 213; Protoss_Forge 554; Protoss_Templar_Archives 209; Protoss_Photon_Cannon 603; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 140; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 93; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 382; Protoss_Arbiter_Tribunal 830; Protoss_Robotics_Facility 235; Protoss_Fleet_Beacon -1; Protoss_Stargate 763; Protoss_Citadel_of_Adun 189; Protoss_Gateway2 217; Protoss_Forge 754; Protoss_Templar_Archives 250; Protoss_Photon_Cannon 791; Protoss_Cybernetics_Core 123; 
Protoss_Pylon2 137; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 92; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 472; Protoss_Expansion 345; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 260; Protoss_Fleet_Beacon 587; Protoss_Stargate 534; Protoss_Citadel_of_Adun 886; Protoss_Gateway2 194; Protoss_Forge 649; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 703; Protoss_Cybernetics_Core 124; 
Protoss_Pylon2 192; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 99; Protoss_Gateway 82; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 353; Protoss_Arbiter_Tribunal 493; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 441; Protoss_Citadel_of_Adun 243; Protoss_Gateway2 155; Protoss_Forge 628; Protoss_Templar_Archives 286; Protoss_Photon_Cannon 672; Protoss_Cybernetics_Core 144; 
Protoss_Pylon2 124; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 98; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 485; Protoss_Expansion 379; Protoss_Arbiter_Tribunal 600; Protoss_Robotics_Facility 389; Protoss_Fleet_Beacon -1; Protoss_Stargate 539; Protoss_Citadel_of_Adun 246; Protoss_Gateway2 222; Protoss_Forge 598; Protoss_Templar_Archives 288; Protoss_Photon_Cannon 739; Protoss_Cybernetics_Core 201; 
Protoss_Pylon2 136; Protoss_Pylon 48; Protoss_Opening nony; Protoss_Assimilator 92; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 284; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 216; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 232; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 117; 
Protoss_Pylon2 109; Protoss_Pylon 47; Protoss_Opening two_gates; Protoss_Assimilator 127; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 511; Protoss_Expansion 274; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 314; Protoss_Fleet_Beacon 803; Protoss_Stargate 743; Protoss_Citadel_of_Adun 464; Protoss_Gateway2 285; Protoss_Forge 608; Protoss_Templar_Archives 700; Protoss_Photon_Cannon 638; Protoss_Cybernetics_Core 161; 
Protoss_Pylon2 140; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 92; Protoss_Gateway 77; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 288; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 339; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 192; Protoss_Gateway2 340; Protoss_Forge 555; Protoss_Templar_Archives 244; Protoss_Photon_Cannon 628; Protoss_Cybernetics_Core 121; 
Protoss_Pylon2 -1; Protoss_Pylon 48; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 128; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 107; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 287; Protoss_Expansion 386; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 228; Protoss_Fleet_Beacon 705; Protoss_Stargate 616; Protoss_Citadel_of_Adun 504; Protoss_Gateway2 251; Protoss_Forge 701; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 739; Protoss_Cybernetics_Core 167; 
Protoss_Pylon2 174; Protoss_Pylon 51; Protoss_Opening nony; Protoss_Assimilator 95; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 309; Protoss_Arbiter_Tribunal 757; Protoss_Robotics_Facility 459; Protoss_Fleet_Beacon -1; Protoss_Stargate 688; Protoss_Citadel_of_Adun 235; Protoss_Gateway2 141; Protoss_Forge 352; Protoss_Templar_Archives 277; Protoss_Photon_Cannon 391; Protoss_Cybernetics_Core 121; 
Protoss_Pylon2 136; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 91; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 284; Protoss_Expansion 330; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 225; Protoss_Fleet_Beacon 598; Protoss_Stargate 514; Protoss_Citadel_of_Adun 456; Protoss_Gateway2 416; Protoss_Forge 532; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 584; Protoss_Cybernetics_Core 118; 
Protoss_Pylon2 126; Protoss_Pylon 49; Protoss_Opening ; Protoss_Assimilator 93; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 143; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 71; Protoss_Gateway 95; Protoss_Robotics_Support_Bay 297; Protoss_Expansion 379; Protoss_Arbiter_Tribunal 478; Protoss_Robotics_Facility 238; Protoss_Fleet_Beacon -1; Protoss_Stargate 418; Protoss_Citadel_of_Adun 237; Protoss_Gateway2 390; Protoss_Forge 476; Protoss_Templar_Archives 279; Protoss_Photon_Cannon 513; Protoss_Cybernetics_Core 138; 
Protoss_Pylon2 136; Protoss_Pylon 36; Protoss_Opening two_gates; Protoss_Assimilator 164; Protoss_Gateway 62; Protoss_Robotics_Support_Bay 424; Protoss_Expansion 533; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 338; Protoss_Fleet_Beacon 709; Protoss_Stargate 661; Protoss_Citadel_of_Adun 1043; Protoss_Gateway2 204; Protoss_Forge 754; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 805; Protoss_Cybernetics_Core 188; 
Protoss_Pylon2 133; Protoss_Pylon 53; Protoss_Opening two_gates; Protoss_Assimilator 147; Protoss_Gateway 85; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 307; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 365; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 222; Protoss_Gateway2 110; Protoss_Forge -1; Protoss_Templar_Archives 266; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 179; 
Protoss_Pylon2 137; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 92; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 333; Protoss_Arbiter_Tribunal 623; Protoss_Robotics_Facility 375; Protoss_Fleet_Beacon 1028; Protoss_Stargate 569; Protoss_Citadel_of_Adun 421; Protoss_Gateway2 217; Protoss_Forge 645; Protoss_Templar_Archives 515; Protoss_Photon_Cannon 687; Protoss_Cybernetics_Core 124; 
Protoss_Pylon2 144; Protoss_Pylon 48; Protoss_Opening nony; Protoss_Assimilator 92; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 390; Protoss_Expansion 295; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 228; Protoss_Fleet_Beacon -1; Protoss_Stargate 690; Protoss_Citadel_of_Adun 583; Protoss_Gateway2 320; Protoss_Forge 588; Protoss_Templar_Archives 650; Protoss_Photon_Cannon 635; Protoss_Cybernetics_Core 121; 
Protoss_Pylon2 143; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 92; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 383; Protoss_Expansion 292; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 227; Protoss_Fleet_Beacon 670; Protoss_Stargate 595; Protoss_Citadel_of_Adun 654; Protoss_Gateway2 317; Protoss_Forge 523; Protoss_Templar_Archives 782; Protoss_Photon_Cannon 584; Protoss_Cybernetics_Core 119; 
Protoss_Pylon2 99; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 155; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 178; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon 444; Protoss_Stargate 395; Protoss_Citadel_of_Adun 443; Protoss_Gateway2 224; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 229; 
Protoss_Pylon2 147; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 98; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 276; Protoss_Arbiter_Tribunal 680; Protoss_Robotics_Facility 303; Protoss_Fleet_Beacon -1; Protoss_Stargate 598; Protoss_Citadel_of_Adun 299; Protoss_Gateway2 139; Protoss_Forge 717; Protoss_Templar_Archives 342; Protoss_Photon_Cannon 758; Protoss_Cybernetics_Core 119; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 141; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 94; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 373; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 672; Protoss_Fleet_Beacon 514; Protoss_Stargate 461; Protoss_Citadel_of_Adun 415; Protoss_Gateway2 161; Protoss_Forge 828; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 125; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 141; Protoss_Pylon 48; Protoss_Opening nony; Protoss_Assimilator 101; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 247; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 264; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 129; 
Protoss_Pylon2 133; Protoss_Pylon 46; Protoss_Opening nony; Protoss_Assimilator 95; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 259; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 372; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 413; Protoss_Gateway2 185; Protoss_Forge 631; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 662; Protoss_Cybernetics_Core 120; 
Protoss_Pylon2 140; Protoss_Pylon 48; Protoss_Opening nony; Protoss_Assimilator 93; Protoss_Gateway 76; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 393; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 230; Protoss_Fleet_Beacon -1; Protoss_Stargate 0; Protoss_Citadel_of_Adun 427; Protoss_Gateway2 186; Protoss_Forge 543; Protoss_Templar_Archives 476; Protoss_Photon_Cannon 641; Protoss_Cybernetics_Core 124; 
Protoss_Pylon2 158; Protoss_Pylon 51; Protoss_Opening ; Protoss_Assimilator 106; Protoss_Gateway 83; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 346; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 230; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 511; Protoss_Gateway2 268; Protoss_Forge -1; Protoss_Templar_Archives 555; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 137; 
Protoss_Pylon2 150; Protoss_Pylon 51; Protoss_Opening nony; Protoss_Assimilator 103; Protoss_Gateway 81; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 334; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 483; Protoss_Fleet_Beacon 1077; Protoss_Stargate 978; Protoss_Citadel_of_Adun 218; Protoss_Gateway2 245; Protoss_Forge 559; Protoss_Templar_Archives 261; Protoss_Photon_Cannon 590; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 151; Protoss_Pylon 51; Protoss_Opening corsair; Protoss_Assimilator 100; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 324; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 201; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 741; Protoss_Gateway2 241; Protoss_Forge 593; Protoss_Templar_Archives 836; Protoss_Photon_Cannon 655; Protoss_Cybernetics_Core 134; 
Protoss_Pylon2 142; Protoss_Pylon 47; Protoss_Opening reaver_drop; Protoss_Assimilator 100; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 242; Protoss_Expansion 371; Protoss_Arbiter_Tribunal 838; Protoss_Robotics_Facility 179; Protoss_Fleet_Beacon 0; Protoss_Stargate 762; Protoss_Citadel_of_Adun 461; Protoss_Gateway2 444; Protoss_Forge 587; Protoss_Templar_Archives 511; Protoss_Photon_Cannon 644; Protoss_Cybernetics_Core 126; 
