Terran_Control_Tower 0; Terran_Comsat_Station 303; Terran_Barracks 78; Terran_Expansion 0; Terran_Refinery 229; Terran_Barracks2 560; Terran_Missile_Turret 504; Terran_Supply_Depot 101; Terran_Engineering_Bay 449; Terran_Science_Facility 0; Terran_Machine_Shop 354; Terran_Armory 0; Terran_Starport 0; Terran_Opening Standard; Terran_Academy 249; Terran_Bunker 551; Terran_Factory 299; 
Terran_Control_Tower 291; Terran_Comsat_Station 431; Terran_Barracks 83; Terran_Expansion 481; Terran_Refinery 123; Terran_Barracks2 400; Terran_Missile_Turret 477; Terran_Supply_Depot 58; Terran_Engineering_Bay 430; Terran_Science_Facility 583; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 243; Terran_Opening FastDropship; Terran_Academy 355; Terran_Bunker 0; Terran_Factory 188; 
Terran_Control_Tower 0; Terran_Comsat_Station 283; Terran_Barracks 81; Terran_Expansion 193; Terran_Refinery 204; Terran_Barracks2 246; Terran_Missile_Turret 349; Terran_Supply_Depot 57; Terran_Engineering_Bay 268; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 218; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 376; Terran_Barracks 67; Terran_Expansion 0; Terran_Refinery 281; Terran_Barracks2 506; Terran_Missile_Turret 604; Terran_Supply_Depot 98; Terran_Engineering_Bay 561; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 317; Terran_Bunker 165; Terran_Factory 887; 
Terran_Control_Tower 444; Terran_Comsat_Station 278; Terran_Barracks 89; Terran_Expansion 182; Terran_Refinery 202; Terran_Barracks2 248; Terran_Missile_Turret 473; Terran_Supply_Depot 58; Terran_Engineering_Bay 416; Terran_Science_Facility 441; Terran_Machine_Shop 391; Terran_Armory 0; Terran_Starport 392; Terran_Opening Bio; Terran_Academy 219; Terran_Bunker 421; Terran_Factory 334; 
Terran_Control_Tower 481; Terran_Comsat_Station 298; Terran_Barracks 83; Terran_Expansion 162; Terran_Refinery 180; Terran_Barracks2 289; Terran_Missile_Turret 379; Terran_Supply_Depot 58; Terran_Engineering_Bay 221; Terran_Science_Facility 483; Terran_Machine_Shop 467; Terran_Armory 0; Terran_Starport 431; Terran_Opening Bio; Terran_Academy 239; Terran_Bunker 305; Terran_Factory 340; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 82; Terran_Expansion 207; Terran_Refinery 233; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 57; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 150; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 82; Terran_Expansion 0; Terran_Refinery 330; Terran_Barracks2 387; Terran_Missile_Turret 0; Terran_Supply_Depot 108; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 384; Terran_Bunker 176; Terran_Factory 0; 
Terran_Control_Tower 577; Terran_Comsat_Station 304; Terran_Barracks 81; Terran_Expansion 221; Terran_Refinery 235; Terran_Barracks2 162; Terran_Missile_Turret 402; Terran_Supply_Depot 56; Terran_Engineering_Bay 113; Terran_Science_Facility 577; Terran_Machine_Shop 506; Terran_Armory 0; Terran_Starport 506; Terran_Opening Bio; Terran_Academy 244; Terran_Bunker 381; Terran_Factory 450; 
Terran_Control_Tower 565; Terran_Comsat_Station 295; Terran_Barracks 93; Terran_Expansion 165; Terran_Refinery 224; Terran_Barracks2 180; Terran_Missile_Turret 363; Terran_Supply_Depot 64; Terran_Engineering_Bay 269; Terran_Science_Facility 567; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 516; Terran_Opening Bio; Terran_Academy 234; Terran_Bunker 425; Terran_Factory 457; 
Terran_Control_Tower 0; Terran_Comsat_Station 285; Terran_Barracks 87; Terran_Expansion 169; Terran_Refinery 195; Terran_Barracks2 238; Terran_Missile_Turret 415; Terran_Supply_Depot 58; Terran_Engineering_Bay 247; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 215; Terran_Bunker 385; Terran_Factory 487; 
Terran_Control_Tower 475; Terran_Comsat_Station 322; Terran_Barracks 87; Terran_Expansion 171; Terran_Refinery 196; Terran_Barracks2 191; Terran_Missile_Turret 366; Terran_Supply_Depot 58; Terran_Engineering_Bay 311; Terran_Science_Facility 476; Terran_Machine_Shop 481; Terran_Armory 0; Terran_Starport 421; Terran_Opening Bio; Terran_Academy 265; Terran_Bunker 435; Terran_Factory 251; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 0; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 0; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 84; Terran_Expansion 176; Terran_Refinery 195; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 57; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 450; Terran_Comsat_Station 293; Terran_Barracks 85; Terran_Expansion 181; Terran_Refinery 210; Terran_Barracks2 247; Terran_Missile_Turret 408; Terran_Supply_Depot 55; Terran_Engineering_Bay 304; Terran_Science_Facility 451; Terran_Machine_Shop 580; Terran_Armory 0; Terran_Starport 378; Terran_Opening Bio; Terran_Academy 231; Terran_Bunker 205; Terran_Factory 320; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 0; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 303; Terran_Barracks 82; Terran_Expansion 222; Terran_Refinery 233; Terran_Barracks2 278; Terran_Missile_Turret 368; Terran_Supply_Depot 56; Terran_Engineering_Bay 110; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 245; Terran_Bunker 172; Terran_Factory 0; 
Terran_Control_Tower 577; Terran_Comsat_Station 304; Terran_Barracks 81; Terran_Expansion 221; Terran_Refinery 235; Terran_Barracks2 162; Terran_Missile_Turret 402; Terran_Supply_Depot 56; Terran_Engineering_Bay 113; Terran_Science_Facility 577; Terran_Machine_Shop 506; Terran_Armory 0; Terran_Starport 506; Terran_Opening Bio; Terran_Academy 244; Terran_Bunker 381; Terran_Factory 450; 
Terran_Control_Tower 565; Terran_Comsat_Station 295; Terran_Barracks 93; Terran_Expansion 165; Terran_Refinery 224; Terran_Barracks2 180; Terran_Missile_Turret 363; Terran_Supply_Depot 64; Terran_Engineering_Bay 269; Terran_Science_Facility 567; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 516; Terran_Opening Bio; Terran_Academy 234; Terran_Bunker 425; Terran_Factory 457; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 0; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 520; Terran_Comsat_Station 518; Terran_Barracks 81; Terran_Expansion 219; Terran_Refinery 278; Terran_Barracks2 262; Terran_Missile_Turret 523; Terran_Supply_Depot 58; Terran_Engineering_Bay 335; Terran_Science_Facility 520; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 468; Terran_Opening Bio; Terran_Academy 319; Terran_Bunker 172; Terran_Factory 411; 
Terran_Control_Tower 551; Terran_Comsat_Station 518; Terran_Barracks 86; Terran_Expansion 614; Terran_Refinery 101; Terran_Barracks2 377; Terran_Missile_Turret 739; Terran_Supply_Depot 55; Terran_Engineering_Bay 575; Terran_Science_Facility 737; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 223; Terran_Opening TwoFactory; Terran_Academy 397; Terran_Bunker 0; Terran_Factory 166; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 58; Terran_Expansion 279; Terran_Refinery 358; Terran_Barracks2 330; Terran_Missile_Turret 0; Terran_Supply_Depot 76; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 380; Terran_Bunker 183; Terran_Factory 0; 
Terran_Control_Tower 628; Terran_Comsat_Station 350; Terran_Barracks 91; Terran_Expansion 150; Terran_Refinery 214; Terran_Barracks2 184; Terran_Missile_Turret 473; Terran_Supply_Depot 59; Terran_Engineering_Bay 423; Terran_Science_Facility 629; Terran_Machine_Shop 567; Terran_Armory 0; Terran_Starport 570; Terran_Opening Bio; Terran_Academy 270; Terran_Bunker 204; Terran_Factory 513; 
Terran_Control_Tower 533; Terran_Comsat_Station 275; Terran_Barracks 86; Terran_Expansion 149; Terran_Refinery 193; Terran_Barracks2 254; Terran_Missile_Turret 0; Terran_Supply_Depot 59; Terran_Engineering_Bay 300; Terran_Science_Facility 510; Terran_Machine_Shop 444; Terran_Armory 0; Terran_Starport 455; Terran_Opening Bio; Terran_Academy 212; Terran_Bunker 384; Terran_Factory 379; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 82; Terran_Expansion 166; Terran_Refinery 196; Terran_Barracks2 243; Terran_Missile_Turret 0; Terran_Supply_Depot 55; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 222; Terran_Bunker 192; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 440; Terran_Barracks 91; Terran_Expansion 169; Terran_Refinery 195; Terran_Barracks2 306; Terran_Missile_Turret 0; Terran_Supply_Depot 54; Terran_Engineering_Bay 222; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 266; Terran_Bunker 175; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 309; Terran_Barracks 88; Terran_Expansion 168; Terran_Refinery 193; Terran_Barracks2 283; Terran_Missile_Turret 444; Terran_Supply_Depot 57; Terran_Engineering_Bay 208; Terran_Science_Facility 0; Terran_Machine_Shop 693; Terran_Armory 0; Terran_Starport 748; Terran_Opening Bio; Terran_Academy 240; Terran_Bunker 246; Terran_Factory 629; 
Terran_Control_Tower 491; Terran_Comsat_Station 337; Terran_Barracks 88; Terran_Expansion 165; Terran_Refinery 190; Terran_Barracks2 297; Terran_Missile_Turret 400; Terran_Supply_Depot 58; Terran_Engineering_Bay 212; Terran_Science_Facility 493; Terran_Machine_Shop 467; Terran_Armory 0; Terran_Starport 437; Terran_Opening Bio; Terran_Academy 240; Terran_Bunker 205; Terran_Factory 359; 
Terran_Control_Tower 0; Terran_Comsat_Station 377; Terran_Barracks 87; Terran_Expansion 153; Terran_Refinery 310; Terran_Barracks2 270; Terran_Missile_Turret 0; Terran_Supply_Depot 56; Terran_Engineering_Bay 472; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 493; Terran_Opening Bio; Terran_Academy 320; Terran_Bunker 410; Terran_Factory 423; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 0; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 0; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 725; Terran_Comsat_Station 335; Terran_Barracks 155; Terran_Expansion 137; Terran_Refinery 229; Terran_Barracks2 186; Terran_Missile_Turret 385; Terran_Supply_Depot 62; Terran_Engineering_Bay 286; Terran_Science_Facility 749; Terran_Machine_Shop 679; Terran_Armory 0; Terran_Starport 671; Terran_Opening Bio; Terran_Academy 244; Terran_Bunker 578; Terran_Factory 546; 
Terran_Control_Tower 0; Terran_Comsat_Station 386; Terran_Barracks 63; Terran_Expansion 666; Terran_Refinery 253; Terran_Barracks2 369; Terran_Missile_Turret 399; Terran_Supply_Depot 96; Terran_Engineering_Bay 359; Terran_Science_Facility 0; Terran_Machine_Shop 373; Terran_Armory 0; Terran_Starport 0; Terran_Opening SiegeExpand; Terran_Academy 329; Terran_Bunker 217; Terran_Factory 318; 
Terran_Control_Tower 0; Terran_Comsat_Station 296; Terran_Barracks 97; Terran_Expansion 350; Terran_Refinery 225; Terran_Barracks2 127; Terran_Missile_Turret 0; Terran_Supply_Depot 59; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 242; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 485; Terran_Comsat_Station 311; Terran_Barracks 83; Terran_Expansion 169; Terran_Refinery 230; Terran_Barracks2 283; Terran_Missile_Turret 431; Terran_Supply_Depot 57; Terran_Engineering_Bay 294; Terran_Science_Facility 486; Terran_Machine_Shop 417; Terran_Armory 0; Terran_Starport 418; Terran_Opening Bio; Terran_Academy 237; Terran_Bunker 187; Terran_Factory 357; 
Terran_Control_Tower 767; Terran_Comsat_Station 311; Terran_Barracks 88; Terran_Expansion 173; Terran_Refinery 139; Terran_Barracks2 295; Terran_Missile_Turret 415; Terran_Supply_Depot 58; Terran_Engineering_Bay 236; Terran_Science_Facility 769; Terran_Machine_Shop 608; Terran_Armory 0; Terran_Starport 718; Terran_Opening Bio; Terran_Academy 224; Terran_Bunker 0; Terran_Factory 529; 
Terran_Control_Tower 562; Terran_Comsat_Station 290; Terran_Barracks 88; Terran_Expansion 159; Terran_Refinery 204; Terran_Barracks2 193; Terran_Missile_Turret 363; Terran_Supply_Depot 58; Terran_Engineering_Bay 316; Terran_Science_Facility 563; Terran_Machine_Shop 635; Terran_Armory 0; Terran_Starport 513; Terran_Opening Bio; Terran_Academy 223; Terran_Bunker 493; Terran_Factory 454; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 0; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 85; Terran_Expansion 0; Terran_Refinery 135; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 54; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 245; Terran_Opening VultureHarass; Terran_Academy 0; Terran_Bunker 296; Terran_Factory 190; 
Terran_Control_Tower 0; Terran_Comsat_Station 350; Terran_Barracks 83; Terran_Expansion 252; Terran_Refinery 276; Terran_Barracks2 105; Terran_Missile_Turret 0; Terran_Supply_Depot 58; Terran_Engineering_Bay 447; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 293; Terran_Bunker 218; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 57; Terran_Expansion 255; Terran_Refinery 285; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 76; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 213; Terran_Factory 0; 
Terran_Control_Tower 540; Terran_Comsat_Station 316; Terran_Barracks 88; Terran_Expansion 178; Terran_Refinery 215; Terran_Barracks2 245; Terran_Missile_Turret 418; Terran_Supply_Depot 57; Terran_Engineering_Bay 314; Terran_Science_Facility 542; Terran_Machine_Shop 391; Terran_Armory 0; Terran_Starport 484; Terran_Opening Bio; Terran_Academy 224; Terran_Bunker 369; Terran_Factory 337; 
Terran_Control_Tower 626; Terran_Comsat_Station 326; Terran_Barracks 82; Terran_Expansion 174; Terran_Refinery 210; Terran_Barracks2 296; Terran_Missile_Turret 376; Terran_Supply_Depot 57; Terran_Engineering_Bay 331; Terran_Science_Facility 627; Terran_Machine_Shop 405; Terran_Armory 0; Terran_Starport 480; Terran_Opening Bio; Terran_Academy 224; Terran_Bunker 239; Terran_Factory 333; 
Terran_Control_Tower 877; Terran_Comsat_Station 313; Terran_Barracks 85; Terran_Expansion 178; Terran_Refinery 216; Terran_Barracks2 276; Terran_Missile_Turret 411; Terran_Supply_Depot 55; Terran_Engineering_Bay 361; Terran_Science_Facility 876; Terran_Machine_Shop 658; Terran_Armory 0; Terran_Starport 827; Terran_Opening Bio; Terran_Academy 238; Terran_Bunker 501; Terran_Factory 490; 
Terran_Control_Tower 549; Terran_Comsat_Station 338; Terran_Barracks 89; Terran_Expansion 176; Terran_Refinery 258; Terran_Barracks2 244; Terran_Missile_Turret 415; Terran_Supply_Depot 59; Terran_Engineering_Bay 334; Terran_Science_Facility 679; Terran_Machine_Shop 469; Terran_Armory 0; Terran_Starport 485; Terran_Opening Bio; Terran_Academy 275; Terran_Bunker 213; Terran_Factory 389; 
Terran_Control_Tower 0; Terran_Comsat_Station 309; Terran_Barracks 88; Terran_Expansion 168; Terran_Refinery 193; Terran_Barracks2 283; Terran_Missile_Turret 444; Terran_Supply_Depot 57; Terran_Engineering_Bay 208; Terran_Science_Facility 0; Terran_Machine_Shop 693; Terran_Armory 0; Terran_Starport 748; Terran_Opening Bio; Terran_Academy 240; Terran_Bunker 246; Terran_Factory 629; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 0; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 84; Terran_Expansion 226; Terran_Refinery 0; Terran_Barracks2 112; Terran_Missile_Turret 0; Terran_Supply_Depot 59; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 224; Terran_Barracks 88; Terran_Expansion 281; Terran_Refinery 142; Terran_Barracks2 115; Terran_Missile_Turret 0; Terran_Supply_Depot 56; Terran_Engineering_Bay 321; Terran_Science_Facility 0; Terran_Machine_Shop 517; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 153; Terran_Bunker 140; Terran_Factory 456; 
Terran_Control_Tower 0; Terran_Comsat_Station 256; Terran_Barracks 84; Terran_Expansion 336; Terran_Refinery 168; Terran_Barracks2 111; Terran_Missile_Turret 0; Terran_Supply_Depot 53; Terran_Engineering_Bay 362; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 181; Terran_Bunker 0; Terran_Factory 0; 
Terran_Control_Tower 501; Terran_Comsat_Station 272; Terran_Barracks 65; Terran_Expansion 195; Terran_Refinery 205; Terran_Barracks2 258; Terran_Missile_Turret 408; Terran_Supply_Depot 81; Terran_Engineering_Bay 317; Terran_Science_Facility 499; Terran_Machine_Shop 431; Terran_Armory 0; Terran_Starport 451; Terran_Opening Bio; Terran_Academy 220; Terran_Bunker 519; Terran_Factory 367; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 60; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 78; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 181; Terran_Factory 0; 
Terran_Control_Tower 0; Terran_Comsat_Station 225; Terran_Barracks 85; Terran_Expansion 0; Terran_Refinery 120; Terran_Barracks2 176; Terran_Missile_Turret 0; Terran_Supply_Depot 60; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 292; Terran_Opening Bio; Terran_Academy 165; Terran_Bunker 432; Terran_Factory 238; 
Terran_Control_Tower 587; Terran_Comsat_Station 324; Terran_Barracks 58; Terran_Expansion 529; Terran_Refinery 178; Terran_Barracks2 119; Terran_Missile_Turret 0; Terran_Supply_Depot 79; Terran_Engineering_Bay 210; Terran_Science_Facility 587; Terran_Machine_Shop 536; Terran_Armory 0; Terran_Starport 537; Terran_Opening Bio; Terran_Academy 255; Terran_Bunker 592; Terran_Factory 479; 
Terran_Control_Tower 312; Terran_Comsat_Station 477; Terran_Barracks 143; Terran_Expansion 124; Terran_Refinery 160; Terran_Barracks2 445; Terran_Missile_Turret 288; Terran_Supply_Depot 59; Terran_Engineering_Bay 225; Terran_Science_Facility 0; Terran_Machine_Shop 267; Terran_Armory 316; Terran_Starport 264; Terran_Opening TwoFactory; Terran_Academy 386; Terran_Bunker 0; Terran_Factory 211; 
Terran_Control_Tower 0; Terran_Comsat_Station 403; Terran_Barracks 84; Terran_Expansion 0; Terran_Refinery 306; Terran_Barracks2 119; Terran_Missile_Turret 0; Terran_Supply_Depot 59; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 326; Terran_Bunker 0; Terran_Factory 555; 
Terran_Control_Tower 0; Terran_Comsat_Station 293; Terran_Barracks 92; Terran_Expansion 0; Terran_Refinery 208; Terran_Barracks2 115; Terran_Missile_Turret 0; Terran_Supply_Depot 53; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 226; Terran_Bunker 0; Terran_Factory 391; 
Terran_Control_Tower 628; Terran_Comsat_Station 375; Terran_Barracks 90; Terran_Expansion 0; Terran_Refinery 238; Terran_Barracks2 126; Terran_Missile_Turret 0; Terran_Supply_Depot 54; Terran_Engineering_Bay 0; Terran_Science_Facility 601; Terran_Machine_Shop 484; Terran_Armory 0; Terran_Starport 483; Terran_Opening Bio; Terran_Academy 297; Terran_Bunker 144; Terran_Factory 394; 
Terran_Control_Tower 695; Terran_Comsat_Station 299; Terran_Barracks 86; Terran_Expansion 413; Terran_Refinery 175; Terran_Barracks2 126; Terran_Missile_Turret 464; Terran_Supply_Depot 60; Terran_Engineering_Bay 421; Terran_Science_Facility 687; Terran_Machine_Shop 418; Terran_Armory 0; Terran_Starport 580; Terran_Opening Bio; Terran_Academy 230; Terran_Bunker 495; Terran_Factory 360; 
Terran_Control_Tower 571; Terran_Comsat_Station 272; Terran_Barracks 84; Terran_Expansion 446; Terran_Refinery 181; Terran_Barracks2 118; Terran_Missile_Turret 728; Terran_Supply_Depot 59; Terran_Engineering_Bay 240; Terran_Science_Facility 523; Terran_Machine_Shop 496; Terran_Armory 0; Terran_Starport 473; Terran_Opening Bio; Terran_Academy 217; Terran_Bunker 175; Terran_Factory 393; 
Terran_Control_Tower 458; Terran_Comsat_Station 275; Terran_Barracks 92; Terran_Expansion 528; Terran_Refinery 170; Terran_Barracks2 121; Terran_Missile_Turret 417; Terran_Supply_Depot 59; Terran_Engineering_Bay 368; Terran_Science_Facility 394; Terran_Machine_Shop 507; Terran_Armory 0; Terran_Starport 346; Terran_Opening Bio; Terran_Academy 217; Terran_Bunker 465; Terran_Factory 293; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 0; Terran_Expansion 0; Terran_Refinery 0; Terran_Barracks2 0; Terran_Missile_Turret 0; Terran_Supply_Depot 54; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Unknown; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
