Protoss_Pylon 1192; Protoss_Opening FastObs; Protoss_Assimilator 2404; Protoss_Gateway 1884; Protoss_Robotics_Support_Bay 19100; Protoss_Arbiter_Tribunal 18508; Protoss_Robotics_Facility 6594; Protoss_Fleet_Beacon 0; Protoss_Stargate 16668; Protoss_Citadel_of_Adun 10340; Protoss_Forge 17324; Protoss_Templar_Archives 13714; Protoss_Photon_Cannon 18612; Protoss_Cybernetics_Core 2938; 
Protoss_Pylon 1278; Protoss_Opening FastExpand; Protoss_Assimilator 3634; Protoss_Gateway 3170; Protoss_Robotics_Support_Bay 22108; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 10000; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 14364; Protoss_Forge 12060; Protoss_Templar_Archives 25962; Protoss_Photon_Cannon 12776; Protoss_Cybernetics_Core 4386; 
Protoss_Pylon 1160; Protoss_Opening FastObs; Protoss_Assimilator 2726; Protoss_Gateway 1924; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6886; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 8854; Protoss_Forge 11366; Protoss_Templar_Archives 13470; Protoss_Photon_Cannon 12350; Protoss_Cybernetics_Core 3418; 
Protoss_Pylon 1246; Protoss_Opening FastObs; Protoss_Assimilator 2476; Protoss_Gateway 2066; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6900; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 11314; Protoss_Forge 23192; Protoss_Templar_Archives 18638; Protoss_Photon_Cannon 29224; Protoss_Cybernetics_Core 3180; 
Protoss_Pylon 1260; Protoss_Opening FastObs; Protoss_Assimilator 2640; Protoss_Gateway 2060; Protoss_Robotics_Support_Bay 20615; Protoss_Arbiter_Tribunal 19815; Protoss_Robotics_Facility 5735; Protoss_Fleet_Beacon 0; Protoss_Stargate 18585; Protoss_Citadel_of_Adun 10550; Protoss_Forge 14315; Protoss_Templar_Archives 16140; Protoss_Photon_Cannon 15480; Protoss_Cybernetics_Core 3280; 
Protoss_Pylon 1240; Protoss_Opening FastObs; Protoss_Assimilator 2470; Protoss_Gateway 1960; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6220; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3160; 
Protoss_Pylon 1235; Protoss_Opening FastObs; Protoss_Assimilator 2525; Protoss_Gateway 1985; Protoss_Robotics_Support_Bay 19090; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4765; Protoss_Fleet_Beacon 39120; Protoss_Stargate 37505; Protoss_Citadel_of_Adun 10160; Protoss_Forge 13195; Protoss_Templar_Archives 24770; Protoss_Photon_Cannon 13985; Protoss_Cybernetics_Core 3185; 
Protoss_Pylon 1200; Protoss_Opening FastLegs; Protoss_Assimilator 2270; Protoss_Gateway 2145; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 10140; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 6365; Protoss_Forge 14660; Protoss_Templar_Archives 12050; Protoss_Photon_Cannon 16005; Protoss_Cybernetics_Core 3160; 
Protoss_Pylon 1270; Protoss_Opening FastExpand; Protoss_Assimilator 2470; Protoss_Gateway 2150; Protoss_Robotics_Support_Bay 22795; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6165; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 12400; Protoss_Forge 15335; Protoss_Templar_Archives 13870; Protoss_Photon_Cannon 16525; Protoss_Cybernetics_Core 3250; 
Protoss_Pylon 1270; Protoss_Opening FastExpand; Protoss_Assimilator 2470; Protoss_Gateway 2150; Protoss_Robotics_Support_Bay 22795; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6165; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 12400; Protoss_Forge 15335; Protoss_Templar_Archives 13870; Protoss_Photon_Cannon 16525; Protoss_Cybernetics_Core 3250; 
Protoss_Pylon 1300; Protoss_Opening FastObs; Protoss_Assimilator 2460; Protoss_Gateway 2000; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4730; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 10955; Protoss_Forge 13360; Protoss_Templar_Archives 46725; Protoss_Photon_Cannon 15080; Protoss_Cybernetics_Core 3145; 
Protoss_Pylon 1250; Protoss_Opening FastObs; Protoss_Assimilator 2445; Protoss_Gateway 1985; Protoss_Robotics_Support_Bay 6845; Protoss_Arbiter_Tribunal 29720; Protoss_Robotics_Facility 4610; Protoss_Fleet_Beacon 0; Protoss_Stargate 27000; Protoss_Citadel_of_Adun 6625; Protoss_Forge 10375; Protoss_Templar_Archives 8100; Protoss_Photon_Cannon 11110; Protoss_Cybernetics_Core 3455; 
Protoss_Pylon 1270; Protoss_Opening FastDT; Protoss_Assimilator 2630; Protoss_Gateway 2190; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6225; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 5550; Protoss_Forge 0; Protoss_Templar_Archives 6650; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3340; 
Protoss_Pylon 1235; Protoss_Opening ReaverDrop; Protoss_Assimilator 2645; Protoss_Gateway 2080; Protoss_Robotics_Support_Bay 6120; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4565; Protoss_Fleet_Beacon 20920; Protoss_Stargate 19480; Protoss_Citadel_of_Adun 0; Protoss_Forge 12105; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 12935; Protoss_Cybernetics_Core 3355; 
Protoss_Pylon 1250; Protoss_Opening FastObs; Protoss_Assimilator 2970; Protoss_Gateway 1900; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5460; Protoss_Fleet_Beacon 22030; Protoss_Stargate 20440; Protoss_Citadel_of_Adun 11245; Protoss_Forge 12140; Protoss_Templar_Archives 12990; Protoss_Photon_Cannon 13170; Protoss_Cybernetics_Core 3805; 
Protoss_Pylon 1305; Protoss_Opening FastExpand; Protoss_Assimilator 2670; Protoss_Gateway 2105; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 8270; Protoss_Fleet_Beacon 29050; Protoss_Stargate 27345; Protoss_Citadel_of_Adun 7725; Protoss_Forge 22830; Protoss_Templar_Archives 8870; Protoss_Photon_Cannon 25075; Protoss_Cybernetics_Core 3365; 
Protoss_Pylon 1260; Protoss_Opening ReaverDrop; Protoss_Assimilator 2640; Protoss_Gateway 2335; Protoss_Robotics_Support_Bay 7855; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5730; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 13790; Protoss_Forge 11215; Protoss_Templar_Archives 14905; Protoss_Photon_Cannon 13995; Protoss_Cybernetics_Core 3400; 
Protoss_Pylon 1245; Protoss_Opening FastDT; Protoss_Assimilator 2640; Protoss_Gateway 2060; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 10545; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 5215; Protoss_Forge 7625; Protoss_Templar_Archives 6480; Protoss_Photon_Cannon 19605; Protoss_Cybernetics_Core 4010; 
Protoss_Pylon 1280; Protoss_Opening ReaverDrop; Protoss_Assimilator 4775; Protoss_Gateway 2485; Protoss_Robotics_Support_Bay 10440; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 7610; Protoss_Fleet_Beacon 38495; Protoss_Stargate 37100; Protoss_Citadel_of_Adun 7875; Protoss_Forge 8085; Protoss_Templar_Archives 8885; Protoss_Photon_Cannon 9115; Protoss_Cybernetics_Core 6055; 
Protoss_Pylon 1280; Protoss_Opening FastObs; Protoss_Assimilator 2645; Protoss_Gateway 2210; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5965; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 16610; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3295; 
Protoss_Pylon 1275; Protoss_Opening ReaverDrop; Protoss_Assimilator 1890; Protoss_Gateway 2415; Protoss_Robotics_Support_Bay 6490; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4400; Protoss_Fleet_Beacon 26690; Protoss_Stargate 4750; Protoss_Citadel_of_Adun 13865; Protoss_Forge 8600; Protoss_Templar_Archives 16150; Protoss_Photon_Cannon 10165; Protoss_Cybernetics_Core 3405; 
Protoss_Pylon 1172; Protoss_Opening ReaverDrop; Protoss_Assimilator 2348; Protoss_Gateway 1964; Protoss_Robotics_Support_Bay 6040; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4250; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 8514; Protoss_Forge 18376; Protoss_Templar_Archives 9956; Protoss_Photon_Cannon 19414; Protoss_Cybernetics_Core 3070; 
Protoss_Pylon 1242; Protoss_Opening FastDT; Protoss_Assimilator 2424; Protoss_Gateway 2030; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 8016; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 4278; Protoss_Forge 21128; Protoss_Templar_Archives 5474; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3162; 
Protoss_Pylon 1254; Protoss_Opening FastDT; Protoss_Assimilator 2428; Protoss_Gateway 2024; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6384; Protoss_Fleet_Beacon 23910; Protoss_Stargate 21928; Protoss_Citadel_of_Adun 4268; Protoss_Forge 8520; Protoss_Templar_Archives 5262; Protoss_Photon_Cannon 13106; Protoss_Cybernetics_Core 3226; 
Protoss_Pylon 1140; Protoss_Opening FastObs; Protoss_Assimilator 2442; Protoss_Gateway 1912; Protoss_Robotics_Support_Bay 9370; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5632; Protoss_Fleet_Beacon 35276; Protoss_Stargate 32660; Protoss_Citadel_of_Adun 16910; Protoss_Forge 15740; Protoss_Templar_Archives 29556; Protoss_Photon_Cannon 19576; Protoss_Cybernetics_Core 3022; 
Protoss_Pylon 1236; Protoss_Opening FastObs; Protoss_Assimilator 2574; Protoss_Gateway 2012; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6872; Protoss_Fleet_Beacon 31902; Protoss_Stargate 29338; Protoss_Citadel_of_Adun 9904; Protoss_Forge 18976; Protoss_Templar_Archives 11180; Protoss_Photon_Cannon 29562; Protoss_Cybernetics_Core 3144; 
Protoss_Pylon 1162; Protoss_Opening FastObs; Protoss_Assimilator 2456; Protoss_Gateway 1984; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4690; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 12040; Protoss_Forge 10354; Protoss_Templar_Archives 27152; Protoss_Photon_Cannon 11784; Protoss_Cybernetics_Core 3062; 
Protoss_Pylon 1230; Protoss_Opening FastObs; Protoss_Assimilator 4200; Protoss_Gateway 2000; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 10750; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 13155; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 4695; 
Protoss_Pylon 1220; Protoss_Opening FastObs; Protoss_Assimilator 1795; Protoss_Gateway 2410; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 13900; Protoss_Robotics_Facility 4435; Protoss_Fleet_Beacon 0; Protoss_Stargate 12580; Protoss_Citadel_of_Adun 5010; Protoss_Forge 15355; Protoss_Templar_Archives 6030; Protoss_Photon_Cannon 17100; Protoss_Cybernetics_Core 3425; 
Protoss_Pylon 1270; Protoss_Opening FastLegs; Protoss_Assimilator 2490; Protoss_Gateway 2795; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 13685; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 8395; Protoss_Forge 13945; Protoss_Templar_Archives 9900; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3955; 
Protoss_Pylon 1195; Protoss_Opening FastDT; Protoss_Assimilator 1950; Protoss_Gateway 2295; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5605; Protoss_Fleet_Beacon 19045; Protoss_Stargate 17820; Protoss_Citadel_of_Adun 5535; Protoss_Forge 15530; Protoss_Templar_Archives 6540; Protoss_Photon_Cannon 18750; Protoss_Cybernetics_Core 3350; 
Protoss_Pylon 1255; Protoss_Opening FastExpand; Protoss_Assimilator 3605; Protoss_Gateway 3915; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 8215; Protoss_Fleet_Beacon 15265; Protoss_Stargate 13990; Protoss_Citadel_of_Adun 12720; Protoss_Forge 5525; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 6300; Protoss_Cybernetics_Core 5190; 
Protoss_Pylon 1225; Protoss_Opening FastExpand; Protoss_Assimilator 2305; Protoss_Gateway 1980; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 17045; Protoss_Fleet_Beacon 14410; Protoss_Stargate 12940; Protoss_Citadel_of_Adun 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3115; 
Protoss_Pylon 1245; Protoss_Opening FastExpand; Protoss_Assimilator 2410; Protoss_Gateway 2115; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 20015; Protoss_Fleet_Beacon 11995; Protoss_Stargate 10675; Protoss_Citadel_of_Adun 7315; Protoss_Forge 9790; Protoss_Templar_Archives 8375; Protoss_Photon_Cannon 13955; Protoss_Cybernetics_Core 3225; 
Protoss_Pylon 1190; Protoss_Opening FastObs; Protoss_Assimilator 1810; Protoss_Gateway 2265; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4280; Protoss_Fleet_Beacon 13145; Protoss_Stargate 11445; Protoss_Citadel_of_Adun 15275; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3280; 
Protoss_Pylon 1215; Protoss_Opening FastDT; Protoss_Assimilator 2510; Protoss_Gateway 2170; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 18435; Protoss_Fleet_Beacon 13710; Protoss_Stargate 12100; Protoss_Citadel_of_Adun 7385; Protoss_Forge 20845; Protoss_Templar_Archives 8455; Protoss_Photon_Cannon 21585; Protoss_Cybernetics_Core 3590; 
Protoss_Pylon 1290; Protoss_Opening FastExpand; Protoss_Assimilator 3045; Protoss_Gateway 3335; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6870; Protoss_Fleet_Beacon 15295; Protoss_Stargate 14115; Protoss_Citadel_of_Adun 13605; Protoss_Forge 7165; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 8045; Protoss_Cybernetics_Core 4330; 
Protoss_Pylon 1295; Protoss_Opening FastExpand; Protoss_Assimilator 3525; Protoss_Gateway 3735; Protoss_Robotics_Support_Bay 8295; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 6675; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 8480; Protoss_Forge 6060; Protoss_Templar_Archives 15815; Protoss_Photon_Cannon 7320; Protoss_Cybernetics_Core 5135; 
Protoss_Pylon 1260; Protoss_Opening FastExpand; Protoss_Assimilator 3200; Protoss_Gateway 3580; Protoss_Robotics_Support_Bay 8450; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 7050; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 8550; Protoss_Forge 0; Protoss_Templar_Archives 15695; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 4720; 
Protoss_Pylon 1260; Protoss_Opening FastObs; Protoss_Assimilator 2535; Protoss_Gateway 2070; Protoss_Robotics_Support_Bay 21440; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5820; Protoss_Fleet_Beacon 18465; Protoss_Stargate 17085; Protoss_Citadel_of_Adun 10725; Protoss_Forge 13150; Protoss_Templar_Archives 12400; Protoss_Photon_Cannon 14000; Protoss_Cybernetics_Core 3450; 
Protoss_Pylon 1285; Protoss_Opening FastObs; Protoss_Assimilator 2420; Protoss_Gateway 2010; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5810; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 8890; Protoss_Forge 14905; Protoss_Templar_Archives 12965; Protoss_Photon_Cannon 18960; Protoss_Cybernetics_Core 3305; 
Protoss_Pylon 1255; Protoss_Opening FastObs; Protoss_Assimilator 2475; Protoss_Gateway 2115; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5825; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 9110; Protoss_Forge 0; Protoss_Templar_Archives 10315; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3170; 
Protoss_Pylon 1175; Protoss_Opening FastDT; Protoss_Assimilator 2285; Protoss_Gateway 1990; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 4645; Protoss_Forge 6690; Protoss_Templar_Archives 5695; Protoss_Photon_Cannon 8055; Protoss_Cybernetics_Core 3010; 
Protoss_Pylon 1465; Protoss_Opening FastDT; Protoss_Assimilator 1885; Protoss_Gateway 2115; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 11480; Protoss_Fleet_Beacon 18050; Protoss_Stargate 15670; Protoss_Citadel_of_Adun 4725; Protoss_Forge 13940; Protoss_Templar_Archives 5825; Protoss_Photon_Cannon 18970; Protoss_Cybernetics_Core 3370; 
Protoss_Pylon 1175; Protoss_Opening FastObs; Protoss_Assimilator 2400; Protoss_Gateway 1905; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4510; Protoss_Fleet_Beacon 16580; Protoss_Stargate 14865; Protoss_Citadel_of_Adun 7135; Protoss_Forge 9100; Protoss_Templar_Archives 8150; Protoss_Photon_Cannon 10220; Protoss_Cybernetics_Core 3035; 
Protoss_Pylon 1270; Protoss_Opening FastDT; Protoss_Assimilator 2550; Protoss_Gateway 1975; Protoss_Robotics_Support_Bay 9750; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 8065; Protoss_Fleet_Beacon 20815; Protoss_Stargate 19535; Protoss_Citadel_of_Adun 5360; Protoss_Forge 8655; Protoss_Templar_Archives 6455; Protoss_Photon_Cannon 9495; Protoss_Cybernetics_Core 3240; 
Protoss_Pylon 1280; Protoss_Opening FastObs; Protoss_Assimilator 2715; Protoss_Gateway 2065; Protoss_Robotics_Support_Bay 10035; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 7080; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 14010; Protoss_Forge 13815; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 15070; Protoss_Cybernetics_Core 3425; 
Protoss_Pylon 1210; Protoss_Opening FastDT; Protoss_Assimilator 2220; Protoss_Gateway 1930; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5700; Protoss_Fleet_Beacon 17765; Protoss_Stargate 16465; Protoss_Citadel_of_Adun 4955; Protoss_Forge 11280; Protoss_Templar_Archives 6300; Protoss_Photon_Cannon 12010; Protoss_Cybernetics_Core 3885; 
Protoss_Pylon 1225; Protoss_Opening FastDT; Protoss_Assimilator 2495; Protoss_Gateway 1965; Protoss_Robotics_Support_Bay 25870; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 14040; Protoss_Fleet_Beacon 42920; Protoss_Stargate 40465; Protoss_Citadel_of_Adun 7180; Protoss_Forge 19370; Protoss_Templar_Archives 8575; Protoss_Photon_Cannon 21135; Protoss_Cybernetics_Core 4465; 
Protoss_Pylon 1235; Protoss_Opening ReaverDrop; Protoss_Assimilator 2700; Protoss_Gateway 1985; Protoss_Robotics_Support_Bay 6365; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4705; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3155; 
Protoss_Pylon 1205; Protoss_Opening FastObs; Protoss_Assimilator 2495; Protoss_Gateway 1940; Protoss_Robotics_Support_Bay 6090; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4605; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 13570; Protoss_Forge 17680; Protoss_Templar_Archives 23360; Protoss_Photon_Cannon 18950; Protoss_Cybernetics_Core 3155; 
Protoss_Pylon 1225; Protoss_Opening FastObs; Protoss_Assimilator 2430; Protoss_Gateway 1895; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4685; Protoss_Fleet_Beacon 23270; Protoss_Stargate 21420; Protoss_Citadel_of_Adun 13890; Protoss_Forge 11255; Protoss_Templar_Archives 14910; Protoss_Photon_Cannon 12220; Protoss_Cybernetics_Core 3185; 
Protoss_Pylon 1280; Protoss_Opening FastObs; Protoss_Assimilator 2490; Protoss_Gateway 2000; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 21565; Protoss_Robotics_Facility 4785; Protoss_Fleet_Beacon 25025; Protoss_Stargate 19650; Protoss_Citadel_of_Adun 9765; Protoss_Forge 10055; Protoss_Templar_Archives 12355; Protoss_Photon_Cannon 14000; Protoss_Cybernetics_Core 3205; 
Protoss_Pylon 1295; Protoss_Opening FastObs; Protoss_Assimilator 2580; Protoss_Gateway 2065; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4795; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 9950; Protoss_Forge 12195; Protoss_Templar_Archives 11885; Protoss_Photon_Cannon 12905; Protoss_Cybernetics_Core 3280; 
Protoss_Pylon 1205; Protoss_Opening FastObs; Protoss_Assimilator 2565; Protoss_Gateway 1980; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5840; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 7155; Protoss_Forge 14945; Protoss_Templar_Archives 8650; Protoss_Photon_Cannon 18285; Protoss_Cybernetics_Core 3125; 
Protoss_Pylon 1200; Protoss_Opening FastDT; Protoss_Assimilator 2440; Protoss_Gateway 1920; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 9090; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 6995; Protoss_Forge 8530; Protoss_Templar_Archives 8305; Protoss_Photon_Cannon 9775; Protoss_Cybernetics_Core 4895; 
Protoss_Pylon 1175; Protoss_Opening FastExpand; Protoss_Assimilator 2480; Protoss_Gateway 1975; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 10270; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 8690; Protoss_Forge 0; Protoss_Templar_Archives 12730; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 3070; 
Protoss_Pylon 1290; Protoss_Opening FastExpand; Protoss_Assimilator 2650; Protoss_Gateway 2065; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 8085; Protoss_Fleet_Beacon 41145; Protoss_Stargate 39840; Protoss_Citadel_of_Adun 11335; Protoss_Forge 15805; Protoss_Templar_Archives 17635; Protoss_Photon_Cannon 17760; Protoss_Cybernetics_Core 3195; 
Protoss_Pylon 1250; Protoss_Opening FastObs; Protoss_Assimilator 2545; Protoss_Gateway 2015; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4725; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 13925; Protoss_Forge 15530; Protoss_Templar_Archives 26635; Protoss_Photon_Cannon 16965; Protoss_Cybernetics_Core 3130; 
Protoss_Pylon 1285; Protoss_Opening FastObs; Protoss_Assimilator 2585; Protoss_Gateway 2020; Protoss_Robotics_Support_Bay 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4760; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 10210; Protoss_Forge 17260; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 18350; Protoss_Cybernetics_Core 3190; 
Protoss_Pylon 1280; Protoss_Opening FastObs; Protoss_Assimilator 2545; Protoss_Gateway 2015; Protoss_Robotics_Support_Bay 7540; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 5825; Protoss_Fleet_Beacon 16020; Protoss_Stargate 14710; Protoss_Citadel_of_Adun 10525; Protoss_Forge 21310; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 22790; Protoss_Cybernetics_Core 3130; 
Protoss_Pylon 1220; Protoss_Opening ReaverDrop; Protoss_Assimilator 2530; Protoss_Gateway 2020; Protoss_Robotics_Support_Bay 6215; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 4740; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 10365; Protoss_Forge 16320; Protoss_Templar_Archives 11600; Protoss_Photon_Cannon 17640; Protoss_Cybernetics_Core 3130; 
