Terran_Control_Tower 410; Terran_Comsat_Station 223; Terran_Barracks 114; Terran_Expansion 566; Terran_Refinery 86; Terran_Barracks2 230; Terran_Missile_Turret 333; Terran_Supply_Depot 61; Terran_Engineering_Bay 136; Terran_Science_Facility 386; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 329; Terran_Opening unknown; Terran_Academy 167; Terran_Bunker 0; Terran_Factory 267; 
Terran_Control_Tower 287; Terran_Comsat_Station 303; Terran_Barracks 100; Terran_Expansion 543; Terran_Refinery 126; Terran_Barracks2 317; Terran_Missile_Turret 412; Terran_Supply_Depot 60; Terran_Engineering_Bay 370; Terran_Science_Facility 450; Terran_Machine_Shop 448; Terran_Armory -1; Terran_Starport 238; Terran_Opening unknown; Terran_Academy 231; Terran_Bunker 626; Terran_Factory 178; 
Terran_Control_Tower -1; Terran_Comsat_Station 313; Terran_Barracks 65; Terran_Expansion -1; Terran_Refinery 222; Terran_Barracks2 191; Terran_Missile_Turret 547; Terran_Supply_Depot 78; Terran_Engineering_Bay 506; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening bio; Terran_Academy 250; Terran_Bunker -1; Terran_Factory 660; 
Terran_Control_Tower 571; Terran_Comsat_Station 272; Terran_Barracks 84; Terran_Expansion 446; Terran_Refinery 181; Terran_Barracks2 118; Terran_Missile_Turret 728; Terran_Supply_Depot 59; Terran_Engineering_Bay 240; Terran_Science_Facility 523; Terran_Machine_Shop 496; Terran_Armory -1; Terran_Starport 473; Terran_Opening ; Terran_Academy 217; Terran_Bunker 175; Terran_Factory 393; 
Terran_Control_Tower 531; Terran_Comsat_Station 326; Terran_Barracks 83; Terran_Expansion 769; Terran_Refinery 174; Terran_Barracks2 113; Terran_Missile_Turret 516; Terran_Supply_Depot 58; Terran_Engineering_Bay 217; Terran_Science_Facility 530; Terran_Machine_Shop 654; Terran_Armory -1; Terran_Starport 433; Terran_Opening two_facto; Terran_Academy 270; Terran_Bunker 637; Terran_Factory 355; 
Terran_Control_Tower 574; Terran_Comsat_Station 279; Terran_Barracks 83; Terran_Expansion -1; Terran_Refinery 160; Terran_Barracks2 111; Terran_Missile_Turret 461; Terran_Supply_Depot 59; Terran_Engineering_Bay 363; Terran_Science_Facility 566; Terran_Machine_Shop 268; Terran_Armory -1; Terran_Starport 416; Terran_Opening two_facto; Terran_Academy 225; Terran_Bunker 794; Terran_Factory 212; 
Terran_Control_Tower 677; Terran_Comsat_Station 372; Terran_Barracks 60; Terran_Expansion 787; Terran_Refinery 285; Terran_Barracks2 117; Terran_Missile_Turret -1; Terran_Supply_Depot 82; Terran_Engineering_Bay 876; Terran_Science_Facility 662; Terran_Machine_Shop 518; Terran_Armory -1; Terran_Starport 579; Terran_Opening bio; Terran_Academy 317; Terran_Bunker 481; Terran_Factory 422; 
Terran_Control_Tower 284; Terran_Comsat_Station 429; Terran_Barracks 91; Terran_Expansion 696; Terran_Refinery 118; Terran_Barracks2 305; Terran_Missile_Turret 562; Terran_Supply_Depot 52; Terran_Engineering_Bay 492; Terran_Science_Facility 505; Terran_Machine_Shop 240; Terran_Armory -1; Terran_Starport 236; Terran_Opening bio; Terran_Academy 337; Terran_Bunker 421; Terran_Factory 183; 
Terran_Control_Tower 506; Terran_Comsat_Station 318; Terran_Barracks 91; Terran_Expansion 565; Terran_Refinery 207; Terran_Barracks2 118; Terran_Missile_Turret 471; Terran_Supply_Depot 55; Terran_Engineering_Bay 430; Terran_Science_Facility 463; Terran_Machine_Shop 558; Terran_Armory -1; Terran_Starport 397; Terran_Opening ; Terran_Academy 262; Terran_Bunker 158; Terran_Factory 341; 
Terran_Control_Tower 313; Terran_Comsat_Station 308; Terran_Barracks 113; Terran_Expansion 464; Terran_Refinery 82; Terran_Barracks2 306; Terran_Missile_Turret 324; Terran_Supply_Depot 53; Terran_Engineering_Bay 140; Terran_Science_Facility 317; Terran_Machine_Shop 0; Terran_Armory -1; Terran_Starport 266; Terran_Opening bio; Terran_Academy 242; Terran_Bunker 623; Terran_Factory 210; 
Terran_Control_Tower 516; Terran_Comsat_Station 289; Terran_Barracks 97; Terran_Expansion 179; Terran_Refinery 222; Terran_Barracks2 251; Terran_Missile_Turret 410; Terran_Supply_Depot 52; Terran_Engineering_Bay 330; Terran_Science_Facility 517; Terran_Machine_Shop 542; Terran_Armory -1; Terran_Starport 466; Terran_Opening rax_fe; Terran_Academy 233; Terran_Bunker 420; Terran_Factory 399; 
Terran_Control_Tower 324; Terran_Comsat_Station 386; Terran_Barracks 101; Terran_Expansion 503; Terran_Refinery 114; Terran_Barracks2 339; Terran_Missile_Turret 509; Terran_Supply_Depot 65; Terran_Engineering_Bay 404; Terran_Science_Facility 557; Terran_Machine_Shop -1; Terran_Armory 558; Terran_Starport 234; Terran_Opening two_facto; Terran_Academy 312; Terran_Bunker -1; Terran_Factory 180; 
Terran_Control_Tower 420; Terran_Comsat_Station 296; Terran_Barracks 98; Terran_Expansion 535; Terran_Refinery 170; Terran_Barracks2 124; Terran_Missile_Turret 449; Terran_Supply_Depot 60; Terran_Engineering_Bay 397; Terran_Science_Facility 418; Terran_Machine_Shop 648; Terran_Armory -1; Terran_Starport 369; Terran_Opening two_facto; Terran_Academy 217; Terran_Bunker 615; Terran_Factory 309; 
Terran_Control_Tower 535; Terran_Comsat_Station 244; Terran_Barracks 64; Terran_Expansion 588; Terran_Refinery 154; Terran_Barracks2 257; Terran_Missile_Turret -1; Terran_Supply_Depot 78; Terran_Engineering_Bay 282; Terran_Science_Facility 533; Terran_Machine_Shop 599; Terran_Armory -1; Terran_Starport 485; Terran_Opening bio; Terran_Academy 185; Terran_Bunker 715; Terran_Factory 428; 
Terran_Control_Tower 553; Terran_Comsat_Station 338; Terran_Barracks 59; Terran_Expansion 204; Terran_Refinery 253; Terran_Barracks2 222; Terran_Missile_Turret 576; Terran_Supply_Depot 78; Terran_Engineering_Bay 380; Terran_Science_Facility 554; Terran_Machine_Shop 439; Terran_Armory -1; Terran_Starport 497; Terran_Opening rax_fe; Terran_Academy 278; Terran_Bunker 165; Terran_Factory 383; 
Terran_Control_Tower 501; Terran_Comsat_Station 257; Terran_Barracks 85; Terran_Expansion 544; Terran_Refinery 136; Terran_Barracks2 119; Terran_Missile_Turret 484; Terran_Supply_Depot 59; Terran_Engineering_Bay 371; Terran_Science_Facility 503; Terran_Machine_Shop 548; Terran_Armory -1; Terran_Starport 408; Terran_Opening ; Terran_Academy 193; Terran_Bunker 470; Terran_Factory 348; 
Terran_Control_Tower 401; Terran_Comsat_Station 275; Terran_Barracks 90; Terran_Expansion 504; Terran_Refinery 188; Terran_Barracks2 118; Terran_Missile_Turret 567; Terran_Supply_Depot 58; Terran_Engineering_Bay 335; Terran_Science_Facility 411; Terran_Machine_Shop 506; Terran_Armory 0; Terran_Starport 353; Terran_Opening drop; Terran_Academy 215; Terran_Bunker 404; Terran_Factory 291; 
Terran_Control_Tower 268; Terran_Comsat_Station 285; Terran_Barracks 91; Terran_Expansion 543; Terran_Refinery 114; Terran_Barracks2 209; Terran_Missile_Turret 425; Terran_Supply_Depot 59; Terran_Engineering_Bay 381; Terran_Science_Facility 278; Terran_Machine_Shop 587; Terran_Armory -1; Terran_Starport 220; Terran_Opening bio; Terran_Academy 227; Terran_Bunker 580; Terran_Factory 167; 
Terran_Control_Tower 323; Terran_Comsat_Station 294; Terran_Barracks 88; Terran_Expansion 473; Terran_Refinery 156; Terran_Barracks2 118; Terran_Missile_Turret 379; Terran_Supply_Depot 60; Terran_Engineering_Bay 333; Terran_Science_Facility 438; Terran_Machine_Shop 525; Terran_Armory -1; Terran_Starport 266; Terran_Opening unknown; Terran_Academy 233; Terran_Bunker -1; Terran_Factory 208; 
Terran_Control_Tower 623; Terran_Comsat_Station 241; Terran_Barracks 91; Terran_Expansion 650; Terran_Refinery 158; Terran_Barracks2 112; Terran_Missile_Turret 992; Terran_Supply_Depot 59; Terran_Engineering_Bay 379; Terran_Science_Facility 760; Terran_Machine_Shop 558; Terran_Armory -1; Terran_Starport 559; Terran_Opening two_facto; Terran_Academy 187; Terran_Bunker 832; Terran_Factory 484; 
Terran_Control_Tower 416; Terran_Comsat_Station 839; Terran_Barracks 60; Terran_Expansion 714; Terran_Refinery 122; Terran_Barracks2 290; Terran_Missile_Turret 676; Terran_Supply_Depot 75; Terran_Engineering_Bay 593; Terran_Science_Facility 538; Terran_Machine_Shop 245; Terran_Armory 362; Terran_Starport 360; Terran_Opening unknown; Terran_Academy 783; Terran_Bunker 456; Terran_Factory 186; 
Terran_Control_Tower 351; Terran_Comsat_Station 276; Terran_Barracks 87; Terran_Expansion 507; Terran_Refinery 164; Terran_Barracks2 116; Terran_Missile_Turret 472; Terran_Supply_Depot 57; Terran_Engineering_Bay 361; Terran_Science_Facility 350; Terran_Machine_Shop 337; Terran_Armory -1; Terran_Starport 297; Terran_Opening drop; Terran_Academy 201; Terran_Bunker 435; Terran_Factory 241; 
Terran_Control_Tower 590; Terran_Comsat_Station 263; Terran_Barracks 85; Terran_Expansion 343; Terran_Refinery 201; Terran_Barracks2 134; Terran_Missile_Turret 602; Terran_Supply_Depot 61; Terran_Engineering_Bay 526; Terran_Science_Facility 837; Terran_Machine_Shop 876; Terran_Armory -1; Terran_Starport 541; Terran_Opening bio; Terran_Academy 206; Terran_Bunker 579; Terran_Factory 456; 
Terran_Control_Tower 494; Terran_Comsat_Station 460; Terran_Barracks 89; Terran_Expansion -1; Terran_Refinery 104; Terran_Barracks2 396; Terran_Missile_Turret 389; Terran_Supply_Depot 62; Terran_Engineering_Bay 332; Terran_Science_Facility 497; Terran_Machine_Shop 348; Terran_Armory -1; Terran_Starport 224; Terran_Opening bio; Terran_Academy 399; Terran_Bunker 361; Terran_Factory 168; 
Terran_Control_Tower 268; Terran_Comsat_Station 285; Terran_Barracks 91; Terran_Expansion 543; Terran_Refinery 114; Terran_Barracks2 209; Terran_Missile_Turret 425; Terran_Supply_Depot 59; Terran_Engineering_Bay 381; Terran_Science_Facility 278; Terran_Machine_Shop 587; Terran_Armory -1; Terran_Starport 220; Terran_Opening bio; Terran_Academy 227; Terran_Bunker 580; Terran_Factory 167; 
Terran_Control_Tower 600; Terran_Comsat_Station 312; Terran_Barracks 91; Terran_Expansion 196; Terran_Refinery 228; Terran_Barracks2 121; Terran_Missile_Turret 416; Terran_Supply_Depot 59; Terran_Engineering_Bay 241; Terran_Science_Facility 646; Terran_Machine_Shop 541; Terran_Armory -1; Terran_Starport 544; Terran_Opening rax_fe; Terran_Academy 256; Terran_Bunker 399; Terran_Factory 480; 
Terran_Control_Tower 320; Terran_Comsat_Station 286; Terran_Barracks 91; Terran_Expansion 642; Terran_Refinery 163; Terran_Barracks2 119; Terran_Missile_Turret 374; Terran_Supply_Depot 59; Terran_Engineering_Bay 327; Terran_Science_Facility 440; Terran_Machine_Shop 660; Terran_Armory -1; Terran_Starport 270; Terran_Opening drop; Terran_Academy 225; Terran_Bunker 446; Terran_Factory 214; 
Terran_Control_Tower 449; Terran_Comsat_Station 345; Terran_Barracks 90; Terran_Expansion 193; Terran_Refinery 238; Terran_Barracks2 117; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility 411; Terran_Machine_Shop 359; Terran_Armory -1; Terran_Starport 361; Terran_Opening rax_fe; Terran_Academy 267; Terran_Bunker 422; Terran_Factory 295; 
Terran_Control_Tower 700; Terran_Comsat_Station 315; Terran_Barracks 69; Terran_Expansion 219; Terran_Refinery 236; Terran_Barracks2 180; Terran_Missile_Turret 410; Terran_Supply_Depot 97; Terran_Engineering_Bay 339; Terran_Science_Facility 700; Terran_Machine_Shop 572; Terran_Armory -1; Terran_Starport 646; Terran_Opening rax_fe; Terran_Academy 248; Terran_Bunker 466; Terran_Factory 504; 
Terran_Control_Tower -1; Terran_Comsat_Station 248; Terran_Barracks 91; Terran_Expansion -1; Terran_Refinery 160; Terran_Barracks2 118; Terran_Missile_Turret 422; Terran_Supply_Depot 60; Terran_Engineering_Bay 371; Terran_Science_Facility -1; Terran_Machine_Shop 484; Terran_Armory -1; Terran_Starport 467; Terran_Opening ; Terran_Academy 191; Terran_Bunker -1; Terran_Factory 413; 
Terran_Control_Tower 511; Terran_Comsat_Station 308; Terran_Barracks 88; Terran_Expansion 190; Terran_Refinery 237; Terran_Barracks2 116; Terran_Missile_Turret 481; Terran_Supply_Depot 57; Terran_Engineering_Bay 404; Terran_Science_Facility 510; Terran_Machine_Shop 416; Terran_Armory -1; Terran_Starport 458; Terran_Opening rax_fe; Terran_Academy 249; Terran_Bunker 495; Terran_Factory 356; 
Terran_Control_Tower 714; Terran_Comsat_Station 325; Terran_Barracks 85; Terran_Expansion 214; Terran_Refinery 240; Terran_Barracks2 121; Terran_Missile_Turret 513; Terran_Supply_Depot 58; Terran_Engineering_Bay 465; Terran_Science_Facility 704; Terran_Machine_Shop 366; Terran_Armory -1; Terran_Starport 647; Terran_Opening rax_fe; Terran_Academy 272; Terran_Bunker 458; Terran_Factory 307; 
Terran_Control_Tower 667; Terran_Comsat_Station 325; Terran_Barracks 88; Terran_Expansion 199; Terran_Refinery 234; Terran_Barracks2 116; Terran_Missile_Turret 839; Terran_Supply_Depot 58; Terran_Engineering_Bay 244; Terran_Science_Facility 635; Terran_Machine_Shop 479; Terran_Armory -1; Terran_Starport 465; Terran_Opening rax_fe; Terran_Academy 261; Terran_Bunker 490; Terran_Factory 402; 
Terran_Control_Tower 411; Terran_Comsat_Station 333; Terran_Barracks 90; Terran_Expansion 204; Terran_Refinery 161; Terran_Barracks2 116; Terran_Missile_Turret 434; Terran_Supply_Depot 58; Terran_Engineering_Bay 380; Terran_Science_Facility 398; Terran_Machine_Shop 372; Terran_Armory -1; Terran_Starport 348; Terran_Opening rax_fe; Terran_Academy 275; Terran_Bunker 497; Terran_Factory 271; 
Terran_Control_Tower 351; Terran_Comsat_Station 287; Terran_Barracks 88; Terran_Expansion 541; Terran_Refinery 170; Terran_Barracks2 120; Terran_Missile_Turret 600; Terran_Supply_Depot 58; Terran_Engineering_Bay 275; Terran_Science_Facility 552; Terran_Machine_Shop 426; Terran_Armory -1; Terran_Starport 304; Terran_Opening drop; Terran_Academy 227; Terran_Bunker 429; Terran_Factory 245; 
Terran_Control_Tower 553; Terran_Comsat_Station 315; Terran_Barracks 89; Terran_Expansion 212; Terran_Refinery 139; Terran_Barracks2 118; Terran_Missile_Turret 525; Terran_Supply_Depot 58; Terran_Engineering_Bay 249; Terran_Science_Facility 552; Terran_Machine_Shop 533; Terran_Armory -1; Terran_Starport 499; Terran_Opening rax_fe; Terran_Academy 258; Terran_Bunker 512; Terran_Factory 440; 
Terran_Control_Tower 481; Terran_Comsat_Station 242; Terran_Barracks 91; Terran_Expansion 594; Terran_Refinery 197; Terran_Barracks2 120; Terran_Missile_Turret 465; Terran_Supply_Depot 60; Terran_Engineering_Bay 421; Terran_Science_Facility 476; Terran_Machine_Shop 417; Terran_Armory -1; Terran_Starport 427; Terran_Opening ; Terran_Academy 185; Terran_Bunker 356; Terran_Factory 335; 
Terran_Control_Tower 511; Terran_Comsat_Station 317; Terran_Barracks 92; Terran_Expansion 195; Terran_Refinery 207; Terran_Barracks2 120; Terran_Missile_Turret 353; Terran_Supply_Depot 59; Terran_Engineering_Bay 313; Terran_Science_Facility 557; Terran_Machine_Shop 436; Terran_Armory -1; Terran_Starport 421; Terran_Opening rax_fe; Terran_Academy 262; Terran_Bunker 447; Terran_Factory 258; 
Terran_Control_Tower 488; Terran_Comsat_Station 300; Terran_Barracks 85; Terran_Expansion 196; Terran_Refinery 241; Terran_Barracks2 116; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay 268; Terran_Science_Facility 489; Terran_Machine_Shop 459; Terran_Armory -1; Terran_Starport 430; Terran_Opening rax_fe; Terran_Academy 246; Terran_Bunker 455; Terran_Factory 356; 
Terran_Control_Tower 506; Terran_Comsat_Station 310; Terran_Barracks 93; Terran_Expansion 212; Terran_Refinery 223; Terran_Barracks2 116; Terran_Missile_Turret 397; Terran_Supply_Depot 60; Terran_Engineering_Bay 236; Terran_Science_Facility 505; Terran_Machine_Shop 455; Terran_Armory -1; Terran_Starport 449; Terran_Opening rax_fe; Terran_Academy 256; Terran_Bunker 351; Terran_Factory 394; 
Terran_Control_Tower 436; Terran_Comsat_Station 311; Terran_Barracks 93; Terran_Expansion 195; Terran_Refinery 206; Terran_Barracks2 118; Terran_Missile_Turret 442; Terran_Supply_Depot 60; Terran_Engineering_Bay 318; Terran_Science_Facility 435; Terran_Machine_Shop 343; Terran_Armory 0; Terran_Starport 388; Terran_Opening rax_fe; Terran_Academy 242; Terran_Bunker 490; Terran_Factory 282; 
Terran_Control_Tower 632; Terran_Comsat_Station 294; Terran_Barracks 89; Terran_Expansion 478; Terran_Refinery 157; Terran_Barracks2 118; Terran_Missile_Turret 428; Terran_Supply_Depot 58; Terran_Engineering_Bay 182; Terran_Science_Facility 621; Terran_Machine_Shop 580; Terran_Armory -1; Terran_Starport 562; Terran_Opening two_facto; Terran_Academy 232; Terran_Bunker -1; Terran_Factory 500; 
Terran_Control_Tower 507; Terran_Comsat_Station 308; Terran_Barracks 89; Terran_Expansion 194; Terran_Refinery 229; Terran_Barracks2 117; Terran_Missile_Turret 416; Terran_Supply_Depot 59; Terran_Engineering_Bay 368; Terran_Science_Facility 507; Terran_Machine_Shop 448; Terran_Armory -1; Terran_Starport 458; Terran_Opening rax_fe; Terran_Academy 254; Terran_Bunker 407; Terran_Factory 364; 
Terran_Control_Tower 530; Terran_Comsat_Station 327; Terran_Barracks 92; Terran_Expansion 196; Terran_Refinery 249; Terran_Barracks2 118; Terran_Missile_Turret 441; Terran_Supply_Depot 60; Terran_Engineering_Bay 345; Terran_Science_Facility 529; Terran_Machine_Shop 475; Terran_Armory -1; Terran_Starport 474; Terran_Opening rax_fe; Terran_Academy 269; Terran_Bunker 454; Terran_Factory 420; 
Terran_Control_Tower 580; Terran_Comsat_Station 265; Terran_Barracks 87; Terran_Expansion 824; Terran_Refinery 154; Terran_Barracks2 115; Terran_Missile_Turret 419; Terran_Supply_Depot 59; Terran_Engineering_Bay 260; Terran_Science_Facility 585; Terran_Machine_Shop 404; Terran_Armory -1; Terran_Starport 518; Terran_Opening two_facto; Terran_Academy 201; Terran_Bunker 311; Terran_Factory 339; 
Terran_Control_Tower 531; Terran_Comsat_Station 332; Terran_Barracks 93; Terran_Expansion 567; Terran_Refinery 236; Terran_Barracks2 117; Terran_Missile_Turret 372; Terran_Supply_Depot 57; Terran_Engineering_Bay 329; Terran_Science_Facility 530; Terran_Machine_Shop 345; Terran_Armory -1; Terran_Starport 468; Terran_Opening ; Terran_Academy 247; Terran_Bunker 625; Terran_Factory 290; 
Terran_Control_Tower 530; Terran_Comsat_Station 327; Terran_Barracks 92; Terran_Expansion 196; Terran_Refinery 249; Terran_Barracks2 118; Terran_Missile_Turret 441; Terran_Supply_Depot 60; Terran_Engineering_Bay 345; Terran_Science_Facility 529; Terran_Machine_Shop 475; Terran_Armory -1; Terran_Starport 474; Terran_Opening rax_fe; Terran_Academy 269; Terran_Bunker 454; Terran_Factory 420; 
Terran_Control_Tower 506; Terran_Comsat_Station 310; Terran_Barracks 93; Terran_Expansion 212; Terran_Refinery 223; Terran_Barracks2 116; Terran_Missile_Turret 397; Terran_Supply_Depot 60; Terran_Engineering_Bay 236; Terran_Science_Facility 505; Terran_Machine_Shop 455; Terran_Armory -1; Terran_Starport 449; Terran_Opening rax_fe; Terran_Academy 256; Terran_Bunker 351; Terran_Factory 394; 
Terran_Control_Tower 436; Terran_Comsat_Station 305; Terran_Barracks 82; Terran_Expansion 574; Terran_Refinery 219; Terran_Barracks2 112; Terran_Missile_Turret 456; Terran_Supply_Depot 57; Terran_Engineering_Bay 402; Terran_Science_Facility 467; Terran_Machine_Shop 570; Terran_Armory -1; Terran_Starport 386; Terran_Opening drop; Terran_Academy 234; Terran_Bunker 139; Terran_Factory 330; 
Terran_Control_Tower -1; Terran_Comsat_Station 232; Terran_Barracks 81; Terran_Expansion 301; Terran_Refinery 156; Terran_Barracks2 117; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay 320; Terran_Science_Facility -1; Terran_Machine_Shop 416; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 172; Terran_Bunker 383; Terran_Factory 346; 
Terran_Control_Tower 569; Terran_Comsat_Station 230; Terran_Barracks 88; Terran_Expansion -1; Terran_Refinery 125; Terran_Barracks2 197; Terran_Missile_Turret 482; Terran_Supply_Depot 59; Terran_Engineering_Bay 107; Terran_Science_Facility 553; Terran_Machine_Shop 364; Terran_Armory -1; Terran_Starport 454; Terran_Opening bio; Terran_Academy 157; Terran_Bunker 665; Terran_Factory 311; 
Terran_Control_Tower 310; Terran_Comsat_Station 298; Terran_Barracks 88; Terran_Expansion 650; Terran_Refinery 106; Terran_Barracks2 282; Terran_Missile_Turret 414; Terran_Supply_Depot 58; Terran_Engineering_Bay 341; Terran_Science_Facility 286; Terran_Machine_Shop 467; Terran_Armory -1; Terran_Starport 225; Terran_Opening bio; Terran_Academy 245; Terran_Bunker 371; Terran_Factory 170; 
Terran_Control_Tower 530; Terran_Comsat_Station 306; Terran_Barracks 85; Terran_Expansion 207; Terran_Refinery 232; Terran_Barracks2 121; Terran_Missile_Turret 437; Terran_Supply_Depot 59; Terran_Engineering_Bay 316; Terran_Science_Facility 532; Terran_Machine_Shop 473; Terran_Armory 702; Terran_Starport 481; Terran_Opening rax_fe; Terran_Academy 249; Terran_Bunker 436; Terran_Factory 405; 
Terran_Control_Tower 307; Terran_Comsat_Station 282; Terran_Barracks 90; Terran_Expansion 339; Terran_Refinery 151; Terran_Barracks2 115; Terran_Missile_Turret 655; Terran_Supply_Depot 59; Terran_Engineering_Bay 610; Terran_Science_Facility 306; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 259; Terran_Opening two_facto; Terran_Academy 169; Terran_Bunker 617; Terran_Factory 204; 
Terran_Control_Tower 582; Terran_Comsat_Station 378; Terran_Barracks 90; Terran_Expansion 752; Terran_Refinery 104; Terran_Barracks2 360; Terran_Missile_Turret 380; Terran_Supply_Depot 60; Terran_Engineering_Bay 337; Terran_Science_Facility 536; Terran_Machine_Shop 533; Terran_Armory -1; Terran_Starport 211; Terran_Opening bio; Terran_Academy 324; Terran_Bunker 597; Terran_Factory 158; 
Terran_Control_Tower 659; Terran_Comsat_Station 322; Terran_Barracks 86; Terran_Expansion 209; Terran_Refinery 236; Terran_Barracks2 119; Terran_Missile_Turret 486; Terran_Supply_Depot 60; Terran_Engineering_Bay 443; Terran_Science_Facility 660; Terran_Machine_Shop 397; Terran_Armory -1; Terran_Starport 601; Terran_Opening rax_fe; Terran_Academy 260; Terran_Bunker 518; Terran_Factory 344; 
Terran_Control_Tower 435; Terran_Comsat_Station 272; Terran_Barracks 84; Terran_Expansion 650; Terran_Refinery 181; Terran_Barracks2 118; Terran_Missile_Turret 825; Terran_Supply_Depot 52; Terran_Engineering_Bay 738; Terran_Science_Facility 433; Terran_Machine_Shop 370; Terran_Armory -1; Terran_Starport 371; Terran_Opening two_facto; Terran_Academy 220; Terran_Bunker 406; Terran_Factory 311; 
Terran_Control_Tower 414; Terran_Comsat_Station 253; Terran_Barracks 90; Terran_Expansion 185; Terran_Refinery 121; Terran_Barracks2 224; Terran_Missile_Turret 382; Terran_Supply_Depot 60; Terran_Engineering_Bay 339; Terran_Science_Facility 413; Terran_Machine_Shop 571; Terran_Armory -1; Terran_Starport 333; Terran_Opening rax_fe; Terran_Academy 198; Terran_Bunker -1; Terran_Factory 277; 
Terran_Control_Tower 504; Terran_Comsat_Station 301; Terran_Barracks 90; Terran_Expansion 216; Terran_Refinery 233; Terran_Barracks2 109; Terran_Missile_Turret 393; Terran_Supply_Depot 58; Terran_Engineering_Bay 351; Terran_Science_Facility 481; Terran_Machine_Shop 534; Terran_Armory -1; Terran_Starport 427; Terran_Opening rax_fe; Terran_Academy 245; Terran_Bunker -1; Terran_Factory 307; 
Terran_Control_Tower 471; Terran_Comsat_Station 307; Terran_Barracks 82; Terran_Expansion 234; Terran_Refinery 240; Terran_Barracks2 112; Terran_Missile_Turret 450; Terran_Supply_Depot 58; Terran_Engineering_Bay 361; Terran_Science_Facility 493; Terran_Machine_Shop 438; Terran_Armory -1; Terran_Starport 399; Terran_Opening rax_fe; Terran_Academy 251; Terran_Bunker 483; Terran_Factory 343; 
Terran_Control_Tower 553; Terran_Comsat_Station 318; Terran_Barracks 84; Terran_Expansion 228; Terran_Refinery 164; Terran_Barracks2 120; Terran_Missile_Turret 420; Terran_Supply_Depot 58; Terran_Engineering_Bay 359; Terran_Science_Facility 590; Terran_Machine_Shop 403; Terran_Armory -1; Terran_Starport 502; Terran_Opening rax_fe; Terran_Academy 256; Terran_Bunker 378; Terran_Factory 343; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 60; Terran_Expansion -1; Terran_Refinery 119; Terran_Barracks2 140; Terran_Missile_Turret -1; Terran_Supply_Depot 87; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening bio; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 283; Terran_Comsat_Station 424; Terran_Barracks 73; Terran_Expansion 521; Terran_Refinery 117; Terran_Barracks2 174; Terran_Missile_Turret 605; Terran_Supply_Depot 84; Terran_Engineering_Bay 560; Terran_Science_Facility 593; Terran_Machine_Shop 238; Terran_Armory 356; Terran_Starport 234; Terran_Opening bio; Terran_Academy 369; Terran_Bunker -1; Terran_Factory 182; 
Terran_Control_Tower 653; Terran_Comsat_Station 314; Terran_Barracks 87; Terran_Expansion 693; Terran_Refinery 230; Terran_Barracks2 118; Terran_Missile_Turret 463; Terran_Supply_Depot 53; Terran_Engineering_Bay 386; Terran_Science_Facility 651; Terran_Machine_Shop 614; Terran_Armory -1; Terran_Starport 597; Terran_Opening ; Terran_Academy 260; Terran_Bunker 358; Terran_Factory 543; 
Terran_Control_Tower 337; Terran_Comsat_Station 323; Terran_Barracks 89; Terran_Expansion 481; Terran_Refinery 180; Terran_Barracks2 116; Terran_Missile_Turret 504; Terran_Supply_Depot 57; Terran_Engineering_Bay 384; Terran_Science_Facility 426; Terran_Machine_Shop 692; Terran_Armory -1; Terran_Starport 289; Terran_Opening drop; Terran_Academy 267; Terran_Bunker 448; Terran_Factory 232; 
Terran_Control_Tower 418; Terran_Comsat_Station 275; Terran_Barracks 83; Terran_Expansion 708; Terran_Refinery 174; Terran_Barracks2 122; Terran_Missile_Turret 571; Terran_Supply_Depot 58; Terran_Engineering_Bay 389; Terran_Science_Facility 587; Terran_Machine_Shop 312; Terran_Armory -1; Terran_Starport 331; Terran_Opening drop; Terran_Academy 217; Terran_Bunker 662; Terran_Factory 256; 
Terran_Control_Tower 453; Terran_Comsat_Station 304; Terran_Barracks 88; Terran_Expansion 206; Terran_Refinery 233; Terran_Barracks2 116; Terran_Missile_Turret 534; Terran_Supply_Depot 58; Terran_Engineering_Bay 375; Terran_Science_Facility 528; Terran_Machine_Shop 645; Terran_Armory -1; Terran_Starport 406; Terran_Opening rax_fe; Terran_Academy 243; Terran_Bunker 530; Terran_Factory 337; 
