Protoss_Pylon2 131; Protoss_Pylon 55; Protoss_Opening two_gates; Protoss_Assimilator 216; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 336; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 398; Protoss_Fleet_Beacon 0; Protoss_Stargate 403; Protoss_Citadel_of_Adun 532; Protoss_Gateway2 104; Protoss_Forge 459; Protoss_Templar_Archives 685; Protoss_Photon_Cannon 489; Protoss_Cybernetics_Core 351; 
Protoss_Pylon2 107; Protoss_Pylon 55; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 126; Protoss_Pylon 43; Protoss_Opening ; Protoss_Assimilator 294; Protoss_Gateway 91; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 262; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 502; Protoss_Citadel_of_Adun 510; Protoss_Gateway2 107; Protoss_Forge 266; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 299; Protoss_Cybernetics_Core 387; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 176; Protoss_Pylon 61; Protoss_Opening corsair; Protoss_Assimilator 235; Protoss_Gateway 228; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 146; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 335; Protoss_Citadel_of_Adun 437; Protoss_Gateway2 300; Protoss_Forge 89; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 160; Protoss_Cybernetics_Core 275; 
Protoss_Pylon2 134; Protoss_Pylon 50; Protoss_Opening two_gates; Protoss_Assimilator 241; Protoss_Gateway 78; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 323; Protoss_Citadel_of_Adun 342; Protoss_Gateway2 100; Protoss_Forge 389; Protoss_Templar_Archives 408; Protoss_Photon_Cannon 419; Protoss_Cybernetics_Core 264; 
Protoss_Pylon2 187; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 202; Protoss_Gateway 183; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 168; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 289; Protoss_Gateway2 315; Protoss_Forge 89; Protoss_Templar_Archives 335; Protoss_Photon_Cannon 126; Protoss_Cybernetics_Core 244; 
Protoss_Pylon2 192; Protoss_Pylon 52; Protoss_Opening corsair; Protoss_Assimilator 203; Protoss_Gateway 187; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 176; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 484; Protoss_Fleet_Beacon -1; Protoss_Stargate 286; Protoss_Citadel_of_Adun 310; Protoss_Gateway2 295; Protoss_Forge 89; Protoss_Templar_Archives 364; Protoss_Photon_Cannon 119; Protoss_Cybernetics_Core 237; 
Protoss_Pylon2 121; Protoss_Pylon 49; Protoss_Opening fast_dt; Protoss_Assimilator 427; Protoss_Gateway 74; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 401; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 682; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 527; Protoss_Gateway2 630; Protoss_Forge 255; Protoss_Templar_Archives 577; Protoss_Photon_Cannon 318; Protoss_Cybernetics_Core 460; 
Protoss_Pylon2 118; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 373; Protoss_Gateway 73; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 728; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 633; Protoss_Fleet_Beacon -1; Protoss_Stargate 814; Protoss_Citadel_of_Adun 469; Protoss_Gateway2 94; Protoss_Forge 238; Protoss_Templar_Archives 676; Protoss_Photon_Cannon 277; Protoss_Cybernetics_Core 411; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 152; Protoss_Pylon 50; Protoss_Opening corsair; Protoss_Assimilator 209; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 200; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 629; Protoss_Fleet_Beacon -1; Protoss_Stargate 289; Protoss_Citadel_of_Adun 320; Protoss_Gateway2 482; Protoss_Forge 125; Protoss_Templar_Archives 382; Protoss_Photon_Cannon 167; Protoss_Cybernetics_Core 242; 
Protoss_Pylon2 142; Protoss_Pylon 49; Protoss_Opening corsair; Protoss_Assimilator 204; Protoss_Gateway 192; Protoss_Robotics_Support_Bay 391; Protoss_Expansion 179; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 337; Protoss_Fleet_Beacon -1; Protoss_Stargate 278; Protoss_Citadel_of_Adun 534; Protoss_Gateway2 398; Protoss_Forge 86; Protoss_Templar_Archives 629; Protoss_Photon_Cannon 122; Protoss_Cybernetics_Core 237; 
Protoss_Pylon2 298; Protoss_Pylon 49; Protoss_Opening corsair; Protoss_Assimilator 203; Protoss_Gateway 192; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 138; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 585; Protoss_Fleet_Beacon -1; Protoss_Stargate 323; Protoss_Citadel_of_Adun 337; Protoss_Gateway2 197; Protoss_Forge 97; Protoss_Templar_Archives 381; Protoss_Photon_Cannon 149; Protoss_Cybernetics_Core 264; 
Protoss_Pylon2 226; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 199; Protoss_Gateway 88; Protoss_Robotics_Support_Bay 412; Protoss_Expansion 137; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 347; Protoss_Fleet_Beacon -1; Protoss_Stargate 323; Protoss_Citadel_of_Adun 453; Protoss_Gateway2 186; Protoss_Forge 86; Protoss_Templar_Archives 561; Protoss_Photon_Cannon 148; Protoss_Cybernetics_Core 280; 
Protoss_Pylon2 119; Protoss_Pylon 47; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway 71; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 112; Protoss_Pylon 50; Protoss_Opening corsair; Protoss_Assimilator 92; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 318; Protoss_Expansion 354; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 241; Protoss_Fleet_Beacon 406; Protoss_Stargate 213; Protoss_Citadel_of_Adun 795; Protoss_Gateway2 770; Protoss_Forge 185; Protoss_Templar_Archives 841; Protoss_Photon_Cannon 216; Protoss_Cybernetics_Core 159; 
Protoss_Pylon2 260; Protoss_Pylon 49; Protoss_Opening unknown; Protoss_Assimilator 196; Protoss_Gateway 182; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 131; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 558; Protoss_Fleet_Beacon -1; Protoss_Stargate 294; Protoss_Citadel_of_Adun 319; Protoss_Gateway2 349; Protoss_Forge 98; Protoss_Templar_Archives 361; Protoss_Photon_Cannon 143; Protoss_Cybernetics_Core 247; 
Protoss_Pylon2 175; Protoss_Pylon 49; Protoss_Opening corsair; Protoss_Assimilator 215; Protoss_Gateway 186; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 134; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 637; Protoss_Fleet_Beacon -1; Protoss_Stargate 320; Protoss_Citadel_of_Adun 368; Protoss_Gateway2 406; Protoss_Forge 110; Protoss_Templar_Archives 410; Protoss_Photon_Cannon 149; Protoss_Cybernetics_Core 247; 
Protoss_Pylon2 182; Protoss_Pylon 49; Protoss_Opening speedzeal; Protoss_Assimilator 208; Protoss_Gateway 198; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 148; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 628; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 300; Protoss_Gateway2 307; Protoss_Forge 112; Protoss_Templar_Archives 389; Protoss_Photon_Cannon 156; Protoss_Cybernetics_Core 239; 
Protoss_Pylon2 126; Protoss_Pylon 47; Protoss_Opening ; Protoss_Assimilator 528; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 517; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 596; Protoss_Citadel_of_Adun 641; Protoss_Gateway2 -1; Protoss_Forge 268; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 320; Protoss_Cybernetics_Core 550; 
Protoss_Pylon2 186; Protoss_Pylon 50; Protoss_Opening ; Protoss_Assimilator 209; Protoss_Gateway 203; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 173; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 306; Protoss_Gateway2 -1; Protoss_Forge 88; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 123; Protoss_Cybernetics_Core 251; 
Protoss_Pylon2 194; Protoss_Pylon 53; Protoss_Opening ; Protoss_Assimilator 201; Protoss_Gateway 208; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 182; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 297; Protoss_Citadel_of_Adun 307; Protoss_Gateway2 -1; Protoss_Forge 86; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 121; Protoss_Cybernetics_Core 252; 
Protoss_Pylon2 132; Protoss_Pylon 54; Protoss_Opening two_gates; Protoss_Assimilator 304; Protoss_Gateway 82; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 279; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 574; Protoss_Fleet_Beacon -1; Protoss_Stargate 374; Protoss_Citadel_of_Adun 430; Protoss_Gateway2 109; Protoss_Forge 287; Protoss_Templar_Archives 486; Protoss_Photon_Cannon 327; Protoss_Cybernetics_Core 314; 
Protoss_Pylon2 187; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 251; Protoss_Gateway 164; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 130; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 533; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 329; Protoss_Gateway2 357; Protoss_Forge 148; Protoss_Templar_Archives 387; Protoss_Photon_Cannon 177; Protoss_Cybernetics_Core 286; 
Protoss_Pylon2 157; Protoss_Pylon 51; Protoss_Opening speedzeal; Protoss_Assimilator 193; Protoss_Gateway 180; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 146; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 455; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 298; Protoss_Gateway2 217; Protoss_Forge 80; Protoss_Templar_Archives 344; Protoss_Photon_Cannon 165; Protoss_Cybernetics_Core 238; 
Protoss_Pylon2 128; Protoss_Pylon 53; Protoss_Opening two_gates; Protoss_Assimilator -1; Protoss_Gateway 81; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 103; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 226; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 161; Protoss_Gateway 153; Protoss_Robotics_Support_Bay 940; Protoss_Expansion 121; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 426; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 292; Protoss_Gateway2 294; Protoss_Forge 140; Protoss_Templar_Archives 367; Protoss_Photon_Cannon 173; Protoss_Cybernetics_Core 247; 
Protoss_Pylon2 125; Protoss_Pylon 50; Protoss_Opening two_gates; Protoss_Assimilator 285; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 861; Protoss_Expansion 280; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 508; Protoss_Fleet_Beacon -1; Protoss_Stargate 0; Protoss_Citadel_of_Adun 357; Protoss_Gateway2 96; Protoss_Forge 189; Protoss_Templar_Archives 407; Protoss_Photon_Cannon 221; Protoss_Cybernetics_Core 293; 
Protoss_Pylon2 116; Protoss_Pylon 48; Protoss_Opening ; Protoss_Assimilator 323; Protoss_Gateway 79; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 285; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 190; Protoss_Pylon 51; Protoss_Opening unknown; Protoss_Assimilator 199; Protoss_Gateway 178; Protoss_Robotics_Support_Bay 373; Protoss_Expansion 145; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 312; Protoss_Fleet_Beacon -1; Protoss_Stargate 286; Protoss_Citadel_of_Adun 452; Protoss_Gateway2 506; Protoss_Forge 87; Protoss_Templar_Archives 497; Protoss_Photon_Cannon 160; Protoss_Cybernetics_Core 242; 
Protoss_Pylon2 101; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 131; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 285; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 209; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 252; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 160; 
Protoss_Pylon2 -1; Protoss_Pylon 0; Protoss_Opening ; Protoss_Assimilator -1; Protoss_Gateway -1; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 182; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 193; Protoss_Gateway 171; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 157; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 467; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 280; Protoss_Gateway2 273; Protoss_Forge 93; Protoss_Templar_Archives 355; Protoss_Photon_Cannon 124; Protoss_Cybernetics_Core 236; 
Protoss_Pylon2 128; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 189; Protoss_Gateway 74; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 581; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate 363; Protoss_Citadel_of_Adun 389; Protoss_Gateway2 98; Protoss_Forge 399; Protoss_Templar_Archives 519; Protoss_Photon_Cannon 454; Protoss_Cybernetics_Core 215; 
Protoss_Pylon2 129; Protoss_Pylon 50; Protoss_Opening two_gates; Protoss_Assimilator -1; Protoss_Gateway 75; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 98; Protoss_Forge 186; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 225; Protoss_Cybernetics_Core -1; 
Protoss_Pylon2 125; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 228; Protoss_Gateway 72; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 464; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 551; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 306; Protoss_Gateway2 94; Protoss_Forge 385; Protoss_Templar_Archives 410; Protoss_Photon_Cannon 485; Protoss_Cybernetics_Core 234; 
Protoss_Pylon2 147; Protoss_Pylon 50; Protoss_Opening unknown; Protoss_Assimilator 205; Protoss_Gateway 195; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 184; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 496; Protoss_Fleet_Beacon -1; Protoss_Stargate 1051; Protoss_Citadel_of_Adun 300; Protoss_Gateway2 282; Protoss_Forge 90; Protoss_Templar_Archives 389; Protoss_Photon_Cannon 132; Protoss_Cybernetics_Core 241; 
Protoss_Pylon2 126; Protoss_Pylon 52; Protoss_Opening two_gates; Protoss_Assimilator 239; Protoss_Gateway 76; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 98; Protoss_Forge -1; Protoss_Templar_Archives -1; Protoss_Photon_Cannon -1; Protoss_Cybernetics_Core 270; 
Protoss_Pylon2 127; Protoss_Pylon 49; Protoss_Opening two_gates; Protoss_Assimilator 235; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 561; Protoss_Expansion 662; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 495; Protoss_Fleet_Beacon -1; Protoss_Stargate 416; Protoss_Citadel_of_Adun 829; Protoss_Gateway2 100; Protoss_Forge 365; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 401; Protoss_Cybernetics_Core 328; 
Protoss_Pylon2 117; Protoss_Pylon 33; Protoss_Opening nony; Protoss_Assimilator 169; Protoss_Gateway 66; Protoss_Robotics_Support_Bay 396; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility 328; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 255; Protoss_Forge 246; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 287; Protoss_Cybernetics_Core 228; 
Protoss_Pylon2 121; Protoss_Pylon 43; Protoss_Opening ; Protoss_Assimilator 153; Protoss_Gateway 72; Protoss_Robotics_Support_Bay -1; Protoss_Expansion -1; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun -1; Protoss_Gateway2 -1; Protoss_Forge 194; Protoss_Templar_Archives -1; Protoss_Photon_Cannon 329; Protoss_Cybernetics_Core 238; 
Protoss_Pylon2 100; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 272; Protoss_Gateway 197; Protoss_Robotics_Support_Bay -1; Protoss_Expansion 157; Protoss_Arbiter_Tribunal -1; Protoss_Robotics_Facility -1; Protoss_Fleet_Beacon -1; Protoss_Stargate -1; Protoss_Citadel_of_Adun 345; Protoss_Gateway2 208; Protoss_Forge 88; Protoss_Templar_Archives 468; Protoss_Photon_Cannon 133; Protoss_Cybernetics_Core 299; 
