Protoss_Pylon2 162; Protoss_Pylon 54; Protoss_Opening Unknown; Protoss_Assimilator 134; Protoss_Gateway 88; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 320; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 314; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 253; Protoss_Gateway2 347; Protoss_Forge 115; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 148; Protoss_Cybernetics_Core 188; 
Protoss_Pylon2 169; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 175; Protoss_Gateway 143; Protoss_Robotics_Support_Bay 369; Protoss_Expansion 124; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 311; Protoss_Fleet_Beacon 0; Protoss_Stargate 279; Protoss_Citadel_of_Adun 480; Protoss_Gateway2 510; Protoss_Forge 78; Protoss_Templar_Archives 529; Protoss_Photon_Cannon 190; Protoss_Cybernetics_Core 236; 
Protoss_Pylon2 207; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 195; Protoss_Gateway 183; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 163; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 326; Protoss_Fleet_Beacon 0; Protoss_Stargate 275; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 81; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 130; Protoss_Cybernetics_Core 233; 
Protoss_Pylon2 205; Protoss_Pylon 53; Protoss_Opening FastExpand; Protoss_Assimilator 193; Protoss_Gateway 171; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 152; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 513; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 279; Protoss_Gateway2 314; Protoss_Forge 85; Protoss_Templar_Archives 365; Protoss_Photon_Cannon 116; Protoss_Cybernetics_Core 235; 
Protoss_Pylon2 170; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 192; Protoss_Gateway 155; Protoss_Robotics_Support_Bay 364; Protoss_Expansion 134; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 303; Protoss_Fleet_Beacon 0; Protoss_Stargate 311; Protoss_Citadel_of_Adun 461; Protoss_Gateway2 454; Protoss_Forge 80; Protoss_Templar_Archives 517; Protoss_Photon_Cannon 181; Protoss_Cybernetics_Core 222; 
Protoss_Pylon2 0; Protoss_Pylon 0; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 0; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 118; Protoss_Pylon 49; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 73; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 93; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 190; Protoss_Pylon 48; Protoss_Opening FastExpand; Protoss_Assimilator 178; Protoss_Gateway 162; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 135; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 475; Protoss_Fleet_Beacon 0; Protoss_Stargate 287; Protoss_Citadel_of_Adun 359; Protoss_Gateway2 428; Protoss_Forge 82; Protoss_Templar_Archives 404; Protoss_Photon_Cannon 149; Protoss_Cybernetics_Core 232; 
Protoss_Pylon2 0; Protoss_Pylon 52; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 0; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 119; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 0; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 415; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 209; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 0; Protoss_Gateway 202; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 142; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 91; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 152; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 0; Protoss_Pylon 0; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 0; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 125; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 207; Protoss_Gateway 178; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 163; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 522; Protoss_Fleet_Beacon 0; Protoss_Stargate 412; Protoss_Citadel_of_Adun 339; Protoss_Gateway2 314; Protoss_Forge 89; Protoss_Templar_Archives 388; Protoss_Photon_Cannon 132; Protoss_Cybernetics_Core 247; 
Protoss_Pylon2 114; Protoss_Pylon 48; Protoss_Opening FastDT; Protoss_Assimilator 112; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 408; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 561; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 251; Protoss_Gateway2 217; Protoss_Forge 417; Protoss_Templar_Archives 299; Protoss_Photon_Cannon 474; Protoss_Cybernetics_Core 191; 
Protoss_Pylon2 126; Protoss_Pylon 52; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 251; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 363; Protoss_Gateway 187; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 337; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 630; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 431; Protoss_Gateway2 412; Protoss_Forge 90; Protoss_Templar_Archives 480; Protoss_Photon_Cannon 127; Protoss_Cybernetics_Core 389; 
Protoss_Pylon2 185; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 196; Protoss_Gateway 161; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 149; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 468; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 299; Protoss_Gateway2 307; Protoss_Forge 89; Protoss_Templar_Archives 340; Protoss_Photon_Cannon 120; Protoss_Cybernetics_Core 257; 
Protoss_Pylon2 154; Protoss_Pylon 52; Protoss_Opening FastExpand; Protoss_Assimilator 216; Protoss_Gateway 214; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 193; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 299; Protoss_Citadel_of_Adun 333; Protoss_Gateway2 0; Protoss_Forge 102; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 134; Protoss_Cybernetics_Core 257; 
Protoss_Pylon2 0; Protoss_Pylon 0; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 0; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 152; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 209; Protoss_Gateway 75; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 200; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 629; Protoss_Fleet_Beacon 0; Protoss_Stargate 289; Protoss_Citadel_of_Adun 320; Protoss_Gateway2 482; Protoss_Forge 125; Protoss_Templar_Archives 382; Protoss_Photon_Cannon 167; Protoss_Cybernetics_Core 242; 
Protoss_Pylon2 117; Protoss_Pylon 47; Protoss_Opening FastLegs; Protoss_Assimilator 71; Protoss_Gateway 164; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 421; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 311; Protoss_Gateway2 186; Protoss_Forge 91; Protoss_Templar_Archives 389; Protoss_Photon_Cannon 148; Protoss_Cybernetics_Core 270; 
Protoss_Pylon2 129; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 250; Protoss_Gateway 229; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 215; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 591; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 325; Protoss_Gateway2 330; Protoss_Forge 90; Protoss_Templar_Archives 416; Protoss_Photon_Cannon 133; Protoss_Cybernetics_Core 278; 
Protoss_Pylon2 298; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 203; Protoss_Gateway 192; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 138; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 585; Protoss_Fleet_Beacon 0; Protoss_Stargate 323; Protoss_Citadel_of_Adun 337; Protoss_Gateway2 197; Protoss_Forge 97; Protoss_Templar_Archives 381; Protoss_Photon_Cannon 149; Protoss_Cybernetics_Core 264; 
Protoss_Pylon2 152; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 231; Protoss_Gateway 203; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 140; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 435; Protoss_Fleet_Beacon 0; Protoss_Stargate 296; Protoss_Citadel_of_Adun 315; Protoss_Gateway2 409; Protoss_Forge 117; Protoss_Templar_Archives 367; Protoss_Photon_Cannon 169; Protoss_Cybernetics_Core 253; 
Protoss_Pylon2 123; Protoss_Pylon 49; Protoss_Opening ReaverDrop; Protoss_Assimilator 109; Protoss_Gateway 76; Protoss_Robotics_Support_Bay 274; Protoss_Expansion 644; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 204; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 432; Protoss_Gateway2 390; Protoss_Forge 0; Protoss_Templar_Archives 530; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 150; 
Protoss_Pylon2 121; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 300; Protoss_Gateway 72; Protoss_Robotics_Support_Bay 554; Protoss_Expansion 291; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 497; Protoss_Fleet_Beacon 0; Protoss_Stargate 365; Protoss_Citadel_of_Adun 957; Protoss_Gateway2 589; Protoss_Forge 240; Protoss_Templar_Archives 1078; Protoss_Photon_Cannon 275; Protoss_Cybernetics_Core 316; 
Protoss_Pylon2 136; Protoss_Pylon 60; Protoss_Opening FastExpand; Protoss_Assimilator 0; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 178; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 212; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 152; Protoss_Pylon 50; Protoss_Opening FastExpand; Protoss_Assimilator 315; Protoss_Gateway 280; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 268; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 389; Protoss_Gateway2 403; Protoss_Forge 92; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 142; Protoss_Cybernetics_Core 342; 
Protoss_Pylon2 260; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 196; Protoss_Gateway 182; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 131; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 558; Protoss_Fleet_Beacon 0; Protoss_Stargate 294; Protoss_Citadel_of_Adun 319; Protoss_Gateway2 349; Protoss_Forge 98; Protoss_Templar_Archives 361; Protoss_Photon_Cannon 143; Protoss_Cybernetics_Core 247; 
Protoss_Pylon2 80; Protoss_Pylon 47; Protoss_Opening FastExpand; Protoss_Assimilator 206; Protoss_Gateway 195; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 180; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 499; Protoss_Fleet_Beacon 0; Protoss_Stargate 282; Protoss_Citadel_of_Adun 295; Protoss_Gateway2 342; Protoss_Forge 104; Protoss_Templar_Archives 339; Protoss_Photon_Cannon 145; Protoss_Cybernetics_Core 237; 
Protoss_Pylon2 144; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 218; Protoss_Gateway 181; Protoss_Robotics_Support_Bay 402; Protoss_Expansion 191; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 333; Protoss_Fleet_Beacon 0; Protoss_Stargate 292; Protoss_Citadel_of_Adun 496; Protoss_Gateway2 202; Protoss_Forge 90; Protoss_Templar_Archives 543; Protoss_Photon_Cannon 125; Protoss_Cybernetics_Core 244; 
Protoss_Pylon2 240; Protoss_Pylon 65; Protoss_Opening FastExpand; Protoss_Assimilator 196; Protoss_Gateway 170; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 129; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 426; Protoss_Fleet_Beacon 0; Protoss_Stargate 266; Protoss_Citadel_of_Adun 297; Protoss_Gateway2 330; Protoss_Forge 155; Protoss_Templar_Archives 349; Protoss_Photon_Cannon 187; Protoss_Cybernetics_Core 214; 
Protoss_Pylon2 125; Protoss_Pylon 49; Protoss_Opening FastExpand; Protoss_Assimilator 73; Protoss_Gateway 148; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 329; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 397; Protoss_Forge 94; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 367; 
Protoss_Pylon2 116; Protoss_Pylon 49; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 72; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 95; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 162; Protoss_Pylon 53; Protoss_Opening FastExpand; Protoss_Assimilator 241; Protoss_Gateway 223; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 125; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 359; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 310; Protoss_Gateway2 311; Protoss_Forge 144; Protoss_Templar_Archives 355; Protoss_Photon_Cannon 182; Protoss_Cybernetics_Core 267; 
Protoss_Pylon2 111; Protoss_Pylon 64; Protoss_Opening Unknown; Protoss_Assimilator 0; Protoss_Gateway 88; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 0; Protoss_Forge 346; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 157; Protoss_Pylon 52; Protoss_Opening FastExpand; Protoss_Assimilator 197; Protoss_Gateway 187; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 139; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 393; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 302; Protoss_Gateway2 313; Protoss_Forge 80; Protoss_Templar_Archives 359; Protoss_Photon_Cannon 166; Protoss_Cybernetics_Core 249; 
Protoss_Pylon2 151; Protoss_Pylon 51; Protoss_Opening FastExpand; Protoss_Assimilator 211; Protoss_Gateway 201; Protoss_Robotics_Support_Bay 401; Protoss_Expansion 178; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 339; Protoss_Fleet_Beacon 548; Protoss_Stargate 306; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 876; Protoss_Forge 92; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 129; Protoss_Cybernetics_Core 257; 
Protoss_Pylon2 129; Protoss_Pylon 51; Protoss_Opening Carrier; Protoss_Assimilator 97; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 353; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 531; Protoss_Fleet_Beacon 0; Protoss_Stargate 213; Protoss_Citadel_of_Adun 235; Protoss_Gateway2 212; Protoss_Forge 383; Protoss_Templar_Archives 284; Protoss_Photon_Cannon 426; Protoss_Cybernetics_Core 153; 
Protoss_Pylon2 132; Protoss_Pylon 54; Protoss_Opening FastLegs; Protoss_Assimilator 200; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 376; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 592; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 275; Protoss_Gateway2 326; Protoss_Forge 120; Protoss_Templar_Archives 353; Protoss_Photon_Cannon 173; Protoss_Cybernetics_Core 215; 
Protoss_Pylon2 117; Protoss_Pylon 48; Protoss_Opening Unknown; Protoss_Assimilator 288; Protoss_Gateway 73; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 94; Protoss_Forge 202; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 232; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 119; Protoss_Pylon 47; Protoss_Opening Unknown; Protoss_Assimilator 260; Protoss_Gateway 73; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 94; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 297; 
Protoss_Pylon2 142; Protoss_Pylon 52; Protoss_Opening Unknown; Protoss_Assimilator 420; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 111; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 0; 
Protoss_Pylon2 105; Protoss_Pylon 51; Protoss_Opening Unknown; Protoss_Assimilator 172; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 161; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 205; 
Protoss_Pylon2 106; Protoss_Pylon 51; Protoss_Opening Carrier; Protoss_Assimilator 135; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 329; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 209; Protoss_Citadel_of_Adun 236; Protoss_Gateway2 0; Protoss_Forge 369; Protoss_Templar_Archives 293; Protoss_Photon_Cannon 402; Protoss_Cybernetics_Core 166; 
