Terran_Control_Tower 277; Terran_Comsat_Station 665; Terran_Barracks 86; Terran_Expansion 464; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 393; Terran_Supply_Depot 60; Terran_Engineering_Bay 311; Terran_Science_Facility -1; Terran_Machine_Shop 230; Terran_Armory -1; Terran_Starport 229; Terran_Opening drop; Terran_Academy 561; Terran_Bunker 420; Terran_Factory 175; 
Terran_Control_Tower -1; Terran_Comsat_Station 549; Terran_Barracks 97; Terran_Expansion 389; Terran_Refinery 104; Terran_Barracks2 184; Terran_Missile_Turret 523; Terran_Supply_Depot 58; Terran_Engineering_Bay 478; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 496; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 286; Terran_Comsat_Station 534; Terran_Barracks 99; Terran_Expansion 398; Terran_Refinery 103; Terran_Barracks2 0; Terran_Missile_Turret 460; Terran_Supply_Depot 59; Terran_Engineering_Bay 304; Terran_Science_Facility 843; Terran_Machine_Shop 236; Terran_Armory 563; Terran_Starport 237; Terran_Opening rax_fe; Terran_Academy 477; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station 557; Terran_Barracks 103; Terran_Expansion 255; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret 339; Terran_Supply_Depot 63; Terran_Engineering_Bay 298; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory 631; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 499; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station 571; Terran_Barracks 97; Terran_Expansion 418; Terran_Refinery 102; Terran_Barracks2 598; Terran_Missile_Turret 471; Terran_Supply_Depot 57; Terran_Engineering_Bay 377; Terran_Science_Facility 726; Terran_Machine_Shop 220; Terran_Armory 515; Terran_Starport 646; Terran_Opening rax_fe; Terran_Academy 516; Terran_Bunker -1; Terran_Factory 166; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 92; Terran_Expansion -1; Terran_Refinery 118; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay 359; Terran_Science_Facility -1; Terran_Machine_Shop 222; Terran_Armory 391; Terran_Starport -1; Terran_Opening unknown; Terran_Academy 392; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower 891; Terran_Comsat_Station 480; Terran_Barracks 107; Terran_Expansion 301; Terran_Refinery 88; Terran_Barracks2 -1; Terran_Missile_Turret 358; Terran_Supply_Depot 59; Terran_Engineering_Bay 316; Terran_Science_Facility 599; Terran_Machine_Shop 220; Terran_Armory 419; Terran_Starport 545; Terran_Opening vultures; Terran_Academy 420; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 811; Terran_Comsat_Station 329; Terran_Barracks 96; Terran_Expansion 407; Terran_Refinery 101; Terran_Barracks2 116; Terran_Missile_Turret 403; Terran_Supply_Depot 55; Terran_Engineering_Bay 358; Terran_Science_Facility 813; Terran_Machine_Shop 413; Terran_Armory 757; Terran_Starport 754; Terran_Opening unknown; Terran_Academy 255; Terran_Bunker 584; Terran_Factory 253; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station 388; Terran_Barracks 103; Terran_Expansion 286; Terran_Refinery 105; Terran_Barracks2 1039; Terran_Missile_Turret 635; Terran_Supply_Depot 60; Terran_Engineering_Bay 565; Terran_Science_Facility 554; Terran_Machine_Shop 210; Terran_Armory 334; Terran_Starport 499; Terran_Opening vultures; Terran_Academy 332; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower -1; Terran_Comsat_Station 665; Terran_Barracks 101; Terran_Expansion 273; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret 345; Terran_Supply_Depot 59; Terran_Engineering_Bay 299; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 601; Terran_Starport 705; Terran_Opening rax_fe; Terran_Academy 602; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower -1; Terran_Comsat_Station 440; Terran_Barracks 110; Terran_Expansion 309; Terran_Refinery 88; Terran_Barracks2 -1; Terran_Missile_Turret 583; Terran_Supply_Depot 57; Terran_Engineering_Bay 528; Terran_Science_Facility 578; Terran_Machine_Shop 225; Terran_Armory 380; Terran_Starport 515; Terran_Opening ; Terran_Academy 383; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 97; Terran_Expansion -1; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 442; Terran_Comsat_Station 643; Terran_Barracks 89; Terran_Expansion 289; Terran_Refinery 103; Terran_Barracks2 216; Terran_Missile_Turret 404; Terran_Supply_Depot 60; Terran_Engineering_Bay 362; Terran_Science_Facility 476; Terran_Machine_Shop 205; Terran_Armory 636; Terran_Starport 392; Terran_Opening rax_fe; Terran_Academy 581; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 101; Terran_Expansion 379; Terran_Refinery 104; Terran_Barracks2 460; Terran_Missile_Turret 455; Terran_Supply_Depot 59; Terran_Engineering_Bay 384; Terran_Science_Facility -1; Terran_Machine_Shop 216; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower -1; Terran_Comsat_Station 625; Terran_Barracks 98; Terran_Expansion 259; Terran_Refinery 103; Terran_Barracks2 525; Terran_Missile_Turret 312; Terran_Supply_Depot 59; Terran_Engineering_Bay 270; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 530; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station 457; Terran_Barracks 90; Terran_Expansion 251; Terran_Refinery 103; Terran_Barracks2 194; Terran_Missile_Turret 319; Terran_Supply_Depot 61; Terran_Engineering_Bay 276; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory -1; Terran_Starport -1; Terran_Opening unknown; Terran_Academy 382; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower -1; Terran_Comsat_Station 829; Terran_Barracks 101; Terran_Expansion 357; Terran_Refinery 104; Terran_Barracks2 454; Terran_Missile_Turret 402; Terran_Supply_Depot 58; Terran_Engineering_Bay 332; Terran_Science_Facility -1; Terran_Machine_Shop 206; Terran_Armory 650; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 756; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station 364; Terran_Barracks 99; Terran_Expansion -1; Terran_Refinery 104; Terran_Barracks2 250; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory -1; Terran_Starport -1; Terran_Opening bio; Terran_Academy 215; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station 573; Terran_Barracks 107; Terran_Expansion 252; Terran_Refinery 86; Terran_Barracks2 119; Terran_Missile_Turret 372; Terran_Supply_Depot 59; Terran_Engineering_Bay 327; Terran_Science_Facility 625; Terran_Machine_Shop 258; Terran_Armory 364; Terran_Starport 570; Terran_Opening vultures; Terran_Academy 496; Terran_Bunker 175; Terran_Factory 184; 
Terran_Control_Tower 332; Terran_Comsat_Station 564; Terran_Barracks 89; Terran_Expansion 381; Terran_Refinery 107; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay 651; Terran_Science_Facility -1; Terran_Machine_Shop 241; Terran_Armory 572; Terran_Starport 281; Terran_Opening rax_fe; Terran_Academy 486; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower -1; Terran_Comsat_Station 718; Terran_Barracks 87; Terran_Expansion 202; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 310; Terran_Supply_Depot 58; Terran_Engineering_Bay 269; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 478; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 98; Terran_Expansion -1; Terran_Refinery 107; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 171; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 88; Terran_Expansion 234; Terran_Refinery 105; Terran_Barracks2 249; Terran_Missile_Turret 452; Terran_Supply_Depot 59; Terran_Engineering_Bay 409; Terran_Science_Facility 698; Terran_Machine_Shop 226; Terran_Armory 434; Terran_Starport 618; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 169; 
Terran_Control_Tower -1; Terran_Comsat_Station 749; Terran_Barracks 86; Terran_Expansion 209; Terran_Refinery 108; Terran_Barracks2 164; Terran_Missile_Turret 295; Terran_Supply_Depot 59; Terran_Engineering_Bay 256; Terran_Science_Facility -1; Terran_Machine_Shop 211; Terran_Armory 687; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 461; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 1043; Terran_Comsat_Station 265; Terran_Barracks 97; Terran_Expansion 344; Terran_Refinery 101; Terran_Barracks2 508; Terran_Missile_Turret 506; Terran_Supply_Depot 58; Terran_Engineering_Bay 459; Terran_Science_Facility 884; Terran_Machine_Shop 275; Terran_Armory 470; Terran_Starport 813; Terran_Opening rax_fe; Terran_Academy 211; Terran_Bunker -1; Terran_Factory 222; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 94; Terran_Expansion 299; Terran_Refinery 98; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 54; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 223; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 150; 
Terran_Control_Tower 568; Terran_Comsat_Station -1; Terran_Barracks 98; Terran_Expansion 302; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 203; Terran_Armory -1; Terran_Starport 490; Terran_Opening vultures; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 151; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion 279; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret 356; Terran_Supply_Depot 60; Terran_Engineering_Bay 311; Terran_Science_Facility -1; Terran_Machine_Shop 258; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 164; 
Terran_Control_Tower -1; Terran_Comsat_Station 528; Terran_Barracks 94; Terran_Expansion 210; Terran_Refinery 99; Terran_Barracks2 -1; Terran_Missile_Turret 320; Terran_Supply_Depot 55; Terran_Engineering_Bay 272; Terran_Science_Facility -1; Terran_Machine_Shop 206; Terran_Armory 474; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 475; Terran_Bunker -1; Terran_Factory 151; 
Terran_Control_Tower -1; Terran_Comsat_Station 519; Terran_Barracks 98; Terran_Expansion 290; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay 354; Terran_Science_Facility -1; Terran_Machine_Shop 204; Terran_Armory -1; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 461; Terran_Bunker -1; Terran_Factory 151; 
Terran_Control_Tower -1; Terran_Comsat_Station 833; Terran_Barracks 98; Terran_Expansion 404; Terran_Refinery 100; Terran_Barracks2 450; Terran_Missile_Turret 466; Terran_Supply_Depot 58; Terran_Engineering_Bay 422; Terran_Science_Facility 849; Terran_Machine_Shop 207; Terran_Armory 497; Terran_Starport 734; Terran_Opening two_facto; Terran_Academy 762; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station 477; Terran_Barracks 95; Terran_Expansion 290; Terran_Refinery 104; Terran_Barracks2 373; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 422; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 94; Terran_Expansion -1; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 88; Terran_Expansion 243; Terran_Refinery 97; Terran_Barracks2 160; Terran_Missile_Turret 326; Terran_Supply_Depot 59; Terran_Engineering_Bay 286; Terran_Science_Facility -1; Terran_Machine_Shop 220; Terran_Armory -1; Terran_Starport -1; Terran_Opening unknown; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 166; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 88; Terran_Expansion -1; Terran_Refinery 97; Terran_Barracks2 143; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay 370; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 372; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 540; Terran_Comsat_Station 248; Terran_Barracks 80; Terran_Expansion 538; Terran_Refinery 108; Terran_Barracks2 124; Terran_Missile_Turret 425; Terran_Supply_Depot 55; Terran_Engineering_Bay 384; Terran_Science_Facility 541; Terran_Machine_Shop 343; Terran_Armory -1; Terran_Starport 489; Terran_Opening ; Terran_Academy 186; Terran_Bunker -1; Terran_Factory 287; 
Terran_Control_Tower -1; Terran_Comsat_Station 599; Terran_Barracks 87; Terran_Expansion 394; Terran_Refinery 97; Terran_Barracks2 315; Terran_Missile_Turret 456; Terran_Supply_Depot 57; Terran_Engineering_Bay 342; Terran_Science_Facility -1; Terran_Machine_Shop 200; Terran_Armory 857; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 321; Terran_Bunker -1; Terran_Factory 147; 
Terran_Control_Tower -1; Terran_Comsat_Station 466; Terran_Barracks 91; Terran_Expansion 319; Terran_Refinery 97; Terran_Barracks2 271; Terran_Missile_Turret 868; Terran_Supply_Depot 55; Terran_Engineering_Bay 384; Terran_Science_Facility 838; Terran_Machine_Shop 206; Terran_Armory 418; Terran_Starport 728; Terran_Opening rax_fe; Terran_Academy 401; Terran_Bunker 367; Terran_Factory 149; 
Terran_Control_Tower 753; Terran_Comsat_Station 662; Terran_Barracks 89; Terran_Expansion 408; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 447; Terran_Supply_Depot 60; Terran_Engineering_Bay 360; Terran_Science_Facility -1; Terran_Machine_Shop 234; Terran_Armory 0; Terran_Starport 651; Terran_Opening rax_fe; Terran_Academy 606; Terran_Bunker -1; Terran_Factory 181; 
