Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 130; Zerg_Extractor 139; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber 792; Zerg_Queens_Nest 0; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den 331; Zerg_Greater_Spire -1; Zerg_Expansion2 662; Zerg_Lair 191; Zerg_Ultralisk_Cavern -1; Zerg_Spire 521; Zerg_Building_Overlord 59; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 118; Zerg_Extractor 189; Zerg_Creep_Colony 349; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 370; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den 737; Zerg_Greater_Spire -1; Zerg_Expansion2 160; Zerg_Lair 243; Zerg_Ultralisk_Cavern -1; Zerg_Spire 309; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 128; Zerg_Extractor 68; Zerg_Creep_Colony 199; Zerg_Evolution_Chamber 413; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 257; Zerg_Spore_Colony 444; Zerg_Expansion 102; Zerg_Hydralisk_Den 246; Zerg_Greater_Spire -1; Zerg_Expansion2 403; Zerg_Lair 209; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 129; Zerg_Extractor 314; Zerg_Creep_Colony 195; Zerg_Evolution_Chamber 298; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 211; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den 561; Zerg_Greater_Spire -1; Zerg_Expansion2 224; Zerg_Lair 556; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 798; Zerg_Opening hydras; Zerg_Spawning_Pool 127; Zerg_Extractor 64; Zerg_Creep_Colony 244; Zerg_Evolution_Chamber 477; Zerg_Queens_Nest 756; Zerg_Sunken_Colony 261; Zerg_Spore_Colony -1; Zerg_Expansion 112; Zerg_Hydralisk_Den 366; Zerg_Greater_Spire 886; Zerg_Expansion2 270; Zerg_Lair 222; Zerg_Ultralisk_Cavern 890; Zerg_Spire 319; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 125; Zerg_Extractor 179; Zerg_Creep_Colony 209; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 327; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 587; Zerg_Greater_Spire -1; Zerg_Expansion2 173; Zerg_Lair 245; Zerg_Ultralisk_Cavern -1; Zerg_Spire 317; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 768; Zerg_Opening hydras; Zerg_Spawning_Pool 127; Zerg_Extractor 209; Zerg_Creep_Colony 201; Zerg_Evolution_Chamber 585; Zerg_Queens_Nest 723; Zerg_Sunken_Colony 236; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 303; Zerg_Greater_Spire -1; Zerg_Expansion2 177; Zerg_Lair 266; Zerg_Ultralisk_Cavern 858; Zerg_Spire -1; Zerg_Building_Overlord 50; Zerg_Defiler_Mound 857; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 65; Zerg_Extractor 76; Zerg_Creep_Colony 252; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 268; Zerg_Spore_Colony -1; Zerg_Expansion 149; Zerg_Hydralisk_Den 416; Zerg_Greater_Spire -1; Zerg_Expansion2 471; Zerg_Lair 220; Zerg_Ultralisk_Cavern -1; Zerg_Spire 290; Zerg_Building_Overlord 90; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 129; Zerg_Extractor 65; Zerg_Creep_Colony 277; Zerg_Evolution_Chamber 575; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 293; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 303; Zerg_Greater_Spire -1; Zerg_Expansion2 169; Zerg_Lair 275; Zerg_Ultralisk_Cavern -1; Zerg_Spire 358; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive 816; Zerg_Opening lurkers; Zerg_Spawning_Pool 68; Zerg_Extractor 79; Zerg_Creep_Colony 241; Zerg_Evolution_Chamber 632; Zerg_Queens_Nest 768; Zerg_Sunken_Colony 258; Zerg_Spore_Colony 0; Zerg_Expansion 155; Zerg_Hydralisk_Den 464; Zerg_Greater_Spire -1; Zerg_Expansion2 511; Zerg_Lair 221; Zerg_Ultralisk_Cavern 1016; Zerg_Spire 290; Zerg_Building_Overlord 93; Zerg_Defiler_Mound 898; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 126; Zerg_Extractor -1; Zerg_Creep_Colony 210; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 225; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 167; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 470; Zerg_Opening mutas; Zerg_Spawning_Pool 123; Zerg_Extractor 215; Zerg_Creep_Colony 211; Zerg_Evolution_Chamber 544; Zerg_Queens_Nest 421; Zerg_Sunken_Colony 226; Zerg_Spore_Colony 592; Zerg_Expansion 105; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 566; Zerg_Expansion2 168; Zerg_Lair 270; Zerg_Ultralisk_Cavern 740; Zerg_Spire 338; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 728; Zerg_Opening lurkers; Zerg_Spawning_Pool 128; Zerg_Extractor 68; Zerg_Creep_Colony 189; Zerg_Evolution_Chamber 460; Zerg_Queens_Nest 680; Zerg_Sunken_Colony 204; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 381; Zerg_Greater_Spire -1; Zerg_Expansion2 319; Zerg_Lair 241; Zerg_Ultralisk_Cavern 1009; Zerg_Spire 307; Zerg_Building_Overlord 55; Zerg_Defiler_Mound 804; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 0; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord -1; Zerg_Defiler_Mound -1; 
Zerg_Hive 0; Zerg_Opening unknown; Zerg_Spawning_Pool 74; Zerg_Extractor 169; Zerg_Creep_Colony 218; Zerg_Evolution_Chamber 381; Zerg_Queens_Nest 0; Zerg_Sunken_Colony 235; Zerg_Spore_Colony 423; Zerg_Expansion 138; Zerg_Hydralisk_Den 277; Zerg_Greater_Spire -1; Zerg_Expansion2 646; Zerg_Lair 229; Zerg_Ultralisk_Cavern -1; Zerg_Spire 294; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive 609; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 120; Zerg_Extractor 186; Zerg_Creep_Colony 208; Zerg_Evolution_Chamber 523; Zerg_Queens_Nest 565; Zerg_Sunken_Colony 231; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den 417; Zerg_Greater_Spire -1; Zerg_Expansion2 165; Zerg_Lair 242; Zerg_Ultralisk_Cavern -1; Zerg_Spire 312; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 608; Zerg_Opening mutas; Zerg_Spawning_Pool 121; Zerg_Extractor 186; Zerg_Creep_Colony 313; Zerg_Evolution_Chamber 482; Zerg_Queens_Nest 538; Zerg_Sunken_Colony 334; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 428; Zerg_Greater_Spire -1; Zerg_Expansion2 165; Zerg_Lair 242; Zerg_Ultralisk_Cavern -1; Zerg_Spire 309; Zerg_Building_Overlord 54; Zerg_Defiler_Mound 694; 
Zerg_Hive 580; Zerg_Opening mutas; Zerg_Spawning_Pool 122; Zerg_Extractor 188; Zerg_Creep_Colony 249; Zerg_Evolution_Chamber 412; Zerg_Queens_Nest 517; Zerg_Sunken_Colony 279; Zerg_Spore_Colony -1; Zerg_Expansion 104; Zerg_Hydralisk_Den 409; Zerg_Greater_Spire -1; Zerg_Expansion2 181; Zerg_Lair 242; Zerg_Ultralisk_Cavern 659; Zerg_Spire 309; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 105; Zerg_Extractor 110; Zerg_Creep_Colony 263; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 280; Zerg_Spore_Colony -1; Zerg_Expansion 96; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 148; Zerg_Lair 165; Zerg_Ultralisk_Cavern -1; Zerg_Spire 229; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 67; Zerg_Extractor 175; Zerg_Creep_Colony 276; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 292; Zerg_Spore_Colony -1; Zerg_Expansion 156; Zerg_Hydralisk_Den 436; Zerg_Greater_Spire -1; Zerg_Expansion2 212; Zerg_Lair 235; Zerg_Ultralisk_Cavern -1; Zerg_Spire 311; Zerg_Building_Overlord 78; Zerg_Defiler_Mound -1; 
Zerg_Hive 579; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 171; Zerg_Extractor 232; Zerg_Creep_Colony 317; Zerg_Evolution_Chamber 442; Zerg_Queens_Nest 512; Zerg_Sunken_Colony 333; Zerg_Spore_Colony -1; Zerg_Expansion 106; Zerg_Hydralisk_Den 440; Zerg_Greater_Spire -1; Zerg_Expansion2 117; Zerg_Lair 287; Zerg_Ultralisk_Cavern -1; Zerg_Spire 351; Zerg_Building_Overlord 60; Zerg_Defiler_Mound 685; 
Zerg_Hive 512; Zerg_Opening unknown; Zerg_Spawning_Pool 66; Zerg_Extractor 78; Zerg_Creep_Colony 266; Zerg_Evolution_Chamber 524; Zerg_Queens_Nest 454; Zerg_Sunken_Colony 285; Zerg_Spore_Colony -1; Zerg_Expansion 150; Zerg_Hydralisk_Den 422; Zerg_Greater_Spire -1; Zerg_Expansion2 223; Zerg_Lair 262; Zerg_Ultralisk_Cavern -1; Zerg_Spire 329; Zerg_Building_Overlord 92; Zerg_Defiler_Mound 589; 
Zerg_Hive 669; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 75; Zerg_Extractor 200; Zerg_Creep_Colony 339; Zerg_Evolution_Chamber 496; Zerg_Queens_Nest 607; Zerg_Sunken_Colony 359; Zerg_Spore_Colony -1; Zerg_Expansion 139; Zerg_Hydralisk_Den 429; Zerg_Greater_Spire 761; Zerg_Expansion2 153; Zerg_Lair 269; Zerg_Ultralisk_Cavern -1; Zerg_Spire 343; Zerg_Building_Overlord 53; Zerg_Defiler_Mound 755; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 67; Zerg_Extractor 89; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den 226; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 179; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 84; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 0; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord -1; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 0; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord -1; Zerg_Defiler_Mound -1; 
Zerg_Hive 874; Zerg_Opening ; Zerg_Spawning_Pool 126; Zerg_Extractor 259; Zerg_Creep_Colony 199; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest 825; Zerg_Sunken_Colony 214; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den 823; Zerg_Greater_Spire -1; Zerg_Expansion2 172; Zerg_Lair 450; Zerg_Ultralisk_Cavern -1; Zerg_Spire 519; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 953; 
Zerg_Hive 609; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 120; Zerg_Extractor 186; Zerg_Creep_Colony 208; Zerg_Evolution_Chamber 523; Zerg_Queens_Nest 565; Zerg_Sunken_Colony 231; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den 417; Zerg_Greater_Spire -1; Zerg_Expansion2 165; Zerg_Lair 242; Zerg_Ultralisk_Cavern -1; Zerg_Spire 312; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 120; Zerg_Extractor 184; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 161; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 76; Zerg_Extractor 146; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 123; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair 198; Zerg_Ultralisk_Cavern -1; Zerg_Spire 266; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive 552; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 120; Zerg_Extractor 177; Zerg_Creep_Colony 255; Zerg_Evolution_Chamber 425; Zerg_Queens_Nest 510; Zerg_Sunken_Colony 277; Zerg_Spore_Colony -1; Zerg_Expansion 102; Zerg_Hydralisk_Den 392; Zerg_Greater_Spire -1; Zerg_Expansion2 169; Zerg_Lair 230; Zerg_Ultralisk_Cavern 817; Zerg_Spire 294; Zerg_Building_Overlord 56; Zerg_Defiler_Mound 645; 
Zerg_Hive 586; Zerg_Opening mutas; Zerg_Spawning_Pool 95; Zerg_Extractor 189; Zerg_Creep_Colony 275; Zerg_Evolution_Chamber 436; Zerg_Queens_Nest 534; Zerg_Sunken_Colony 298; Zerg_Spore_Colony -1; Zerg_Expansion 144; Zerg_Hydralisk_Den 433; Zerg_Greater_Spire -1; Zerg_Expansion2 179; Zerg_Lair 246; Zerg_Ultralisk_Cavern 681; Zerg_Spire 317; Zerg_Building_Overlord 58; Zerg_Defiler_Mound 664; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 66; Zerg_Extractor 89; Zerg_Creep_Colony 408; Zerg_Evolution_Chamber 473; Zerg_Queens_Nest 562; Zerg_Sunken_Colony 423; Zerg_Spore_Colony -1; Zerg_Expansion 140; Zerg_Hydralisk_Den 247; Zerg_Greater_Spire -1; Zerg_Expansion2 183; Zerg_Lair 434; Zerg_Ultralisk_Cavern -1; Zerg_Spire 502; Zerg_Building_Overlord 82; Zerg_Defiler_Mound -1; 
Zerg_Hive 544; Zerg_Opening mutas; Zerg_Spawning_Pool 122; Zerg_Extractor 194; Zerg_Creep_Colony 333; Zerg_Evolution_Chamber 407; Zerg_Queens_Nest 467; Zerg_Sunken_Colony 502; Zerg_Spore_Colony -1; Zerg_Expansion 101; Zerg_Hydralisk_Den 403; Zerg_Greater_Spire -1; Zerg_Expansion2 157; Zerg_Lair 246; Zerg_Ultralisk_Cavern 857; Zerg_Spire 311; Zerg_Building_Overlord 54; Zerg_Defiler_Mound 622; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 91; Zerg_Extractor 137; Zerg_Creep_Colony 259; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 276; Zerg_Spore_Colony -1; Zerg_Expansion 152; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 397; Zerg_Lair 191; Zerg_Ultralisk_Cavern -1; Zerg_Spire 256; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 807; Zerg_Opening mutas; Zerg_Spawning_Pool 124; Zerg_Extractor 63; Zerg_Creep_Colony 271; Zerg_Evolution_Chamber 499; Zerg_Queens_Nest 696; Zerg_Sunken_Colony 287; Zerg_Spore_Colony -1; Zerg_Expansion 105; Zerg_Hydralisk_Den 378; Zerg_Greater_Spire -1; Zerg_Expansion2 167; Zerg_Lair 267; Zerg_Ultralisk_Cavern 909; Zerg_Spire 331; Zerg_Building_Overlord 55; Zerg_Defiler_Mound 908; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 67; Zerg_Extractor 77; Zerg_Creep_Colony 327; Zerg_Evolution_Chamber 476; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 391; Zerg_Spore_Colony -1; Zerg_Expansion 140; Zerg_Hydralisk_Den 474; Zerg_Greater_Spire -1; Zerg_Expansion2 201; Zerg_Lair 269; Zerg_Ultralisk_Cavern -1; Zerg_Spire 334; Zerg_Building_Overlord 93; Zerg_Defiler_Mound -1; 
Zerg_Hive 669; Zerg_Opening mutas; Zerg_Spawning_Pool 122; Zerg_Extractor 185; Zerg_Creep_Colony 309; Zerg_Evolution_Chamber 496; Zerg_Queens_Nest 615; Zerg_Sunken_Colony 350; Zerg_Spore_Colony -1; Zerg_Expansion 105; Zerg_Hydralisk_Den 297; Zerg_Greater_Spire -1; Zerg_Expansion2 171; Zerg_Lair 246; Zerg_Ultralisk_Cavern 1073; Zerg_Spire 321; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 749; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 0; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord -1; Zerg_Defiler_Mound -1; 
Zerg_Hive 737; Zerg_Opening mutas; Zerg_Spawning_Pool 118; Zerg_Extractor 191; Zerg_Creep_Colony 242; Zerg_Evolution_Chamber 321; Zerg_Queens_Nest 654; Zerg_Sunken_Colony 260; Zerg_Spore_Colony -1; Zerg_Expansion 101; Zerg_Hydralisk_Den 395; Zerg_Greater_Spire -1; Zerg_Expansion2 181; Zerg_Lair 249; Zerg_Ultralisk_Cavern 949; Zerg_Spire 312; Zerg_Building_Overlord 55; Zerg_Defiler_Mound 836; 
Zerg_Hive 597; Zerg_Opening mutas; Zerg_Spawning_Pool 118; Zerg_Extractor 187; Zerg_Creep_Colony 247; Zerg_Evolution_Chamber 550; Zerg_Queens_Nest 549; Zerg_Sunken_Colony 267; Zerg_Spore_Colony -1; Zerg_Expansion 100; Zerg_Hydralisk_Den 408; Zerg_Greater_Spire -1; Zerg_Expansion2 166; Zerg_Lair 282; Zerg_Ultralisk_Cavern 693; Zerg_Spire 350; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 119; Zerg_Extractor 203; Zerg_Creep_Colony 289; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 367; Zerg_Spore_Colony -1; Zerg_Expansion 110; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 164; Zerg_Lair 257; Zerg_Ultralisk_Cavern -1; Zerg_Spire 320; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 0; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord -1; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 98; Zerg_Extractor 347; Zerg_Creep_Colony 225; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest 817; Zerg_Sunken_Colony 268; Zerg_Spore_Colony -1; Zerg_Expansion 140; Zerg_Hydralisk_Den 627; Zerg_Greater_Spire -1; Zerg_Expansion2 291; Zerg_Lair 416; Zerg_Ultralisk_Cavern -1; Zerg_Spire 481; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 121; Zerg_Extractor 184; Zerg_Creep_Colony 244; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 261; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den 427; Zerg_Greater_Spire -1; Zerg_Expansion2 168; Zerg_Lair 245; Zerg_Ultralisk_Cavern -1; Zerg_Spire 310; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 118; Zerg_Extractor 143; Zerg_Creep_Colony 181; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 195; Zerg_Spore_Colony -1; Zerg_Expansion 102; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 272; Zerg_Lair 214; Zerg_Ultralisk_Cavern -1; Zerg_Spire 286; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive 646; Zerg_Opening mutas; Zerg_Spawning_Pool 120; Zerg_Extractor 214; Zerg_Creep_Colony 224; Zerg_Evolution_Chamber 372; Zerg_Queens_Nest 601; Zerg_Sunken_Colony 241; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den 442; Zerg_Greater_Spire -1; Zerg_Expansion2 168; Zerg_Lair 271; Zerg_Ultralisk_Cavern -1; Zerg_Spire 344; Zerg_Building_Overlord 54; Zerg_Defiler_Mound 724; 
Zerg_Hive 566; Zerg_Opening lurkers; Zerg_Spawning_Pool 120; Zerg_Extractor 187; Zerg_Creep_Colony 296; Zerg_Evolution_Chamber 285; Zerg_Queens_Nest 522; Zerg_Sunken_Colony 313; Zerg_Spore_Colony -1; Zerg_Expansion 103; Zerg_Hydralisk_Den 273; Zerg_Greater_Spire -1; Zerg_Expansion2 161; Zerg_Lair 241; Zerg_Ultralisk_Cavern -1; Zerg_Spire 501; Zerg_Building_Overlord 54; Zerg_Defiler_Mound 657; 
Zerg_Hive 612; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 120; Zerg_Extractor 165; Zerg_Creep_Colony 238; Zerg_Evolution_Chamber 451; Zerg_Queens_Nest 540; Zerg_Sunken_Colony 258; Zerg_Spore_Colony -1; Zerg_Expansion 101; Zerg_Hydralisk_Den 360; Zerg_Greater_Spire -1; Zerg_Expansion2 159; Zerg_Lair 219; Zerg_Ultralisk_Cavern 837; Zerg_Spire 285; Zerg_Building_Overlord 54; Zerg_Defiler_Mound 693; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 91; Zerg_Extractor 131; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 124; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 204; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 596; Zerg_Opening mutas; Zerg_Spawning_Pool 91; Zerg_Extractor 178; Zerg_Creep_Colony 239; Zerg_Evolution_Chamber 457; Zerg_Queens_Nest 546; Zerg_Sunken_Colony 256; Zerg_Spore_Colony -1; Zerg_Expansion 125; Zerg_Hydralisk_Den 420; Zerg_Greater_Spire 0; Zerg_Expansion2 164; Zerg_Lair 243; Zerg_Ultralisk_Cavern 831; Zerg_Spire 323; Zerg_Building_Overlord 54; Zerg_Defiler_Mound 684; 
Zerg_Hive 511; Zerg_Opening mutas; Zerg_Spawning_Pool 119; Zerg_Extractor 187; Zerg_Creep_Colony 233; Zerg_Evolution_Chamber 543; Zerg_Queens_Nest 464; Zerg_Sunken_Colony 251; Zerg_Spore_Colony -1; Zerg_Expansion 101; Zerg_Hydralisk_Den 289; Zerg_Greater_Spire -1; Zerg_Expansion2 160; Zerg_Lair 241; Zerg_Ultralisk_Cavern 595; Zerg_Spire 305; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 119; Zerg_Extractor 201; Zerg_Creep_Colony 316; Zerg_Evolution_Chamber 495; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 441; Zerg_Spore_Colony -1; Zerg_Expansion 99; Zerg_Hydralisk_Den 336; Zerg_Greater_Spire -1; Zerg_Expansion2 163; Zerg_Lair 258; Zerg_Ultralisk_Cavern -1; Zerg_Spire 322; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
