Terran_Control_Tower 254; Terran_Comsat_Station 287; Terran_Barracks 87; Terran_Expansion 339; Terran_Refinery 102; Terran_Barracks2 639; Terran_Missile_Turret 461; Terran_Supply_Depot 57; Terran_Engineering_Bay 413; Terran_Science_Facility -1; Terran_Machine_Shop 320; Terran_Armory 214; Terran_Starport 207; Terran_Opening unknown; Terran_Academy 233; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 581; Terran_Comsat_Station 616; Terran_Barracks 92; Terran_Expansion 436; Terran_Refinery 106; Terran_Barracks2 710; Terran_Missile_Turret 706; Terran_Supply_Depot 60; Terran_Engineering_Bay 601; Terran_Science_Facility -1; Terran_Machine_Shop 285; Terran_Armory 352; Terran_Starport 474; Terran_Opening two_facto; Terran_Academy 538; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 465; Terran_Comsat_Station 637; Terran_Barracks 97; Terran_Expansion 635; Terran_Refinery 113; Terran_Barracks2 321; Terran_Missile_Turret 384; Terran_Supply_Depot 62; Terran_Engineering_Bay 326; Terran_Science_Facility -1; Terran_Machine_Shop 247; Terran_Armory 299; Terran_Starport 414; Terran_Opening two_facto; Terran_Academy 575; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower 352; Terran_Comsat_Station 631; Terran_Barracks 94; Terran_Expansion 424; Terran_Refinery 110; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay 651; Terran_Science_Facility -1; Terran_Machine_Shop 279; Terran_Armory -1; Terran_Starport 222; Terran_Opening air; Terran_Academy 573; Terran_Bunker -1; Terran_Factory 169; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 98; Terran_Expansion 248; Terran_Refinery 108; Terran_Barracks2 -1; Terran_Missile_Turret 367; Terran_Supply_Depot 61; Terran_Engineering_Bay 322; Terran_Science_Facility -1; Terran_Machine_Shop 216; Terran_Armory 320; Terran_Starport -1; Terran_Opening ; Terran_Academy 597; Terran_Bunker -1; Terran_Factory 163; 
Terran_Control_Tower 337; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 346; Terran_Refinery 104; Terran_Barracks2 142; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 275; Terran_Armory -1; Terran_Starport 207; Terran_Opening air; Terran_Academy 615; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 809; Terran_Comsat_Station 528; Terran_Barracks 91; Terran_Expansion 371; Terran_Refinery 124; Terran_Barracks2 -1; Terran_Missile_Turret 422; Terran_Supply_Depot 58; Terran_Engineering_Bay 380; Terran_Science_Facility -1; Terran_Machine_Shop 373; Terran_Armory 372; Terran_Starport 577; Terran_Opening two_facto; Terran_Academy 472; Terran_Bunker -1; Terran_Factory 175; 
Terran_Control_Tower 557; Terran_Comsat_Station 870; Terran_Barracks 97; Terran_Expansion 534; Terran_Refinery 102; Terran_Barracks2 484; Terran_Missile_Turret 814; Terran_Supply_Depot 60; Terran_Engineering_Bay 756; Terran_Science_Facility -1; Terran_Machine_Shop 340; Terran_Armory 373; Terran_Starport 253; Terran_Opening two_facto; Terran_Academy 812; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 515; Terran_Comsat_Station 675; Terran_Barracks 90; Terran_Expansion 217; Terran_Refinery 107; Terran_Barracks2 404; Terran_Missile_Turret 326; Terran_Supply_Depot 59; Terran_Engineering_Bay 279; Terran_Science_Facility -1; Terran_Machine_Shop 226; Terran_Armory 430; Terran_Starport 453; Terran_Opening ; Terran_Academy 617; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 339; Terran_Comsat_Station 480; Terran_Barracks 91; Terran_Expansion 372; Terran_Refinery 107; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay 581; Terran_Science_Facility -1; Terran_Machine_Shop 267; Terran_Armory -1; Terran_Starport 211; Terran_Opening air; Terran_Academy 420; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 383; Terran_Comsat_Station -1; Terran_Barracks 95; Terran_Expansion 321; Terran_Refinery 109; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay 293; Terran_Science_Facility -1; Terran_Machine_Shop 240; Terran_Armory 214; Terran_Starport 335; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion 465; Terran_Refinery 108; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay 437; Terran_Science_Facility -1; Terran_Machine_Shop 275; Terran_Armory 315; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 462; Terran_Bunker -1; Terran_Factory 160; 
Terran_Control_Tower 459; Terran_Comsat_Station 639; Terran_Barracks 92; Terran_Expansion 227; Terran_Refinery 109; Terran_Barracks2 -1; Terran_Missile_Turret 368; Terran_Supply_Depot 59; Terran_Engineering_Bay 325; Terran_Science_Facility 605; Terran_Machine_Shop 211; Terran_Armory 381; Terran_Starport 362; Terran_Opening ; Terran_Academy 585; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower 613; Terran_Comsat_Station 548; Terran_Barracks 89; Terran_Expansion 323; Terran_Refinery 105; Terran_Barracks2 812; Terran_Missile_Turret 466; Terran_Supply_Depot 58; Terran_Engineering_Bay 423; Terran_Science_Facility -1; Terran_Machine_Shop 270; Terran_Armory 361; Terran_Starport 543; Terran_Opening two_facto; Terran_Academy 482; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 265; Terran_Comsat_Station 356; Terran_Barracks 95; Terran_Expansion 397; Terran_Refinery 106; Terran_Barracks2 639; Terran_Missile_Turret 465; Terran_Supply_Depot 60; Terran_Engineering_Bay 414; Terran_Science_Facility -1; Terran_Machine_Shop 379; Terran_Armory 208; Terran_Starport 218; Terran_Opening air; Terran_Academy 302; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 297; Terran_Comsat_Station 600; Terran_Barracks 89; Terran_Expansion 339; Terran_Refinery 103; Terran_Barracks2 446; Terran_Missile_Turret 692; Terran_Supply_Depot 55; Terran_Engineering_Bay 646; Terran_Science_Facility -1; Terran_Machine_Shop 262; Terran_Armory 843; Terran_Starport 205; Terran_Opening air; Terran_Academy 533; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 276; Terran_Comsat_Station -1; Terran_Barracks 95; Terran_Expansion -1; Terran_Refinery 108; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory 210; Terran_Starport 231; Terran_Opening unknown; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion -1; Terran_Refinery 107; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 211; Terran_Armory 298; Terran_Starport 357; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 326; Terran_Comsat_Station 475; Terran_Barracks 90; Terran_Expansion 370; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret 541; Terran_Supply_Depot 58; Terran_Engineering_Bay 498; Terran_Science_Facility -1; Terran_Machine_Shop 265; Terran_Armory 406; Terran_Starport 234; Terran_Opening air; Terran_Academy 412; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 391; Terran_Comsat_Station 411; Terran_Barracks 86; Terran_Expansion 496; Terran_Refinery 108; Terran_Barracks2 371; Terran_Missile_Turret 732; Terran_Supply_Depot 59; Terran_Engineering_Bay 677; Terran_Science_Facility -1; Terran_Machine_Shop 485; Terran_Armory 247; Terran_Starport 337; Terran_Opening two_facto; Terran_Academy 357; Terran_Bunker -1; Terran_Factory 175; 
Terran_Control_Tower 570; Terran_Comsat_Station 553; Terran_Barracks 96; Terran_Expansion 386; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret 667; Terran_Supply_Depot 58; Terran_Engineering_Bay 549; Terran_Science_Facility 673; Terran_Machine_Shop 226; Terran_Armory 298; Terran_Starport 478; Terran_Opening two_facto; Terran_Academy 500; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower -1; Terran_Comsat_Station 741; Terran_Barracks 94; Terran_Expansion 487; Terran_Refinery 110; Terran_Barracks2 153; Terran_Missile_Turret 320; Terran_Supply_Depot 61; Terran_Engineering_Bay 264; Terran_Science_Facility -1; Terran_Machine_Shop 262; Terran_Armory 509; Terran_Starport 249; Terran_Opening two_facto; Terran_Academy 661; Terran_Bunker -1; Terran_Factory 176; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 92; Terran_Expansion 427; Terran_Refinery 111; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 225; Terran_Armory -1; Terran_Starport 465; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 172; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 92; Terran_Expansion -1; Terran_Refinery 113; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 230; Terran_Armory 287; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 175; 
Terran_Control_Tower 452; Terran_Comsat_Station 868; Terran_Barracks 85; Terran_Expansion 337; Terran_Refinery 106; Terran_Barracks2 222; Terran_Missile_Turret 366; Terran_Supply_Depot 63; Terran_Engineering_Bay 321; Terran_Science_Facility -1; Terran_Machine_Shop 236; Terran_Armory 237; Terran_Starport 395; Terran_Opening two_facto; Terran_Academy 765; Terran_Bunker -1; Terran_Factory 180; 
Terran_Control_Tower 282; Terran_Comsat_Station 658; Terran_Barracks 92; Terran_Expansion 274; Terran_Refinery 114; Terran_Barracks2 223; Terran_Missile_Turret 497; Terran_Supply_Depot 60; Terran_Engineering_Bay 353; Terran_Science_Facility 921; Terran_Machine_Shop 227; Terran_Armory 551; Terran_Starport 230; Terran_Opening air; Terran_Academy 586; Terran_Bunker -1; Terran_Factory 175; 
Terran_Control_Tower 274; Terran_Comsat_Station 556; Terran_Barracks 91; Terran_Expansion 247; Terran_Refinery 112; Terran_Barracks2 440; Terran_Missile_Turret 430; Terran_Supply_Depot 60; Terran_Engineering_Bay 388; Terran_Science_Facility 832; Terran_Machine_Shop 216; Terran_Armory 511; Terran_Starport 222; Terran_Opening air; Terran_Academy 500; Terran_Bunker -1; Terran_Factory 163; 
Terran_Control_Tower 496; Terran_Comsat_Station 384; Terran_Barracks 88; Terran_Expansion 359; Terran_Refinery 105; Terran_Barracks2 266; Terran_Missile_Turret 763; Terran_Supply_Depot 57; Terran_Engineering_Bay 680; Terran_Science_Facility 1011; Terran_Machine_Shop 429; Terran_Armory 207; Terran_Starport 292; Terran_Opening two_facto; Terran_Academy 324; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 266; Terran_Comsat_Station 426; Terran_Barracks 89; Terran_Expansion 464; Terran_Refinery 111; Terran_Barracks2 270; Terran_Missile_Turret 376; Terran_Supply_Depot 54; Terran_Engineering_Bay 333; Terran_Science_Facility -1; Terran_Machine_Shop 252; Terran_Armory 738; Terran_Starport 215; Terran_Opening air; Terran_Academy 355; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 267; Terran_Comsat_Station 536; Terran_Barracks 90; Terran_Expansion 246; Terran_Refinery 111; Terran_Barracks2 408; Terran_Missile_Turret 347; Terran_Supply_Depot 58; Terran_Engineering_Bay 298; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 500; Terran_Starport 219; Terran_Opening air; Terran_Academy 478; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 92; Terran_Expansion 540; Terran_Refinery 103; Terran_Barracks2 688; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay 680; Terran_Science_Facility -1; Terran_Machine_Shop 583; Terran_Armory 213; Terran_Starport 575; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower 391; Terran_Comsat_Station 623; Terran_Barracks 92; Terran_Expansion 310; Terran_Refinery 115; Terran_Barracks2 301; Terran_Missile_Turret 594; Terran_Supply_Depot 61; Terran_Engineering_Bay 392; Terran_Science_Facility -1; Terran_Machine_Shop 390; Terran_Armory 230; Terran_Starport 333; Terran_Opening two_facto; Terran_Academy 554; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 347; Terran_Comsat_Station 677; Terran_Barracks 105; Terran_Expansion 294; Terran_Refinery 112; Terran_Barracks2 506; Terran_Missile_Turret 427; Terran_Supply_Depot 61; Terran_Engineering_Bay 383; Terran_Science_Facility 947; Terran_Machine_Shop 284; Terran_Armory 222; Terran_Starport 256; Terran_Opening two_facto; Terran_Academy 267; Terran_Bunker -1; Terran_Factory 167; 
Terran_Control_Tower 456; Terran_Comsat_Station 488; Terran_Barracks 86; Terran_Expansion 368; Terran_Refinery 110; Terran_Barracks2 367; Terran_Missile_Turret 519; Terran_Supply_Depot 57; Terran_Engineering_Bay 465; Terran_Science_Facility -1; Terran_Machine_Shop 219; Terran_Armory 220; Terran_Starport 401; Terran_Opening two_facto; Terran_Academy 418; Terran_Bunker -1; Terran_Factory 166; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion -1; Terran_Refinery 105; Terran_Barracks2 151; Terran_Missile_Turret 483; Terran_Supply_Depot 59; Terran_Engineering_Bay 387; Terran_Science_Facility -1; Terran_Machine_Shop 262; Terran_Armory -1; Terran_Starport 230; Terran_Opening air; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 170; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion 374; Terran_Refinery 109; Terran_Barracks2 317; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory 228; Terran_Starport 315; Terran_Opening two_facto; Terran_Academy 453; Terran_Bunker -1; Terran_Factory 176; 
Terran_Control_Tower -1; Terran_Comsat_Station 380; Terran_Barracks 92; Terran_Expansion 163; Terran_Refinery 107; Terran_Barracks2 364; Terran_Missile_Turret 876; Terran_Supply_Depot 58; Terran_Engineering_Bay 799; Terran_Science_Facility -1; Terran_Machine_Shop 237; Terran_Armory 293; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 324; Terran_Bunker -1; Terran_Factory 181; 
Terran_Control_Tower 880; Terran_Comsat_Station 581; Terran_Barracks 92; Terran_Expansion 385; Terran_Refinery 104; Terran_Barracks2 304; Terran_Missile_Turret 577; Terran_Supply_Depot 59; Terran_Engineering_Bay 482; Terran_Science_Facility -1; Terran_Machine_Shop 233; Terran_Armory 213; Terran_Starport 829; Terran_Opening two_facto; Terran_Academy 507; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower -1; Terran_Comsat_Station 399; Terran_Barracks 91; Terran_Expansion -1; Terran_Refinery 105; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 243; Terran_Armory 508; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 340; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 83; Terran_Expansion -1; Terran_Refinery 99; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 226; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower 420; Terran_Comsat_Station -1; Terran_Barracks 92; Terran_Expansion 422; Terran_Refinery 113; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 333; Terran_Armory 226; Terran_Starport 318; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 167; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 89; Terran_Expansion 488; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 282; Terran_Armory 267; Terran_Starport 427; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 374; Terran_Comsat_Station -1; Terran_Barracks 110; Terran_Expansion 379; Terran_Refinery 87; Terran_Barracks2 164; Terran_Missile_Turret 578; Terran_Supply_Depot 60; Terran_Engineering_Bay 523; Terran_Science_Facility -1; Terran_Machine_Shop 221; Terran_Armory 220; Terran_Starport 326; Terran_Opening two_facto; Terran_Academy 678; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 323; Terran_Comsat_Station 624; Terran_Barracks 107; Terran_Expansion 455; Terran_Refinery 78; Terran_Barracks2 377; Terran_Missile_Turret 508; Terran_Supply_Depot 59; Terran_Engineering_Bay 396; Terran_Science_Facility -1; Terran_Machine_Shop 256; Terran_Armory 220; Terran_Starport 275; Terran_Opening two_facto; Terran_Academy 522; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower 304; Terran_Comsat_Station 857; Terran_Barracks 84; Terran_Expansion 452; Terran_Refinery 98; Terran_Barracks2 547; Terran_Missile_Turret 377; Terran_Supply_Depot 58; Terran_Engineering_Bay 305; Terran_Science_Facility -1; Terran_Machine_Shop 246; Terran_Armory 215; Terran_Starport 255; Terran_Opening two_facto; Terran_Academy 799; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 429; Terran_Comsat_Station 851; Terran_Barracks 82; Terran_Expansion 439; Terran_Refinery 105; Terran_Barracks2 -1; Terran_Missile_Turret 547; Terran_Supply_Depot 55; Terran_Engineering_Bay 501; Terran_Science_Facility 733; Terran_Machine_Shop 239; Terran_Armory 298; Terran_Starport 380; Terran_Opening two_facto; Terran_Academy 432; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower -1; Terran_Comsat_Station 475; Terran_Barracks 85; Terran_Expansion 270; Terran_Refinery 110; Terran_Barracks2 335; Terran_Missile_Turret -1; Terran_Supply_Depot 52; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 235; Terran_Armory -1; Terran_Starport 337; Terran_Opening two_facto; Terran_Academy 420; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 398; Terran_Refinery 98; Terran_Barracks2 -1; Terran_Missile_Turret 599; Terran_Supply_Depot 57; Terran_Engineering_Bay 491; Terran_Science_Facility -1; Terran_Machine_Shop 245; Terran_Armory 488; Terran_Starport 483; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station 475; Terran_Barracks 87; Terran_Expansion 369; Terran_Refinery 98; Terran_Barracks2 365; Terran_Missile_Turret 630; Terran_Supply_Depot 57; Terran_Engineering_Bay 514; Terran_Science_Facility -1; Terran_Machine_Shop 226; Terran_Armory 422; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy 393; Terran_Bunker -1; Terran_Factory 148; 
Terran_Control_Tower 545; Terran_Comsat_Station 629; Terran_Barracks 81; Terran_Expansion 389; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 50; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 286; Terran_Starport 498; Terran_Opening two_facto; Terran_Academy 548; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 488; Terran_Comsat_Station 704; Terran_Barracks 95; Terran_Expansion 210; Terran_Refinery 109; Terran_Barracks2 427; Terran_Missile_Turret 615; Terran_Supply_Depot 60; Terran_Engineering_Bay 575; Terran_Science_Facility 494; Terran_Machine_Shop 562; Terran_Armory 222; Terran_Starport 440; Terran_Opening two_facto; Terran_Academy 572; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 267; Terran_Comsat_Station 447; Terran_Barracks 111; Terran_Expansion 344; Terran_Refinery 87; Terran_Barracks2 375; Terran_Missile_Turret 416; Terran_Supply_Depot 61; Terran_Engineering_Bay 371; Terran_Science_Facility 624; Terran_Machine_Shop 221; Terran_Armory 224; Terran_Starport 222; Terran_Opening unknown; Terran_Academy 392; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower 282; Terran_Comsat_Station 929; Terran_Barracks 91; Terran_Expansion 604; Terran_Refinery 103; Terran_Barracks2 268; Terran_Missile_Turret 753; Terran_Supply_Depot 57; Terran_Engineering_Bay 692; Terran_Science_Facility -1; Terran_Machine_Shop 328; Terran_Armory 750; Terran_Starport 232; Terran_Opening air; Terran_Academy 850; Terran_Bunker -1; Terran_Factory 161; 
Terran_Control_Tower 723; Terran_Comsat_Station 408; Terran_Barracks 90; Terran_Expansion 721; Terran_Refinery 107; Terran_Barracks2 -1; Terran_Missile_Turret 434; Terran_Supply_Depot 60; Terran_Engineering_Bay 392; Terran_Science_Facility -1; Terran_Machine_Shop 220; Terran_Armory 234; Terran_Starport 663; Terran_Opening ; Terran_Academy 351; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower -1; Terran_Comsat_Station 367; Terran_Barracks 58; Terran_Expansion -1; Terran_Refinery 170; Terran_Barracks2 130; Terran_Missile_Turret -1; Terran_Supply_Depot 99; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport 368; Terran_Opening ; Terran_Academy 167; Terran_Bunker -1; Terran_Factory 305; 
Terran_Control_Tower 314; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion -1; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory 498; Terran_Starport 233; Terran_Opening air; Terran_Academy -1; Terran_Bunker 183; Terran_Factory 159; 
Terran_Control_Tower 339; Terran_Comsat_Station 772; Terran_Barracks 90; Terran_Expansion 342; Terran_Refinery 105; Terran_Barracks2 143; Terran_Missile_Turret 512; Terran_Supply_Depot 61; Terran_Engineering_Bay 409; Terran_Science_Facility -1; Terran_Machine_Shop 281; Terran_Armory 555; Terran_Starport 211; Terran_Opening air; Terran_Academy 695; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 280; Terran_Comsat_Station 411; Terran_Barracks 118; Terran_Expansion 472; Terran_Refinery 85; Terran_Barracks2 422; Terran_Missile_Turret 388; Terran_Supply_Depot 59; Terran_Engineering_Bay 338; Terran_Science_Facility 1061; Terran_Machine_Shop 237; Terran_Armory 237; Terran_Starport 234; Terran_Opening air; Terran_Academy 340; Terran_Bunker -1; Terran_Factory 177; 
Terran_Control_Tower 327; Terran_Comsat_Station 539; Terran_Barracks 114; Terran_Expansion 424; Terran_Refinery 83; Terran_Barracks2 785; Terran_Missile_Turret 349; Terran_Supply_Depot 65; Terran_Engineering_Bay 306; Terran_Science_Facility 0; Terran_Machine_Shop 227; Terran_Armory 230; Terran_Starport 280; Terran_Opening two_facto; Terran_Academy 455; Terran_Bunker -1; Terran_Factory 171; 
Terran_Control_Tower 333; Terran_Comsat_Station 526; Terran_Barracks 114; Terran_Expansion 525; Terran_Refinery 84; Terran_Barracks2 167; Terran_Missile_Turret 420; Terran_Supply_Depot 58; Terran_Engineering_Bay 375; Terran_Science_Facility 922; Terran_Machine_Shop 269; Terran_Armory 229; Terran_Starport 242; Terran_Opening two_facto; Terran_Academy 468; Terran_Bunker -1; Terran_Factory 172; 
Terran_Control_Tower 481; Terran_Comsat_Station 638; Terran_Barracks 90; Terran_Expansion 531; Terran_Refinery 102; Terran_Barracks2 188; Terran_Missile_Turret 614; Terran_Supply_Depot 58; Terran_Engineering_Bay 519; Terran_Science_Facility -1; Terran_Machine_Shop 412; Terran_Armory 206; Terran_Starport 266; Terran_Opening ; Terran_Academy 581; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower 256; Terran_Comsat_Station 687; Terran_Barracks 84; Terran_Expansion 576; Terran_Refinery 105; Terran_Barracks2 522; Terran_Missile_Turret 314; Terran_Supply_Depot 59; Terran_Engineering_Bay 270; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory 739; Terran_Starport 207; Terran_Opening air; Terran_Academy 632; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 248; Terran_Comsat_Station 368; Terran_Barracks 89; Terran_Expansion 380; Terran_Refinery 99; Terran_Barracks2 671; Terran_Missile_Turret 331; Terran_Supply_Depot 57; Terran_Engineering_Bay 289; Terran_Science_Facility 0; Terran_Machine_Shop 244; Terran_Armory 300; Terran_Starport 202; Terran_Opening air; Terran_Academy 309; Terran_Bunker -1; Terran_Factory 150; 
Terran_Control_Tower 255; Terran_Comsat_Station 430; Terran_Barracks 86; Terran_Expansion 348; Terran_Refinery 102; Terran_Barracks2 389; Terran_Missile_Turret 471; Terran_Supply_Depot 60; Terran_Engineering_Bay 423; Terran_Science_Facility 0; Terran_Machine_Shop 247; Terran_Armory 990; Terran_Starport 207; Terran_Opening air; Terran_Academy 369; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 92; Terran_Expansion 454; Terran_Refinery 110; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 92; Terran_Expansion -1; Terran_Refinery 109; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 233; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 175; 
Terran_Control_Tower 293; Terran_Comsat_Station 1024; Terran_Barracks 88; Terran_Expansion 415; Terran_Refinery 105; Terran_Barracks2 315; Terran_Missile_Turret 453; Terran_Supply_Depot 57; Terran_Engineering_Bay 412; Terran_Science_Facility 1040; Terran_Machine_Shop 207; Terran_Armory 206; Terran_Starport 245; Terran_Opening two_facto; Terran_Academy 759; Terran_Bunker -1; Terran_Factory 154; 
