Terran_Control_Tower 353; Terran_Comsat_Station 465; Terran_Barracks 93; Terran_Expansion 637; Terran_Refinery 115; Terran_Barracks2 261; Terran_Missile_Turret 472; Terran_Supply_Depot 53; Terran_Engineering_Bay 427; Terran_Science_Facility 877; Terran_Machine_Shop 355; Terran_Armory -1; Terran_Starport 224; Terran_Opening bio; Terran_Academy 403; Terran_Bunker 662; Terran_Factory 171; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 68; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 95; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker 176; Terran_Factory -1; 
Terran_Control_Tower 444; Terran_Comsat_Station 278; Terran_Barracks 89; Terran_Expansion 182; Terran_Refinery 202; Terran_Barracks2 248; Terran_Missile_Turret 473; Terran_Supply_Depot 58; Terran_Engineering_Bay 416; Terran_Science_Facility 441; Terran_Machine_Shop 391; Terran_Armory -1; Terran_Starport 392; Terran_Opening rax_fe; Terran_Academy 219; Terran_Bunker 421; Terran_Factory 334; 
Terran_Control_Tower 521; Terran_Comsat_Station 295; Terran_Barracks 85; Terran_Expansion 179; Terran_Refinery 213; Terran_Barracks2 277; Terran_Missile_Turret 419; Terran_Supply_Depot 60; Terran_Engineering_Bay 306; Terran_Science_Facility 520; Terran_Machine_Shop 498; Terran_Armory -1; Terran_Starport 465; Terran_Opening rax_fe; Terran_Academy 227; Terran_Bunker 256; Terran_Factory 405; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 82; Terran_Expansion -1; Terran_Refinery 330; Terran_Barracks2 387; Terran_Missile_Turret -1; Terran_Supply_Depot 108; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 384; Terran_Bunker 176; Terran_Factory -1; 
Terran_Control_Tower 568; Terran_Comsat_Station 299; Terran_Barracks 83; Terran_Expansion 205; Terran_Refinery 210; Terran_Barracks2 287; Terran_Missile_Turret 390; Terran_Supply_Depot 58; Terran_Engineering_Bay 346; Terran_Science_Facility 569; Terran_Machine_Shop 532; Terran_Armory -1; Terran_Starport 519; Terran_Opening rax_fe; Terran_Academy 220; Terran_Bunker 383; Terran_Factory 445; 
Terran_Control_Tower 608; Terran_Comsat_Station 288; Terran_Barracks 83; Terran_Expansion 216; Terran_Refinery 219; Terran_Barracks2 157; Terran_Missile_Turret 421; Terran_Supply_Depot 57; Terran_Engineering_Bay 281; Terran_Science_Facility 607; Terran_Machine_Shop 594; Terran_Armory -1; Terran_Starport 561; Terran_Opening unknown; Terran_Academy 155; Terran_Bunker 374; Terran_Factory 507; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 80; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 107; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker 160; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion -1; Terran_Refinery 256; Terran_Barracks2 171; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening bio; Terran_Academy 277; Terran_Bunker 309; Terran_Factory -1; 
Terran_Control_Tower 541; Terran_Comsat_Station 350; Terran_Barracks 88; Terran_Expansion 188; Terran_Refinery 215; Terran_Barracks2 251; Terran_Missile_Turret 445; Terran_Supply_Depot 58; Terran_Engineering_Bay 312; Terran_Science_Facility 542; Terran_Machine_Shop 523; Terran_Armory -1; Terran_Starport 493; Terran_Opening rax_fe; Terran_Academy 234; Terran_Bunker -1; Terran_Factory 389; 
Terran_Control_Tower 501; Terran_Comsat_Station 283; Terran_Barracks 86; Terran_Expansion 162; Terran_Refinery 177; Terran_Barracks2 199; Terran_Missile_Turret 548; Terran_Supply_Depot 56; Terran_Engineering_Bay 502; Terran_Science_Facility 500; Terran_Machine_Shop 448; Terran_Armory -1; Terran_Starport 449; Terran_Opening rax_fe; Terran_Academy 216; Terran_Bunker 241; Terran_Factory 393; 
Terran_Control_Tower 506; Terran_Comsat_Station 295; Terran_Barracks 84; Terran_Expansion 167; Terran_Refinery 198; Terran_Barracks2 185; Terran_Missile_Turret 623; Terran_Supply_Depot 54; Terran_Engineering_Bay 578; Terran_Science_Facility 512; Terran_Machine_Shop 395; Terran_Armory -1; Terran_Starport 453; Terran_Opening rax_fe; Terran_Academy 224; Terran_Bunker 371; Terran_Factory 330; 
Terran_Control_Tower 507; Terran_Comsat_Station 265; Terran_Barracks 86; Terran_Expansion 166; Terran_Refinery 186; Terran_Barracks2 225; Terran_Missile_Turret -1; Terran_Supply_Depot 56; Terran_Engineering_Bay 523; Terran_Science_Facility 548; Terran_Machine_Shop 454; Terran_Armory -1; Terran_Starport 457; Terran_Opening rax_fe; Terran_Academy 206; Terran_Bunker 273; Terran_Factory 370; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 92; Terran_Expansion 205; Terran_Refinery 221; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay 133; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker 270; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 586; Terran_Comsat_Station 309; Terran_Barracks 81; Terran_Expansion 209; Terran_Refinery 238; Terran_Barracks2 109; Terran_Missile_Turret 379; Terran_Supply_Depot 59; Terran_Engineering_Bay 301; Terran_Science_Facility 618; Terran_Machine_Shop 436; Terran_Armory -1; Terran_Starport 483; Terran_Opening rax_fe; Terran_Academy 251; Terran_Bunker 467; Terran_Factory 373; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 138; Terran_Expansion 124; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 503; Terran_Comsat_Station 315; Terran_Barracks 89; Terran_Expansion 169; Terran_Refinery 228; Terran_Barracks2 219; Terran_Missile_Turret 378; Terran_Supply_Depot 57; Terran_Engineering_Bay 279; Terran_Science_Facility 504; Terran_Machine_Shop 502; Terran_Armory -1; Terran_Starport 448; Terran_Opening rax_fe; Terran_Academy 243; Terran_Bunker 530; Terran_Factory 357; 
Terran_Control_Tower -1; Terran_Comsat_Station 391; Terran_Barracks 60; Terran_Expansion 192; Terran_Refinery 212; Terran_Barracks2 216; Terran_Missile_Turret 438; Terran_Supply_Depot 78; Terran_Engineering_Bay 388; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 292; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 538; Terran_Comsat_Station 340; Terran_Barracks 86; Terran_Expansion 217; Terran_Refinery 241; Terran_Barracks2 113; Terran_Missile_Turret 446; Terran_Supply_Depot 57; Terran_Engineering_Bay 275; Terran_Science_Facility 539; Terran_Machine_Shop 476; Terran_Armory -1; Terran_Starport 486; Terran_Opening rax_fe; Terran_Academy 253; Terran_Bunker 368; Terran_Factory 420; 
Terran_Control_Tower 425; Terran_Comsat_Station 281; Terran_Barracks 86; Terran_Expansion 167; Terran_Refinery 202; Terran_Barracks2 258; Terran_Missile_Turret 372; Terran_Supply_Depot 57; Terran_Engineering_Bay 298; Terran_Science_Facility 431; Terran_Machine_Shop 377; Terran_Armory -1; Terran_Starport 378; Terran_Opening rax_fe; Terran_Academy 222; Terran_Bunker -1; Terran_Factory 322; 
Terran_Control_Tower 767; Terran_Comsat_Station 311; Terran_Barracks 88; Terran_Expansion 173; Terran_Refinery 139; Terran_Barracks2 295; Terran_Missile_Turret 415; Terran_Supply_Depot 58; Terran_Engineering_Bay 236; Terran_Science_Facility 769; Terran_Machine_Shop 608; Terran_Armory -1; Terran_Starport 718; Terran_Opening rax_fe; Terran_Academy 224; Terran_Bunker 0; Terran_Factory 529; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 508; Terran_Comsat_Station 309; Terran_Barracks 87; Terran_Expansion 144; Terran_Refinery 198; Terran_Barracks2 178; Terran_Missile_Turret 381; Terran_Supply_Depot 57; Terran_Engineering_Bay 302; Terran_Science_Facility 510; Terran_Machine_Shop 428; Terran_Armory -1; Terran_Starport 429; Terran_Opening rax_fe; Terran_Academy 216; Terran_Bunker -1; Terran_Factory 372; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 129; Terran_Expansion 121; Terran_Refinery -1; Terran_Barracks2 152; Terran_Missile_Turret -1; Terran_Supply_Depot 55; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 490; Terran_Comsat_Station 326; Terran_Barracks 81; Terran_Expansion 185; Terran_Refinery 209; Terran_Barracks2 253; Terran_Missile_Turret 370; Terran_Supply_Depot 51; Terran_Engineering_Bay 309; Terran_Science_Facility 492; Terran_Machine_Shop 437; Terran_Armory -1; Terran_Starport 437; Terran_Opening rax_fe; Terran_Academy 224; Terran_Bunker 420; Terran_Factory 383; 
Terran_Control_Tower 660; Terran_Comsat_Station 369; Terran_Barracks 88; Terran_Expansion 177; Terran_Refinery 213; Terran_Barracks2 208; Terran_Missile_Turret 401; Terran_Supply_Depot 58; Terran_Engineering_Bay 224; Terran_Science_Facility 661; Terran_Machine_Shop 600; Terran_Armory -1; Terran_Starport 601; Terran_Opening rax_fe; Terran_Academy 246; Terran_Bunker 602; Terran_Factory 545; 
Terran_Control_Tower 736; Terran_Comsat_Station 387; Terran_Barracks 87; Terran_Expansion 384; Terran_Refinery 311; Terran_Barracks2 191; Terran_Missile_Turret 502; Terran_Supply_Depot 58; Terran_Engineering_Bay 402; Terran_Science_Facility 737; Terran_Machine_Shop 662; Terran_Armory -1; Terran_Starport 663; Terran_Opening bio; Terran_Academy 312; Terran_Bunker 142; Terran_Factory 578; 
Terran_Control_Tower -1; Terran_Comsat_Station 379; Terran_Barracks 84; Terran_Expansion 166; Terran_Refinery 242; Terran_Barracks2 153; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay 358; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening rax_fe; Terran_Academy 274; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 537; Terran_Comsat_Station 322; Terran_Barracks 82; Terran_Expansion 169; Terran_Refinery 210; Terran_Barracks2 281; Terran_Missile_Turret 390; Terran_Supply_Depot 55; Terran_Engineering_Bay 320; Terran_Science_Facility 537; Terran_Machine_Shop 374; Terran_Armory -1; Terran_Starport 470; Terran_Opening rax_fe; Terran_Academy 225; Terran_Bunker 425; Terran_Factory 317; 
Terran_Control_Tower 877; Terran_Comsat_Station 313; Terran_Barracks 85; Terran_Expansion 178; Terran_Refinery 216; Terran_Barracks2 276; Terran_Missile_Turret 411; Terran_Supply_Depot 55; Terran_Engineering_Bay 361; Terran_Science_Facility 876; Terran_Machine_Shop 658; Terran_Armory -1; Terran_Starport 827; Terran_Opening rax_fe; Terran_Academy 238; Terran_Bunker 501; Terran_Factory 490; 
Terran_Control_Tower 480; Terran_Comsat_Station 332; Terran_Barracks 86; Terran_Expansion 168; Terran_Refinery 210; Terran_Barracks2 267; Terran_Missile_Turret 406; Terran_Supply_Depot 54; Terran_Engineering_Bay 303; Terran_Science_Facility 482; Terran_Machine_Shop 428; Terran_Armory -1; Terran_Starport 430; Terran_Opening rax_fe; Terran_Academy 231; Terran_Bunker 194; Terran_Factory 370; 
Terran_Control_Tower 555; Terran_Comsat_Station 303; Terran_Barracks 86; Terran_Expansion 167; Terran_Refinery 181; Terran_Barracks2 119; Terran_Missile_Turret 384; Terran_Supply_Depot 58; Terran_Engineering_Bay 208; Terran_Science_Facility 555; Terran_Machine_Shop 487; Terran_Armory -1; Terran_Starport 488; Terran_Opening rax_fe; Terran_Academy 227; Terran_Bunker 198; Terran_Factory 419; 
Terran_Control_Tower 737; Terran_Comsat_Station 248; Terran_Barracks 88; Terran_Expansion 469; Terran_Refinery 192; Terran_Barracks2 123; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay 282; Terran_Science_Facility 741; Terran_Machine_Shop 642; Terran_Armory -1; Terran_Starport 644; Terran_Opening ; Terran_Academy 196; Terran_Bunker 539; Terran_Factory 553; 
Terran_Control_Tower 432; Terran_Comsat_Station 317; Terran_Barracks 87; Terran_Expansion 557; Terran_Refinery 218; Terran_Barracks2 122; Terran_Missile_Turret 529; Terran_Supply_Depot 58; Terran_Engineering_Bay 482; Terran_Science_Facility 433; Terran_Machine_Shop 397; Terran_Armory -1; Terran_Starport 384; Terran_Opening ; Terran_Academy 254; Terran_Bunker 427; Terran_Factory 294; 
Terran_Control_Tower 312; Terran_Comsat_Station 477; Terran_Barracks 143; Terran_Expansion 124; Terran_Refinery 160; Terran_Barracks2 445; Terran_Missile_Turret 288; Terran_Supply_Depot 59; Terran_Engineering_Bay 225; Terran_Science_Facility -1; Terran_Machine_Shop 267; Terran_Armory 316; Terran_Starport 264; Terran_Opening rax_fe; Terran_Academy 386; Terran_Bunker -1; Terran_Factory 211; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 88; Terran_Expansion -1; Terran_Refinery 115; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 61; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 175; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 92; Terran_Expansion -1; Terran_Refinery 307; Terran_Barracks2 121; Terran_Missile_Turret -1; Terran_Supply_Depot 58; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 384; Terran_Comsat_Station 255; Terran_Barracks 81; Terran_Expansion 532; Terran_Refinery 180; Terran_Barracks2 111; Terran_Missile_Turret 596; Terran_Supply_Depot 57; Terran_Engineering_Bay 551; Terran_Science_Facility 496; Terran_Machine_Shop 349; Terran_Armory -1; Terran_Starport 291; Terran_Opening unknown; Terran_Academy 198; Terran_Bunker 346; Terran_Factory 237; 
Terran_Control_Tower 682; Terran_Comsat_Station 241; Terran_Barracks 83; Terran_Expansion 542; Terran_Refinery 113; Terran_Barracks2 186; Terran_Missile_Turret 390; Terran_Supply_Depot 58; Terran_Engineering_Bay 260; Terran_Science_Facility 685; Terran_Machine_Shop 627; Terran_Armory -1; Terran_Starport 628; Terran_Opening bio; Terran_Academy 188; Terran_Bunker -1; Terran_Factory 572; 
Terran_Control_Tower 495; Terran_Comsat_Station 280; Terran_Barracks 85; Terran_Expansion 831; Terran_Refinery 159; Terran_Barracks2 137; Terran_Missile_Turret -1; Terran_Supply_Depot 64; Terran_Engineering_Bay 365; Terran_Science_Facility 527; Terran_Machine_Shop 435; Terran_Armory -1; Terran_Starport 436; Terran_Opening bio; Terran_Academy 142; Terran_Bunker 584; Terran_Factory 383; 
Terran_Control_Tower 416; Terran_Comsat_Station 279; Terran_Barracks 59; Terran_Expansion 452; Terran_Refinery 151; Terran_Barracks2 167; Terran_Missile_Turret 425; Terran_Supply_Depot 78; Terran_Engineering_Bay 184; Terran_Science_Facility 526; Terran_Machine_Shop 524; Terran_Armory -1; Terran_Starport 329; Terran_Opening bio; Terran_Academy 217; Terran_Bunker 165; Terran_Factory 276; 
Terran_Control_Tower 427; Terran_Comsat_Station 256; Terran_Barracks 87; Terran_Expansion 601; Terran_Refinery 160; Terran_Barracks2 121; Terran_Missile_Turret 572; Terran_Supply_Depot 60; Terran_Engineering_Bay 373; Terran_Science_Facility 481; Terran_Machine_Shop 644; Terran_Armory -1; Terran_Starport 372; Terran_Opening drop; Terran_Academy 200; Terran_Bunker 798; Terran_Factory 313; 
