Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 68; Zerg_Extractor 91; Zerg_Creep_Colony 451; Zerg_Evolution_Chamber 776; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 480; Zerg_Spore_Colony -1; Zerg_Expansion 195; Zerg_Hydralisk_Den 308; Zerg_Greater_Spire -1; Zerg_Expansion2 993; Zerg_Lair 373; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 85; Zerg_Defiler_Mound -1; 
Zerg_Hive 672; Zerg_Opening lurkers; Zerg_Spawning_Pool 119; Zerg_Extractor 275; Zerg_Creep_Colony 185; Zerg_Evolution_Chamber 544; Zerg_Queens_Nest 615; Zerg_Sunken_Colony 203; Zerg_Spore_Colony -1; Zerg_Expansion 102; Zerg_Hydralisk_Den 412; Zerg_Greater_Spire -1; Zerg_Expansion2 243; Zerg_Lair 346; Zerg_Ultralisk_Cavern 844; Zerg_Spire 498; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive 852; Zerg_Opening mutas; Zerg_Spawning_Pool 125; Zerg_Extractor 162; Zerg_Creep_Colony 382; Zerg_Evolution_Chamber 612; Zerg_Queens_Nest 786; Zerg_Sunken_Colony 399; Zerg_Spore_Colony -1; Zerg_Expansion 113; Zerg_Hydralisk_Den 611; Zerg_Greater_Spire -1; Zerg_Expansion2 177; Zerg_Lair 244; Zerg_Ultralisk_Cavern -1; Zerg_Spire 323; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 879; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 113; Zerg_Extractor 127; Zerg_Creep_Colony 266; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest 821; Zerg_Sunken_Colony 283; Zerg_Spore_Colony -1; Zerg_Expansion 83; Zerg_Hydralisk_Den 263; Zerg_Greater_Spire -1; Zerg_Expansion2 299; Zerg_Lair 248; Zerg_Ultralisk_Cavern -1; Zerg_Spire 311; Zerg_Building_Overlord 140; Zerg_Defiler_Mound -1; 
Zerg_Hive 1052; Zerg_Opening mutas; Zerg_Spawning_Pool 80; Zerg_Extractor 188; Zerg_Creep_Colony 167; Zerg_Evolution_Chamber 437; Zerg_Queens_Nest 1007; Zerg_Sunken_Colony 187; Zerg_Spore_Colony 491; Zerg_Expansion 125; Zerg_Hydralisk_Den 385; Zerg_Greater_Spire -1; Zerg_Expansion2 167; Zerg_Lair 356; Zerg_Ultralisk_Cavern -1; Zerg_Spire 428; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 78; Zerg_Extractor 290; Zerg_Creep_Colony 228; Zerg_Evolution_Chamber 774; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 252; Zerg_Spore_Colony -1; Zerg_Expansion 140; Zerg_Hydralisk_Den 803; Zerg_Greater_Spire -1; Zerg_Expansion2 149; Zerg_Lair 373; Zerg_Ultralisk_Cavern -1; Zerg_Spire 440; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 120; Zerg_Extractor 238; Zerg_Creep_Colony 302; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 570; Zerg_Spore_Colony -1; Zerg_Expansion 101; Zerg_Hydralisk_Den 289; Zerg_Greater_Spire -1; Zerg_Expansion2 174; Zerg_Lair 314; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive 769; Zerg_Opening hydras; Zerg_Spawning_Pool 103; Zerg_Extractor 341; Zerg_Creep_Colony 223; Zerg_Evolution_Chamber 603; Zerg_Queens_Nest 710; Zerg_Sunken_Colony 239; Zerg_Spore_Colony -1; Zerg_Expansion 142; Zerg_Hydralisk_Den 441; Zerg_Greater_Spire -1; Zerg_Expansion2 187; Zerg_Lair 406; Zerg_Ultralisk_Cavern 887; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 128; Zerg_Extractor 288; Zerg_Creep_Colony 194; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 215; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 536; Zerg_Greater_Spire -1; Zerg_Expansion2 241; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 481; Zerg_Opening mutas; Zerg_Spawning_Pool 169; Zerg_Extractor 181; Zerg_Creep_Colony 421; Zerg_Evolution_Chamber 315; Zerg_Queens_Nest 433; Zerg_Sunken_Colony 437; Zerg_Spore_Colony -1; Zerg_Expansion 105; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire 562; Zerg_Expansion2 141; Zerg_Lair 236; Zerg_Ultralisk_Cavern -1; Zerg_Spire 300; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive 703; Zerg_Opening lurkers; Zerg_Spawning_Pool 175; Zerg_Extractor 208; Zerg_Creep_Colony 275; Zerg_Evolution_Chamber 269; Zerg_Queens_Nest 585; Zerg_Sunken_Colony 304; Zerg_Spore_Colony -1; Zerg_Expansion 109; Zerg_Hydralisk_Den 341; Zerg_Greater_Spire -1; Zerg_Expansion2 157; Zerg_Lair 290; Zerg_Ultralisk_Cavern 801; Zerg_Spire 452; Zerg_Building_Overlord 57; Zerg_Defiler_Mound 821; 
Zerg_Hive 807; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 66; Zerg_Extractor 75; Zerg_Creep_Colony 173; Zerg_Evolution_Chamber 699; Zerg_Queens_Nest 751; Zerg_Sunken_Colony 188; Zerg_Spore_Colony 0; Zerg_Expansion 403; Zerg_Hydralisk_Den 0; Zerg_Greater_Spire 1011; Zerg_Expansion2 678; Zerg_Lair 233; Zerg_Ultralisk_Cavern -1; Zerg_Spire 304; Zerg_Building_Overlord 87; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 0; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord -1; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 126; Zerg_Extractor 147; Zerg_Creep_Colony 223; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 249; Zerg_Spore_Colony -1; Zerg_Expansion 114; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 175; Zerg_Lair 241; Zerg_Ultralisk_Cavern -1; Zerg_Spire 315; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 82; Zerg_Extractor 257; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 141; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 185; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 711; Zerg_Opening hydras; Zerg_Spawning_Pool 123; Zerg_Extractor 235; Zerg_Creep_Colony 391; Zerg_Evolution_Chamber 275; Zerg_Queens_Nest 661; Zerg_Sunken_Colony 411; Zerg_Spore_Colony 0; Zerg_Expansion 106; Zerg_Hydralisk_Den 399; Zerg_Greater_Spire -1; Zerg_Expansion2 164; Zerg_Lair 338; Zerg_Ultralisk_Cavern 870; Zerg_Spire 476; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 636; Zerg_Opening lurkers; Zerg_Spawning_Pool 73; Zerg_Extractor 238; Zerg_Creep_Colony 270; Zerg_Evolution_Chamber 299; Zerg_Queens_Nest 584; Zerg_Sunken_Colony 294; Zerg_Spore_Colony -1; Zerg_Expansion 140; Zerg_Hydralisk_Den 359; Zerg_Greater_Spire -1; Zerg_Expansion2 164; Zerg_Lair 299; Zerg_Ultralisk_Cavern -1; Zerg_Spire 482; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive 599; Zerg_Opening hydras; Zerg_Spawning_Pool 121; Zerg_Extractor 235; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber 402; Zerg_Queens_Nest 548; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 107; Zerg_Hydralisk_Den 283; Zerg_Greater_Spire -1; Zerg_Expansion2 165; Zerg_Lair 448; Zerg_Ultralisk_Cavern -1; Zerg_Spire 518; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 65; Zerg_Extractor 78; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 89; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 66; Zerg_Extractor 80; Zerg_Creep_Colony 292; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 312; Zerg_Spore_Colony -1; Zerg_Expansion 160; Zerg_Hydralisk_Den 319; Zerg_Greater_Spire -1; Zerg_Expansion2 207; Zerg_Lair 280; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 87; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 67; Zerg_Extractor 78; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 92; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 76; Zerg_Extractor 236; Zerg_Creep_Colony 308; Zerg_Evolution_Chamber 285; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 324; Zerg_Spore_Colony -1; Zerg_Expansion 163; Zerg_Hydralisk_Den 385; Zerg_Greater_Spire -1; Zerg_Expansion2 184; Zerg_Lair 356; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 0; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord -1; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening fast_mutas; Zerg_Spawning_Pool 66; Zerg_Extractor 84; Zerg_Creep_Colony 326; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 350; Zerg_Spore_Colony -1; Zerg_Expansion 177; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 466; Zerg_Lair 184; Zerg_Ultralisk_Cavern -1; Zerg_Spire 248; Zerg_Building_Overlord 85; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 0; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord -1; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 122; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 111; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 163; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 48; Zerg_Defiler_Mound -1; 
Zerg_Hive 819; Zerg_Opening lurkers; Zerg_Spawning_Pool 77; Zerg_Extractor 193; Zerg_Creep_Colony 222; Zerg_Evolution_Chamber 717; Zerg_Queens_Nest 718; Zerg_Sunken_Colony 248; Zerg_Spore_Colony -1; Zerg_Expansion 130; Zerg_Hydralisk_Den 247; Zerg_Greater_Spire -1; Zerg_Expansion2 182; Zerg_Lair 254; Zerg_Ultralisk_Cavern 941; Zerg_Spire 890; Zerg_Building_Overlord 55; Zerg_Defiler_Mound 909; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 79; Zerg_Extractor 176; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 152; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 60; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 66; Zerg_Extractor 87; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 189; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 83; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening lurkers; Zerg_Spawning_Pool 91; Zerg_Extractor 132; Zerg_Creep_Colony 144; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 161; Zerg_Spore_Colony -1; Zerg_Expansion 126; Zerg_Hydralisk_Den 297; Zerg_Greater_Spire -1; Zerg_Expansion2 135; Zerg_Lair 234; Zerg_Ultralisk_Cavern -1; Zerg_Spire 609; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 130; Zerg_Extractor 178; Zerg_Creep_Colony 701; Zerg_Evolution_Chamber 545; Zerg_Queens_Nest 654; Zerg_Sunken_Colony 722; Zerg_Spore_Colony -1; Zerg_Expansion 112; Zerg_Hydralisk_Den 228; Zerg_Greater_Spire -1; Zerg_Expansion2 175; Zerg_Lair 374; Zerg_Ultralisk_Cavern -1; Zerg_Spire 444; Zerg_Building_Overlord 58; Zerg_Defiler_Mound -1; 
Zerg_Hive 688; Zerg_Opening mutas; Zerg_Spawning_Pool 97; Zerg_Extractor 189; Zerg_Creep_Colony 469; Zerg_Evolution_Chamber 436; Zerg_Queens_Nest 634; Zerg_Sunken_Colony 509; Zerg_Spore_Colony -1; Zerg_Expansion 148; Zerg_Hydralisk_Den 290; Zerg_Greater_Spire -1; Zerg_Expansion2 185; Zerg_Lair 243; Zerg_Ultralisk_Cavern 769; Zerg_Spire 306; Zerg_Building_Overlord 52; Zerg_Defiler_Mound 966; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 0; Zerg_Extractor -1; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion -1; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 -1; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord -1; Zerg_Defiler_Mound -1; 
Zerg_Hive 808; Zerg_Opening hydras; Zerg_Spawning_Pool 68; Zerg_Extractor 79; Zerg_Creep_Colony 491; Zerg_Evolution_Chamber 869; Zerg_Queens_Nest 764; Zerg_Sunken_Colony 510; Zerg_Spore_Colony 1023; Zerg_Expansion 174; Zerg_Hydralisk_Den 206; Zerg_Greater_Spire 893; Zerg_Expansion2 387; Zerg_Lair 413; Zerg_Ultralisk_Cavern 959; Zerg_Spire 477; Zerg_Building_Overlord 97; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 76; Zerg_Extractor 201; Zerg_Creep_Colony 374; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 396; Zerg_Spore_Colony -1; Zerg_Expansion 145; Zerg_Hydralisk_Den 260; Zerg_Greater_Spire -1; Zerg_Expansion2 161; Zerg_Lair 473; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 747; Zerg_Opening hydras; Zerg_Spawning_Pool 73; Zerg_Extractor 96; Zerg_Creep_Colony 457; Zerg_Evolution_Chamber 505; Zerg_Queens_Nest 655; Zerg_Sunken_Colony 472; Zerg_Spore_Colony 0; Zerg_Expansion 169; Zerg_Hydralisk_Den 404; Zerg_Greater_Spire -1; Zerg_Expansion2 213; Zerg_Lair 239; Zerg_Ultralisk_Cavern 898; Zerg_Spire 303; Zerg_Building_Overlord 52; Zerg_Defiler_Mound 0; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 77; Zerg_Extractor 83; Zerg_Creep_Colony 472; Zerg_Evolution_Chamber 417; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 488; Zerg_Spore_Colony -1; Zerg_Expansion 173; Zerg_Hydralisk_Den 474; Zerg_Greater_Spire -1; Zerg_Expansion2 178; Zerg_Lair 243; Zerg_Ultralisk_Cavern -1; Zerg_Spire 310; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive 916; Zerg_Opening hydras; Zerg_Spawning_Pool 75; Zerg_Extractor 81; Zerg_Creep_Colony 533; Zerg_Evolution_Chamber 461; Zerg_Queens_Nest 859; Zerg_Sunken_Colony 551; Zerg_Spore_Colony -1; Zerg_Expansion 186; Zerg_Hydralisk_Den 362; Zerg_Greater_Spire -1; Zerg_Expansion2 253; Zerg_Lair 208; Zerg_Ultralisk_Cavern 0; Zerg_Spire 279; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 121; Zerg_Extractor 224; Zerg_Creep_Colony 240; Zerg_Evolution_Chamber 398; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 255; Zerg_Spore_Colony -1; Zerg_Expansion 105; Zerg_Hydralisk_Den 273; Zerg_Greater_Spire -1; Zerg_Expansion2 177; Zerg_Lair 377; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening hydras; Zerg_Spawning_Pool 119; Zerg_Extractor 138; Zerg_Creep_Colony 177; Zerg_Evolution_Chamber 438; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 202; Zerg_Spore_Colony 629; Zerg_Expansion 103; Zerg_Hydralisk_Den 435; Zerg_Greater_Spire -1; Zerg_Expansion2 152; Zerg_Lair 229; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 76; Zerg_Extractor 98; Zerg_Creep_Colony 377; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 392; Zerg_Spore_Colony -1; Zerg_Expansion 171; Zerg_Hydralisk_Den 558; Zerg_Greater_Spire -1; Zerg_Expansion2 227; Zerg_Lair 257; Zerg_Ultralisk_Cavern -1; Zerg_Spire 330; Zerg_Building_Overlord 57; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening mutas; Zerg_Spawning_Pool 72; Zerg_Extractor 94; Zerg_Creep_Colony 342; Zerg_Evolution_Chamber 254; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 456; Zerg_Spore_Colony 357; Zerg_Expansion 163; Zerg_Hydralisk_Den 469; Zerg_Greater_Spire -1; Zerg_Expansion2 208; Zerg_Lair 240; Zerg_Ultralisk_Cavern -1; Zerg_Spire 317; Zerg_Building_Overlord 52; Zerg_Defiler_Mound -1; 
Zerg_Hive 788; Zerg_Opening unknown; Zerg_Spawning_Pool 75; Zerg_Extractor 85; Zerg_Creep_Colony 309; Zerg_Evolution_Chamber 282; Zerg_Queens_Nest 736; Zerg_Sunken_Colony 408; Zerg_Spore_Colony 325; Zerg_Expansion 166; Zerg_Hydralisk_Den 353; Zerg_Greater_Spire -1; Zerg_Expansion2 214; Zerg_Lair 383; Zerg_Ultralisk_Cavern 955; Zerg_Spire 532; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 77; Zerg_Extractor 83; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 168; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 239; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 56; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 77; Zerg_Extractor 81; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 166; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 222; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 129; Zerg_Extractor 185; Zerg_Creep_Colony -1; Zerg_Evolution_Chamber 218; Zerg_Queens_Nest -1; Zerg_Sunken_Colony -1; Zerg_Spore_Colony -1; Zerg_Expansion 98; Zerg_Hydralisk_Den 320; Zerg_Greater_Spire -1; Zerg_Expansion2 173; Zerg_Lair 278; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive 540; Zerg_Opening hydras; Zerg_Spawning_Pool 120; Zerg_Extractor 221; Zerg_Creep_Colony 386; Zerg_Evolution_Chamber 254; Zerg_Queens_Nest 493; Zerg_Sunken_Colony 407; Zerg_Spore_Colony 1056; Zerg_Expansion 107; Zerg_Hydralisk_Den 339; Zerg_Greater_Spire -1; Zerg_Expansion2 165; Zerg_Lair 308; Zerg_Ultralisk_Cavern 624; Zerg_Spire 538; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 93; Zerg_Extractor 95; Zerg_Creep_Colony 128; Zerg_Evolution_Chamber -1; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 146; Zerg_Spore_Colony -1; Zerg_Expansion 213; Zerg_Hydralisk_Den -1; Zerg_Greater_Spire -1; Zerg_Expansion2 260; Zerg_Lair -1; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 52; Zerg_Defiler_Mound -1; 
Zerg_Hive 478; Zerg_Opening hydras; Zerg_Spawning_Pool 125; Zerg_Extractor 180; Zerg_Creep_Colony 266; Zerg_Evolution_Chamber 215; Zerg_Queens_Nest 410; Zerg_Sunken_Colony 286; Zerg_Spore_Colony 415; Zerg_Expansion 90; Zerg_Hydralisk_Den 316; Zerg_Greater_Spire -1; Zerg_Expansion2 167; Zerg_Lair 271; Zerg_Ultralisk_Cavern 654; Zerg_Spire 547; Zerg_Building_Overlord 53; Zerg_Defiler_Mound -1; 
Zerg_Hive 478; Zerg_Opening hydras; Zerg_Spawning_Pool 125; Zerg_Extractor 184; Zerg_Creep_Colony 308; Zerg_Evolution_Chamber 216; Zerg_Queens_Nest 418; Zerg_Sunken_Colony 327; Zerg_Spore_Colony -1; Zerg_Expansion 97; Zerg_Hydralisk_Den 315; Zerg_Greater_Spire -1; Zerg_Expansion2 170; Zerg_Lair 281; Zerg_Ultralisk_Cavern -1; Zerg_Spire 563; Zerg_Building_Overlord 54; Zerg_Defiler_Mound -1; 
Zerg_Hive -1; Zerg_Opening ; Zerg_Spawning_Pool 93; Zerg_Extractor 240; Zerg_Creep_Colony 269; Zerg_Evolution_Chamber 259; Zerg_Queens_Nest -1; Zerg_Sunken_Colony 319; Zerg_Spore_Colony 287; Zerg_Expansion 127; Zerg_Hydralisk_Den 324; Zerg_Greater_Spire -1; Zerg_Expansion2 158; Zerg_Lair 317; Zerg_Ultralisk_Cavern -1; Zerg_Spire -1; Zerg_Building_Overlord 55; Zerg_Defiler_Mound -1; 
Zerg_Hive 832; Zerg_Opening hydras; Zerg_Spawning_Pool 91; Zerg_Extractor 216; Zerg_Creep_Colony 207; Zerg_Evolution_Chamber 443; Zerg_Queens_Nest 789; Zerg_Sunken_Colony 222; Zerg_Spore_Colony 920; Zerg_Expansion 125; Zerg_Hydralisk_Den 433; Zerg_Greater_Spire -1; Zerg_Expansion2 156; Zerg_Lair 268; Zerg_Ultralisk_Cavern 910; Zerg_Spire 333; Zerg_Building_Overlord 55; Zerg_Defiler_Mound 0; 
Zerg_Hive 509; Zerg_Opening hydras; Zerg_Spawning_Pool 76; Zerg_Extractor 238; Zerg_Creep_Colony 236; Zerg_Evolution_Chamber 329; Zerg_Queens_Nest 465; Zerg_Sunken_Colony 251; Zerg_Spore_Colony 511; Zerg_Expansion 121; Zerg_Hydralisk_Den 298; Zerg_Greater_Spire -1; Zerg_Expansion2 180; Zerg_Lair 320; Zerg_Ultralisk_Cavern 672; Zerg_Spire -1; Zerg_Building_Overlord 54; Zerg_Defiler_Mound 0; 
