Protoss_Pylon2 142; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 100; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 795; Protoss_Expansion 402; Protoss_Arbiter_Tribunal 771; Protoss_Robotics_Facility 274; Protoss_Fleet_Beacon 0; Protoss_Stargate 694; Protoss_Citadel_of_Adun 430; Protoss_Gateway2 235; Protoss_Forge 721; Protoss_Templar_Archives 571; Protoss_Photon_Cannon 775; Protoss_Cybernetics_Core 122; 
Protoss_Pylon2 154; Protoss_Pylon 52; Protoss_Opening fast_dt; Protoss_Assimilator 107; Protoss_Gateway 89; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 569; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 248; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 210; Protoss_Gateway2 284; Protoss_Forge 374; Protoss_Templar_Archives 289; Protoss_Photon_Cannon 424; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 137; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 106; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 313; Protoss_Expansion 565; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 222; Protoss_Fleet_Beacon 803; Protoss_Stargate 752; Protoss_Citadel_of_Adun 585; Protoss_Gateway2 321; Protoss_Forge 0; Protoss_Templar_Archives 698; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 180; 
Protoss_Pylon2 151; Protoss_Pylon 51; Protoss_Opening speedzeal; Protoss_Assimilator 103; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 315; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 181; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 411; Protoss_Gateway2 257; Protoss_Forge 623; Protoss_Templar_Archives 638; Protoss_Photon_Cannon 683; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 159; Protoss_Pylon 53; Protoss_Opening speedzeal; Protoss_Assimilator 107; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 341; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 187; Protoss_Fleet_Beacon 963; Protoss_Stargate 840; Protoss_Citadel_of_Adun 419; Protoss_Gateway2 258; Protoss_Forge 574; Protoss_Templar_Archives 627; Protoss_Photon_Cannon 615; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 149; Protoss_Pylon 52; Protoss_Opening reaver_drop; Protoss_Assimilator 99; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 259; Protoss_Expansion 476; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 180; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 319; Protoss_Gateway2 333; Protoss_Forge 0; Protoss_Templar_Archives 383; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 134; 
Protoss_Pylon2 155; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 108; Protoss_Gateway 87; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 400; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 259; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 533; Protoss_Gateway2 218; Protoss_Forge 512; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 602; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 161; Protoss_Pylon 51; Protoss_Opening two_gates; Protoss_Assimilator 106; Protoss_Gateway 91; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 522; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 195; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 295; Protoss_Gateway2 252; Protoss_Forge 385; Protoss_Templar_Archives 420; Protoss_Photon_Cannon 459; Protoss_Cybernetics_Core 153; 
Protoss_Pylon2 148; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 103; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 347; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 251; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 536; Protoss_Gateway2 217; Protoss_Forge 507; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 556; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 140; Protoss_Pylon 48; Protoss_Opening two_gates; Protoss_Assimilator 107; Protoss_Gateway 87; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 368; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 300; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 508; Protoss_Gateway2 260; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 171; 
Protoss_Pylon2 135; Protoss_Pylon 47; Protoss_Opening fast_dt; Protoss_Assimilator 97; Protoss_Gateway 77; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 308; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 208; Protoss_Fleet_Beacon 0; Protoss_Stargate 865; Protoss_Citadel_of_Adun 233; Protoss_Gateway2 239; Protoss_Forge 761; Protoss_Templar_Archives 280; Protoss_Photon_Cannon 807; Protoss_Cybernetics_Core 121; 
Protoss_Pylon2 148; Protoss_Pylon 52; Protoss_Opening speedzeal; Protoss_Assimilator 108; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 276; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 211; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 483; Protoss_Gateway2 295; Protoss_Forge 594; Protoss_Templar_Archives 807; Protoss_Photon_Cannon 717; Protoss_Cybernetics_Core 127; 
Protoss_Pylon2 152; Protoss_Pylon 59; Protoss_Opening nony; Protoss_Assimilator 92; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 293; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 307; Protoss_Forge 440; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 539; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 146; Protoss_Pylon 50; Protoss_Opening speedzeal; Protoss_Assimilator 106; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 321; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 197; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 517; Protoss_Gateway2 272; Protoss_Forge 519; Protoss_Templar_Archives 930; Protoss_Photon_Cannon 903; Protoss_Cybernetics_Core 134; 
Protoss_Pylon2 154; Protoss_Pylon 53; Protoss_Opening ; Protoss_Assimilator 112; Protoss_Gateway 98; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 472; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 277; Protoss_Fleet_Beacon 744; Protoss_Stargate 695; Protoss_Citadel_of_Adun 245; Protoss_Gateway2 287; Protoss_Forge 0; Protoss_Templar_Archives 576; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 147; 
Protoss_Pylon2 160; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 108; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 287; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 254; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 557; Protoss_Gateway2 298; Protoss_Forge 354; Protoss_Templar_Archives 1077; Protoss_Photon_Cannon 488; Protoss_Cybernetics_Core 138; 
Protoss_Pylon2 151; Protoss_Pylon 52; Protoss_Opening reaver_drop; Protoss_Assimilator 108; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 255; Protoss_Expansion 392; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 195; Protoss_Fleet_Beacon 945; Protoss_Stargate 679; Protoss_Citadel_of_Adun 520; Protoss_Gateway2 333; Protoss_Forge 620; Protoss_Templar_Archives 639; Protoss_Photon_Cannon 650; Protoss_Cybernetics_Core 137; 
Protoss_Pylon2 151; Protoss_Pylon 52; Protoss_Opening speedzeal; Protoss_Assimilator 106; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 609; Protoss_Expansion 377; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 193; Protoss_Fleet_Beacon 1048; Protoss_Stargate 892; Protoss_Citadel_of_Adun 656; Protoss_Gateway2 253; Protoss_Forge 464; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 624; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 156; Protoss_Pylon 53; Protoss_Opening fast_dt; Protoss_Assimilator 108; Protoss_Gateway 91; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 369; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 218; Protoss_Fleet_Beacon 838; Protoss_Stargate 770; Protoss_Citadel_of_Adun 242; Protoss_Gateway2 318; Protoss_Forge 584; Protoss_Templar_Archives 288; Protoss_Photon_Cannon 749; Protoss_Cybernetics_Core 137; 
Protoss_Pylon2 147; Protoss_Pylon 53; Protoss_Opening nony; Protoss_Assimilator 101; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 441; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 321; Protoss_Fleet_Beacon 841; Protoss_Stargate 787; Protoss_Citadel_of_Adun 512; Protoss_Gateway2 219; Protoss_Forge 658; Protoss_Templar_Archives 631; Protoss_Photon_Cannon 695; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 163; Protoss_Pylon 50; Protoss_Opening reaver_drop; Protoss_Assimilator 109; Protoss_Gateway 95; Protoss_Robotics_Support_Bay 277; Protoss_Expansion 0; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 206; Protoss_Fleet_Beacon 0; Protoss_Stargate 533; Protoss_Citadel_of_Adun 0; Protoss_Gateway2 337; Protoss_Forge 0; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 147; Protoss_Pylon 50; Protoss_Opening templar; Protoss_Assimilator 99; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 495; Protoss_Expansion 284; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 180; Protoss_Fleet_Beacon 786; Protoss_Stargate 720; Protoss_Citadel_of_Adun 442; Protoss_Gateway2 339; Protoss_Forge 501; Protoss_Templar_Archives 568; Protoss_Photon_Cannon 536; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 151; Protoss_Pylon 51; Protoss_Opening nony; Protoss_Assimilator 106; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 405; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 252; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 549; Protoss_Gateway2 290; Protoss_Forge 734; Protoss_Templar_Archives 761; Protoss_Photon_Cannon 772; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 174; Protoss_Pylon 58; Protoss_Opening fast_dt; Protoss_Assimilator 97; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 361; Protoss_Expansion 586; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 305; Protoss_Fleet_Beacon 0; Protoss_Stargate 1029; Protoss_Citadel_of_Adun 225; Protoss_Gateway2 235; Protoss_Forge 335; Protoss_Templar_Archives 266; Protoss_Photon_Cannon 383; Protoss_Cybernetics_Core 141; 
Protoss_Pylon2 204; Protoss_Pylon 54; Protoss_Opening ; Protoss_Assimilator 154; Protoss_Gateway 141; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 117; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 0; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 285; Protoss_Gateway2 247; Protoss_Forge 515; Protoss_Templar_Archives 338; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 182; 
Protoss_Pylon2 164; Protoss_Pylon 55; Protoss_Opening speedzeal; Protoss_Assimilator 99; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 308; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 202; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 603; Protoss_Gateway2 291; Protoss_Forge 451; Protoss_Templar_Archives 808; Protoss_Photon_Cannon 511; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 149; Protoss_Pylon 53; Protoss_Opening nony; Protoss_Assimilator 95; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 406; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 249; Protoss_Fleet_Beacon 1019; Protoss_Stargate 969; Protoss_Citadel_of_Adun 539; Protoss_Gateway2 283; Protoss_Forge 526; Protoss_Templar_Archives 598; Protoss_Photon_Cannon 568; Protoss_Cybernetics_Core 128; 
Protoss_Pylon2 145; Protoss_Pylon 51; Protoss_Opening unknown; Protoss_Assimilator 102; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 393; Protoss_Expansion 415; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 485; Protoss_Gateway2 218; Protoss_Forge 606; Protoss_Templar_Archives 726; Protoss_Photon_Cannon 710; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 151; Protoss_Pylon 54; Protoss_Opening speedzeal; Protoss_Assimilator 109; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 416; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 199; Protoss_Fleet_Beacon 867; Protoss_Stargate 789; Protoss_Citadel_of_Adun 531; Protoss_Gateway2 257; Protoss_Forge 840; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 883; Protoss_Cybernetics_Core 131; 
Protoss_Pylon2 121; Protoss_Pylon 54; Protoss_Opening speedzeal; Protoss_Assimilator 104; Protoss_Gateway 94; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 343; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 187; Protoss_Fleet_Beacon 0; Protoss_Stargate 871; Protoss_Citadel_of_Adun 403; Protoss_Gateway2 406; Protoss_Forge 455; Protoss_Templar_Archives 469; Protoss_Photon_Cannon 515; Protoss_Cybernetics_Core 144; 
Protoss_Pylon2 152; Protoss_Pylon 53; Protoss_Opening nony; Protoss_Assimilator 110; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 323; Protoss_Expansion 420; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 238; Protoss_Fleet_Beacon 637; Protoss_Stargate 550; Protoss_Citadel_of_Adun 541; Protoss_Gateway2 251; Protoss_Forge 951; Protoss_Templar_Archives 586; Protoss_Photon_Cannon 983; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 166; Protoss_Pylon 52; Protoss_Opening templar; Protoss_Assimilator 102; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 382; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 232; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 404; Protoss_Gateway2 279; Protoss_Forge 719; Protoss_Templar_Archives 469; Protoss_Photon_Cannon 984; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 157; Protoss_Pylon 52; Protoss_Opening fast_dt; Protoss_Assimilator 103; Protoss_Gateway 86; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 371; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 188; Protoss_Fleet_Beacon 1063; Protoss_Stargate 819; Protoss_Citadel_of_Adun 247; Protoss_Gateway2 261; Protoss_Forge 713; Protoss_Templar_Archives 293; Protoss_Photon_Cannon 745; Protoss_Cybernetics_Core 139; 
Protoss_Pylon2 155; Protoss_Pylon 53; Protoss_Opening ; Protoss_Assimilator 104; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 362; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 221; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 540; Protoss_Gateway2 266; Protoss_Forge 955; Protoss_Templar_Archives 991; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 146; Protoss_Pylon 49; Protoss_Opening nony; Protoss_Assimilator 104; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 369; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 241; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 499; Protoss_Gateway2 272; Protoss_Forge 677; Protoss_Templar_Archives 705; Protoss_Photon_Cannon 711; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 130; Protoss_Pylon 51; Protoss_Opening unknown; Protoss_Assimilator 104; Protoss_Gateway 83; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 281; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 224; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 412; Protoss_Gateway2 245; Protoss_Forge 632; Protoss_Templar_Archives 480; Protoss_Photon_Cannon 731; Protoss_Cybernetics_Core 155; 
Protoss_Pylon2 155; Protoss_Pylon 53; Protoss_Opening speedzeal; Protoss_Assimilator 108; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 318; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 201; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 492; Protoss_Gateway2 233; Protoss_Forge 708; Protoss_Templar_Archives 857; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 178; Protoss_Pylon 52; Protoss_Opening reaver_drop; Protoss_Assimilator 104; Protoss_Gateway 88; Protoss_Robotics_Support_Bay 330; Protoss_Expansion 416; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 253; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 561; Protoss_Gateway2 156; Protoss_Forge 690; Protoss_Templar_Archives 819; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 132; 
Protoss_Pylon2 150; Protoss_Pylon 54; Protoss_Opening fast_dt; Protoss_Assimilator 98; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 290; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 340; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 318; Protoss_Gateway2 320; Protoss_Forge 1056; Protoss_Templar_Archives 362; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 127; 
Protoss_Pylon2 138; Protoss_Pylon 47; Protoss_Opening nony; Protoss_Assimilator 98; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 250; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 276; Protoss_Fleet_Beacon 806; Protoss_Stargate 753; Protoss_Citadel_of_Adun 530; Protoss_Gateway2 314; Protoss_Forge 354; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 386; Protoss_Cybernetics_Core 127; 
Protoss_Pylon2 172; Protoss_Pylon 56; Protoss_Opening fast_dt; Protoss_Assimilator 111; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 402; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 409; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 263; Protoss_Gateway2 302; Protoss_Forge 492; Protoss_Templar_Archives 307; Protoss_Photon_Cannon 560; Protoss_Cybernetics_Core 151; 
Protoss_Pylon2 146; Protoss_Pylon 50; Protoss_Opening reaver_drop; Protoss_Assimilator 68; Protoss_Gateway 96; Protoss_Robotics_Support_Bay 267; Protoss_Expansion 390; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 182; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 529; Protoss_Gateway2 347; Protoss_Forge 613; Protoss_Templar_Archives 595; Protoss_Photon_Cannon 801; Protoss_Cybernetics_Core 140; 
Protoss_Pylon2 201; Protoss_Pylon 50; Protoss_Opening unknown; Protoss_Assimilator 104; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 407; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 293; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 178; Protoss_Gateway2 206; Protoss_Forge 653; Protoss_Templar_Archives 224; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 152; Protoss_Pylon 51; Protoss_Opening nony; Protoss_Assimilator 107; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 313; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 528; Protoss_Fleet_Beacon 620; Protoss_Stargate 570; Protoss_Citadel_of_Adun 221; Protoss_Gateway2 407; Protoss_Forge 346; Protoss_Templar_Archives 268; Protoss_Photon_Cannon 376; Protoss_Cybernetics_Core 136; 
Protoss_Pylon2 143; Protoss_Pylon 52; Protoss_Opening speedzeal; Protoss_Assimilator 102; Protoss_Gateway 87; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 387; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 191; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 426; Protoss_Gateway2 265; Protoss_Forge 428; Protoss_Templar_Archives 693; Protoss_Photon_Cannon 548; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 151; Protoss_Pylon 54; Protoss_Opening fast_dt; Protoss_Assimilator 187; Protoss_Gateway 78; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 375; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 507; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 252; Protoss_Gateway2 423; Protoss_Forge 115; Protoss_Templar_Archives 301; Protoss_Photon_Cannon 488; Protoss_Cybernetics_Core 209; 
Protoss_Pylon2 150; Protoss_Pylon 51; Protoss_Opening speedzeal; Protoss_Assimilator 96; Protoss_Gateway 80; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 477; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 253; Protoss_Fleet_Beacon 863; Protoss_Stargate 737; Protoss_Citadel_of_Adun 213; Protoss_Gateway2 233; Protoss_Forge 649; Protoss_Templar_Archives 395; Protoss_Photon_Cannon 692; Protoss_Cybernetics_Core 125; 
Protoss_Pylon2 162; Protoss_Pylon 57; Protoss_Opening fast_dt; Protoss_Assimilator 109; Protoss_Gateway 95; Protoss_Robotics_Support_Bay 718; Protoss_Expansion 378; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 326; Protoss_Fleet_Beacon 0; Protoss_Stargate 1073; Protoss_Citadel_of_Adun 206; Protoss_Gateway2 269; Protoss_Forge 402; Protoss_Templar_Archives 248; Protoss_Photon_Cannon 513; Protoss_Cybernetics_Core 145; 
Protoss_Pylon2 148; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 103; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 355; Protoss_Arbiter_Tribunal 889; Protoss_Robotics_Facility 239; Protoss_Fleet_Beacon 0; Protoss_Stargate 741; Protoss_Citadel_of_Adun 431; Protoss_Gateway2 256; Protoss_Forge 489; Protoss_Templar_Archives 812; Protoss_Photon_Cannon 519; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 154; Protoss_Pylon 50; Protoss_Opening fast_dt; Protoss_Assimilator 106; Protoss_Gateway 84; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 392; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 264; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 207; Protoss_Gateway2 250; Protoss_Forge 819; Protoss_Templar_Archives 260; Protoss_Photon_Cannon 863; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 153; Protoss_Pylon 53; Protoss_Opening nony; Protoss_Assimilator 109; Protoss_Gateway 85; Protoss_Robotics_Support_Bay 461; Protoss_Expansion 318; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 245; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 464; Protoss_Gateway2 330; Protoss_Forge 380; Protoss_Templar_Archives 775; Protoss_Photon_Cannon 474; Protoss_Cybernetics_Core 133; 
Protoss_Pylon2 142; Protoss_Pylon 50; Protoss_Opening ; Protoss_Assimilator 99; Protoss_Gateway 79; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 494; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 173; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 374; Protoss_Gateway2 239; Protoss_Forge 0; Protoss_Templar_Archives 602; Protoss_Photon_Cannon 0; Protoss_Cybernetics_Core 127; 
Protoss_Pylon2 150; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 99; Protoss_Gateway 82; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 368; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 262; Protoss_Fleet_Beacon 0; Protoss_Stargate 965; Protoss_Citadel_of_Adun 562; Protoss_Gateway2 230; Protoss_Forge 647; Protoss_Templar_Archives 867; Protoss_Photon_Cannon 739; Protoss_Cybernetics_Core 130; 
Protoss_Pylon2 150; Protoss_Pylon 50; Protoss_Opening nony; Protoss_Assimilator 103; Protoss_Gateway 81; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 371; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 236; Protoss_Fleet_Beacon 0; Protoss_Stargate 891; Protoss_Citadel_of_Adun 654; Protoss_Gateway2 269; Protoss_Forge 683; Protoss_Templar_Archives 899; Protoss_Photon_Cannon 766; Protoss_Cybernetics_Core 126; 
Protoss_Pylon2 152; Protoss_Pylon 52; Protoss_Opening nony; Protoss_Assimilator 112; Protoss_Gateway 92; Protoss_Robotics_Support_Bay 622; Protoss_Expansion 392; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 230; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 647; Protoss_Gateway2 251; Protoss_Forge 498; Protoss_Templar_Archives 0; Protoss_Photon_Cannon 541; Protoss_Cybernetics_Core 135; 
Protoss_Pylon2 149; Protoss_Pylon 52; Protoss_Opening templar; Protoss_Assimilator 105; Protoss_Gateway 94; Protoss_Robotics_Support_Bay 0; Protoss_Expansion 271; Protoss_Arbiter_Tribunal 0; Protoss_Robotics_Facility 220; Protoss_Fleet_Beacon 0; Protoss_Stargate 0; Protoss_Citadel_of_Adun 189; Protoss_Gateway2 313; Protoss_Forge 697; Protoss_Templar_Archives 766; Protoss_Photon_Cannon 750; Protoss_Cybernetics_Core 138; 
