Terran_Control_Tower 9845; Terran_Comsat_Station 5375; Terran_Barracks 2745; Terran_Expansion 13605; Terran_Refinery 2080; Terran_Barracks2 5530; Terran_Missile_Turret 8010; Terran_Supply_Depot 1470; Terran_Engineering_Bay 3280; Terran_Science_Facility 9265; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 7905; Terran_Opening Bio; Terran_Academy 4020; Terran_Bunker 36230; Terran_Factory 6420; 
Terran_Control_Tower 0; Terran_Comsat_Station 7730; Terran_Barracks 1615; Terran_Expansion 0; Terran_Refinery 5740; Terran_Barracks2 4790; Terran_Missile_Turret 0; Terran_Supply_Depot 1950; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 5875; Terran_Bunker 3335; Terran_Factory 0; 
Terran_Control_Tower 6900; Terran_Comsat_Station 7290; Terran_Barracks 2405; Terran_Expansion 13035; Terran_Refinery 3030; Terran_Barracks2 7615; Terran_Missile_Turret 9905; Terran_Supply_Depot 1445; Terran_Engineering_Bay 8890; Terran_Science_Facility 10805; Terran_Machine_Shop 10760; Terran_Armory 0; Terran_Starport 5715; Terran_Opening TwoFactory; Terran_Academy 5545; Terran_Bunker 15030; Terran_Factory 4295; 
Terran_Control_Tower 0; Terran_Comsat_Station 7535; Terran_Barracks 1560; Terran_Expansion 0; Terran_Refinery 5350; Terran_Barracks2 4590; Terran_Missile_Turret 13150; Terran_Supply_Depot 1885; Terran_Engineering_Bay 12155; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 6020; Terran_Bunker 0; Terran_Factory 15855; 
Terran_Control_Tower 13705; Terran_Comsat_Station 6535; Terran_Barracks 2025; Terran_Expansion 10710; Terran_Refinery 4355; Terran_Barracks2 2850; Terran_Missile_Turret 17495; Terran_Supply_Depot 1430; Terran_Engineering_Bay 5775; Terran_Science_Facility 12565; Terran_Machine_Shop 11915; Terran_Armory 0; Terran_Starport 11375; Terran_Opening Bio; Terran_Academy 5230; Terran_Bunker 4205; Terran_Factory 9455; 
Terran_Control_Tower 12765; Terran_Comsat_Station 7835; Terran_Barracks 2010; Terran_Expansion 18465; Terran_Refinery 4185; Terran_Barracks2 2730; Terran_Missile_Turret 12385; Terran_Supply_Depot 1415; Terran_Engineering_Bay 5225; Terran_Science_Facility 12720; Terran_Machine_Shop 15715; Terran_Armory 0; Terran_Starport 10415; Terran_Opening Bio; Terran_Academy 6485; Terran_Bunker 15310; Terran_Factory 8520; 
Terran_Control_Tower 13785; Terran_Comsat_Station 6715; Terran_Barracks 2015; Terran_Expansion 0; Terran_Refinery 3855; Terran_Barracks2 2685; Terran_Missile_Turret 11085; Terran_Supply_Depot 1425; Terran_Engineering_Bay 8720; Terran_Science_Facility 13600; Terran_Machine_Shop 6440; Terran_Armory 0; Terran_Starport 10005; Terran_Opening Bio; Terran_Academy 5405; Terran_Bunker 19065; Terran_Factory 5110; 
Terran_Control_Tower 16270; Terran_Comsat_Station 8940; Terran_Barracks 1450; Terran_Expansion 18895; Terran_Refinery 6840; Terran_Barracks2 2825; Terran_Missile_Turret 0; Terran_Supply_Depot 1970; Terran_Engineering_Bay 21025; Terran_Science_Facility 15900; Terran_Machine_Shop 12445; Terran_Armory 0; Terran_Starport 13915; Terran_Opening Bio; Terran_Academy 7620; Terran_Bunker 11550; Terran_Factory 10150; 
Terran_Control_Tower 6820; Terran_Comsat_Station 10315; Terran_Barracks 2200; Terran_Expansion 16710; Terran_Refinery 2835; Terran_Barracks2 7340; Terran_Missile_Turret 13505; Terran_Supply_Depot 1270; Terran_Engineering_Bay 11815; Terran_Science_Facility 12135; Terran_Machine_Shop 5775; Terran_Armory 0; Terran_Starport 5670; Terran_Opening FastDropship; Terran_Academy 8100; Terran_Bunker 10125; Terran_Factory 4395; 
Terran_Control_Tower 12150; Terran_Comsat_Station 7655; Terran_Barracks 2205; Terran_Expansion 13560; Terran_Refinery 4985; Terran_Barracks2 2840; Terran_Missile_Turret 11310; Terran_Supply_Depot 1330; Terran_Engineering_Bay 10330; Terran_Science_Facility 11120; Terran_Machine_Shop 13415; Terran_Armory 0; Terran_Starport 9530; Terran_Opening Bio; Terran_Academy 6290; Terran_Bunker 3815; Terran_Factory 8205; 
Terran_Control_Tower 7524; Terran_Comsat_Station 7398; Terran_Barracks 2720; Terran_Expansion 11142; Terran_Refinery 1986; Terran_Barracks2 7344; Terran_Missile_Turret 7778; Terran_Supply_Depot 1288; Terran_Engineering_Bay 3372; Terran_Science_Facility 7630; Terran_Machine_Shop 25980; Terran_Armory 0; Terran_Starport 6402; Terran_Opening FastDropship; Terran_Academy 5816; Terran_Bunker 14968; Terran_Factory 5044; 
Terran_Control_Tower 12394; Terran_Comsat_Station 6950; Terran_Barracks 2350; Terran_Expansion 4296; Terran_Refinery 5334; Terran_Barracks2 6030; Terran_Missile_Turret 9852; Terran_Supply_Depot 1268; Terran_Engineering_Bay 7932; Terran_Science_Facility 12418; Terran_Machine_Shop 13018; Terran_Armory 0; Terran_Starport 11190; Terran_Opening Bio; Terran_Academy 5606; Terran_Bunker 10084; Terran_Factory 9586; 
Terran_Control_Tower 7795; Terran_Comsat_Station 9275; Terran_Barracks 2435; Terran_Expansion 12075; Terran_Refinery 2740; Terran_Barracks2 8140; Terran_Missile_Turret 12220; Terran_Supply_Depot 1570; Terran_Engineering_Bay 9705; Terran_Science_Facility 13390; Terran_Machine_Shop 0; Terran_Armory 13415; Terran_Starport 5630; Terran_Opening FastDropship; Terran_Academy 7505; Terran_Bunker 0; Terran_Factory 4330; 
Terran_Control_Tower 10085; Terran_Comsat_Station 7125; Terran_Barracks 2370; Terran_Expansion 12845; Terran_Refinery 4095; Terran_Barracks2 2980; Terran_Missile_Turret 10790; Terran_Supply_Depot 1450; Terran_Engineering_Bay 9545; Terran_Science_Facility 10035; Terran_Machine_Shop 15560; Terran_Armory 0; Terran_Starport 8865; Terran_Opening Bio; Terran_Academy 5210; Terran_Bunker 14765; Terran_Factory 7425; 
Terran_Control_Tower 12855; Terran_Comsat_Station 5860; Terran_Barracks 1555; Terran_Expansion 14115; Terran_Refinery 3710; Terran_Barracks2 6185; Terran_Missile_Turret 0; Terran_Supply_Depot 1880; Terran_Engineering_Bay 6770; Terran_Science_Facility 12810; Terran_Machine_Shop 14385; Terran_Armory 0; Terran_Starport 11650; Terran_Opening Bio; Terran_Academy 4440; Terran_Bunker 17165; Terran_Factory 10280; 
Terran_Control_Tower 13285; Terran_Comsat_Station 8125; Terran_Barracks 1430; Terran_Expansion 4915; Terran_Refinery 6075; Terran_Barracks2 5335; Terran_Missile_Turret 13845; Terran_Supply_Depot 1880; Terran_Engineering_Bay 9130; Terran_Science_Facility 13305; Terran_Machine_Shop 10540; Terran_Armory 0; Terran_Starport 11930; Terran_Opening Bio; Terran_Academy 6675; Terran_Bunker 3970; Terran_Factory 9205; 
Terran_Control_Tower 12035; Terran_Comsat_Station 6185; Terran_Barracks 2045; Terran_Expansion 13075; Terran_Refinery 3280; Terran_Barracks2 2865; Terran_Missile_Turret 11625; Terran_Supply_Depot 1420; Terran_Engineering_Bay 8920; Terran_Science_Facility 12085; Terran_Machine_Shop 13165; Terran_Armory 0; Terran_Starport 9815; Terran_Opening Bio; Terran_Academy 4655; Terran_Bunker 11295; Terran_Factory 8360; 
Terran_Control_Tower 9640; Terran_Comsat_Station 6610; Terran_Barracks 2180; Terran_Expansion 12100; Terran_Refinery 4530; Terran_Barracks2 2835; Terran_Missile_Turret 13620; Terran_Supply_Depot 1410; Terran_Engineering_Bay 8055; Terran_Science_Facility 9865; Terran_Machine_Shop 12150; Terran_Armory 79115; Terran_Starport 8490; Terran_Opening Bio; Terran_Academy 5170; Terran_Bunker 9710; Terran_Factory 7000; 
Terran_Control_Tower 6455; Terran_Comsat_Station 6840; Terran_Barracks 2200; Terran_Expansion 13045; Terran_Refinery 2750; Terran_Barracks2 5030; Terran_Missile_Turret 10215; Terran_Supply_Depot 1425; Terran_Engineering_Bay 9165; Terran_Science_Facility 6695; Terran_Machine_Shop 14100; Terran_Armory 0; Terran_Starport 5300; Terran_Opening FastDropship; Terran_Academy 5450; Terran_Bunker 13940; Terran_Factory 4020; 
Terran_Control_Tower 7755; Terran_Comsat_Station 7065; Terran_Barracks 2135; Terran_Expansion 11375; Terran_Refinery 3745; Terran_Barracks2 2850; Terran_Missile_Turret 9115; Terran_Supply_Depot 1455; Terran_Engineering_Bay 7995; Terran_Science_Facility 10520; Terran_Machine_Shop 12610; Terran_Armory 0; Terran_Starport 6385; Terran_Opening Bio; Terran_Academy 5605; Terran_Bunker 0; Terran_Factory 5010; 
Terran_Control_Tower 14970; Terran_Comsat_Station 5795; Terran_Barracks 2185; Terran_Expansion 15605; Terran_Refinery 3815; Terran_Barracks2 2700; Terran_Missile_Turret 23830; Terran_Supply_Depot 1435; Terran_Engineering_Bay 9115; Terran_Science_Facility 18255; Terran_Machine_Shop 13395; Terran_Armory 0; Terran_Starport 13435; Terran_Opening Bio; Terran_Academy 4510; Terran_Bunker 19970; Terran_Factory 11630; 
Terran_Control_Tower 9990; Terran_Comsat_Station 20150; Terran_Barracks 1440; Terran_Expansion 17155; Terran_Refinery 2950; Terran_Barracks2 6965; Terran_Missile_Turret 16235; Terran_Supply_Depot 1805; Terran_Engineering_Bay 14245; Terran_Science_Facility 12915; Terran_Machine_Shop 5880; Terran_Armory 8705; Terran_Starport 8655; Terran_Opening TwoFactory; Terran_Academy 18805; Terran_Bunker 10945; Terran_Factory 4485; 
Terran_Control_Tower 8435; Terran_Comsat_Station 6630; Terran_Barracks 2100; Terran_Expansion 12190; Terran_Refinery 3945; Terran_Barracks2 2790; Terran_Missile_Turret 11350; Terran_Supply_Depot 1385; Terran_Engineering_Bay 8680; Terran_Science_Facility 8410; Terran_Machine_Shop 8100; Terran_Armory 0; Terran_Starport 7145; Terran_Opening Bio; Terran_Academy 4845; Terran_Bunker 10460; Terran_Factory 5785; 
Terran_Control_Tower 14180; Terran_Comsat_Station 6325; Terran_Barracks 2045; Terran_Expansion 8255; Terran_Refinery 4845; Terran_Barracks2 3230; Terran_Missile_Turret 14465; Terran_Supply_Depot 1465; Terran_Engineering_Bay 12645; Terran_Science_Facility 20110; Terran_Machine_Shop 21045; Terran_Armory 0; Terran_Starport 13005; Terran_Opening Bio; Terran_Academy 4960; Terran_Bunker 13915; Terran_Factory 10960; 
Terran_Control_Tower 11875; Terran_Comsat_Station 11055; Terran_Barracks 2140; Terran_Expansion 0; Terran_Refinery 2515; Terran_Barracks2 9515; Terran_Missile_Turret 9340; Terran_Supply_Depot 1490; Terran_Engineering_Bay 7970; Terran_Science_Facility 11945; Terran_Machine_Shop 8360; Terran_Armory 0; Terran_Starport 5385; Terran_Opening FastDropship; Terran_Academy 9580; Terran_Bunker 8680; Terran_Factory 4045; 
Terran_Control_Tower 6455; Terran_Comsat_Station 6840; Terran_Barracks 2200; Terran_Expansion 13045; Terran_Refinery 2750; Terran_Barracks2 5030; Terran_Missile_Turret 10215; Terran_Supply_Depot 1425; Terran_Engineering_Bay 9165; Terran_Science_Facility 6695; Terran_Machine_Shop 14100; Terran_Armory 0; Terran_Starport 5300; Terran_Opening FastDropship; Terran_Academy 5450; Terran_Bunker 13940; Terran_Factory 4020; 
Terran_Control_Tower 14415; Terran_Comsat_Station 7495; Terran_Barracks 2190; Terran_Expansion 4715; Terran_Refinery 5490; Terran_Barracks2 2915; Terran_Missile_Turret 10005; Terran_Supply_Depot 1435; Terran_Engineering_Bay 5800; Terran_Science_Facility 15520; Terran_Machine_Shop 13005; Terran_Armory 0; Terran_Starport 13075; Terran_Opening Bio; Terran_Academy 6160; Terran_Bunker 9595; Terran_Factory 11540; 
Terran_Control_Tower 7690; Terran_Comsat_Station 6885; Terran_Barracks 2190; Terran_Expansion 15420; Terran_Refinery 3920; Terran_Barracks2 2860; Terran_Missile_Turret 8980; Terran_Supply_Depot 1425; Terran_Engineering_Bay 7855; Terran_Science_Facility 10560; Terran_Machine_Shop 15845; Terran_Armory 0; Terran_Starport 6485; Terran_Opening Bio; Terran_Academy 5405; Terran_Bunker 10725; Terran_Factory 5155; 
Terran_Control_Tower 10795; Terran_Comsat_Station 8285; Terran_Barracks 2165; Terran_Expansion 4645; Terran_Refinery 5735; Terran_Barracks2 2815; Terran_Missile_Turret 0; Terran_Supply_Depot 1400; Terran_Engineering_Bay 0; Terran_Science_Facility 9875; Terran_Machine_Shop 8635; Terran_Armory 0; Terran_Starport 8675; Terran_Opening Bio; Terran_Academy 6430; Terran_Bunker 10130; Terran_Factory 7090; 
Terran_Control_Tower 16822; Terran_Comsat_Station 7574; Terran_Barracks 1664; Terran_Expansion 5276; Terran_Refinery 5684; Terran_Barracks2 4322; Terran_Missile_Turret 9844; Terran_Supply_Depot 2336; Terran_Engineering_Bay 8150; Terran_Science_Facility 16806; Terran_Machine_Shop 13746; Terran_Armory 0; Terran_Starport 15516; Terran_Opening Bio; Terran_Academy 5974; Terran_Bunker 11186; Terran_Factory 12116; 
Terran_Control_Tower 0; Terran_Comsat_Station 5955; Terran_Barracks 2185; Terran_Expansion 0; Terran_Refinery 3840; Terran_Barracks2 2850; Terran_Missile_Turret 10145; Terran_Supply_Depot 1450; Terran_Engineering_Bay 8910; Terran_Science_Facility 0; Terran_Machine_Shop 11625; Terran_Armory 0; Terran_Starport 11220; Terran_Opening Bio; Terran_Academy 4585; Terran_Bunker 0; Terran_Factory 9920; 
Terran_Control_Tower 12275; Terran_Comsat_Station 7415; Terran_Barracks 2125; Terran_Expansion 4570; Terran_Refinery 5690; Terran_Barracks2 2805; Terran_Missile_Turret 11560; Terran_Supply_Depot 1385; Terran_Engineering_Bay 9710; Terran_Science_Facility 12255; Terran_Machine_Shop 10005; Terran_Armory 0; Terran_Starport 11010; Terran_Opening Bio; Terran_Academy 5980; Terran_Bunker 11900; Terran_Factory 8560; 
Terran_Control_Tower 17140; Terran_Comsat_Station 7820; Terran_Barracks 2045; Terran_Expansion 5145; Terran_Refinery 5775; Terran_Barracks2 2920; Terran_Missile_Turret 12315; Terran_Supply_Depot 1410; Terran_Engineering_Bay 11175; Terran_Science_Facility 16900; Terran_Machine_Shop 8785; Terran_Armory 0; Terran_Starport 15550; Terran_Opening Bio; Terran_Academy 6550; Terran_Bunker 11015; Terran_Factory 7385; 
Terran_Control_Tower 16015; Terran_Comsat_Station 7800; Terran_Barracks 2130; Terran_Expansion 4795; Terran_Refinery 5635; Terran_Barracks2 2805; Terran_Missile_Turret 20150; Terran_Supply_Depot 1400; Terran_Engineering_Bay 5865; Terran_Science_Facility 15240; Terran_Machine_Shop 11500; Terran_Armory 0; Terran_Starport 11180; Terran_Opening Bio; Terran_Academy 6265; Terran_Bunker 11775; Terran_Factory 9670; 
Terran_Control_Tower 9865; Terran_Comsat_Station 8010; Terran_Barracks 2160; Terran_Expansion 4910; Terran_Refinery 3885; Terran_Barracks2 2805; Terran_Missile_Turret 10420; Terran_Supply_Depot 1400; Terran_Engineering_Bay 9135; Terran_Science_Facility 9570; Terran_Machine_Shop 8930; Terran_Armory 0; Terran_Starport 8360; Terran_Opening Bio; Terran_Academy 6610; Terran_Bunker 11940; Terran_Factory 6525; 
Terran_Control_Tower 8440; Terran_Comsat_Station 6910; Terran_Barracks 2135; Terran_Expansion 12990; Terran_Refinery 4085; Terran_Barracks2 2880; Terran_Missile_Turret 14400; Terran_Supply_Depot 1415; Terran_Engineering_Bay 6620; Terran_Science_Facility 13270; Terran_Machine_Shop 10245; Terran_Armory 0; Terran_Starport 7315; Terran_Opening Bio; Terran_Academy 5450; Terran_Bunker 10305; Terran_Factory 5885; 
Terran_Control_Tower 13285; Terran_Comsat_Station 7580; Terran_Barracks 2145; Terran_Expansion 5100; Terran_Refinery 3340; Terran_Barracks2 2840; Terran_Missile_Turret 12615; Terran_Supply_Depot 1410; Terran_Engineering_Bay 5985; Terran_Science_Facility 13270; Terran_Machine_Shop 12800; Terran_Armory 0; Terran_Starport 11980; Terran_Opening Bio; Terran_Academy 6210; Terran_Bunker 12305; Terran_Factory 10575; 
Terran_Control_Tower 11555; Terran_Comsat_Station 5815; Terran_Barracks 2205; Terran_Expansion 14275; Terran_Refinery 4745; Terran_Barracks2 2885; Terran_Missile_Turret 11175; Terran_Supply_Depot 1445; Terran_Engineering_Bay 10105; Terran_Science_Facility 11430; Terran_Machine_Shop 10010; Terran_Armory 0; Terran_Starport 10250; Terran_Opening Bio; Terran_Academy 4450; Terran_Bunker 8555; Terran_Factory 8040; 
Terran_Control_Tower 12265; Terran_Comsat_Station 7615; Terran_Barracks 2220; Terran_Expansion 4700; Terran_Refinery 4990; Terran_Barracks2 2885; Terran_Missile_Turret 8485; Terran_Supply_Depot 1435; Terran_Engineering_Bay 7520; Terran_Science_Facility 13380; Terran_Machine_Shop 10470; Terran_Armory 0; Terran_Starport 10125; Terran_Opening Bio; Terran_Academy 6305; Terran_Bunker 10735; Terran_Factory 6210; 
Terran_Control_Tower 11730; Terran_Comsat_Station 7208; Terran_Barracks 2040; Terran_Expansion 4714; Terran_Refinery 5792; Terran_Barracks2 2802; Terran_Missile_Turret 0; Terran_Supply_Depot 1450; Terran_Engineering_Bay 6450; Terran_Science_Facility 11754; Terran_Machine_Shop 11026; Terran_Armory 0; Terran_Starport 10338; Terran_Opening Bio; Terran_Academy 5916; Terran_Bunker 10940; Terran_Factory 8560; 
Terran_Control_Tower 12155; Terran_Comsat_Station 7440; Terran_Barracks 2245; Terran_Expansion 5095; Terran_Refinery 5360; Terran_Barracks2 2800; Terran_Missile_Turret 9550; Terran_Supply_Depot 1440; Terran_Engineering_Bay 5665; Terran_Science_Facility 12135; Terran_Machine_Shop 10920; Terran_Armory 0; Terran_Starport 10785; Terran_Opening Bio; Terran_Academy 6155; Terran_Bunker 8445; Terran_Factory 9460; 
Terran_Control_Tower 10465; Terran_Comsat_Station 7465; Terran_Barracks 2240; Terran_Expansion 4695; Terran_Refinery 4950; Terran_Barracks2 2840; Terran_Missile_Turret 10630; Terran_Supply_Depot 1445; Terran_Engineering_Bay 7640; Terran_Science_Facility 10445; Terran_Machine_Shop 8245; Terran_Armory 34315; Terran_Starport 9315; Terran_Opening Bio; Terran_Academy 5830; Terran_Bunker 11775; Terran_Factory 6770; 
Terran_Control_Tower 15180; Terran_Comsat_Station 7060; Terran_Barracks 2155; Terran_Expansion 11485; Terran_Refinery 3775; Terran_Barracks2 2835; Terran_Missile_Turret 10280; Terran_Supply_Depot 1395; Terran_Engineering_Bay 4385; Terran_Science_Facility 14910; Terran_Machine_Shop 13940; Terran_Armory 0; Terran_Starport 13500; Terran_Opening Bio; Terran_Academy 5570; Terran_Bunker 0; Terran_Factory 12015; 
Terran_Control_Tower 12190; Terran_Comsat_Station 7410; Terran_Barracks 2140; Terran_Expansion 4670; Terran_Refinery 5515; Terran_Barracks2 2825; Terran_Missile_Turret 9990; Terran_Supply_Depot 1420; Terran_Engineering_Bay 8855; Terran_Science_Facility 12180; Terran_Machine_Shop 10755; Terran_Armory 0; Terran_Starport 11010; Terran_Opening Bio; Terran_Academy 6100; Terran_Bunker 9775; Terran_Factory 8745; 
Terran_Control_Tower 12740; Terran_Comsat_Station 7855; Terran_Barracks 2220; Terran_Expansion 4710; Terran_Refinery 5980; Terran_Barracks2 2840; Terran_Missile_Turret 10600; Terran_Supply_Depot 1455; Terran_Engineering_Bay 8295; Terran_Science_Facility 12715; Terran_Machine_Shop 11410; Terran_Armory 0; Terran_Starport 11380; Terran_Opening Bio; Terran_Academy 6470; Terran_Bunker 10915; Terran_Factory 10080; 
Terran_Control_Tower 13930; Terran_Comsat_Station 6375; Terran_Barracks 2110; Terran_Expansion 19785; Terran_Refinery 3705; Terran_Barracks2 2760; Terran_Missile_Turret 10070; Terran_Supply_Depot 1430; Terran_Engineering_Bay 6255; Terran_Science_Facility 14050; Terran_Machine_Shop 9715; Terran_Armory 0; Terran_Starport 12455; Terran_Opening Bio; Terran_Academy 4825; Terran_Bunker 7475; Terran_Factory 8150; 
Terran_Control_Tower 12755; Terran_Comsat_Station 7970; Terran_Barracks 2250; Terran_Expansion 13625; Terran_Refinery 5670; Terran_Barracks2 2810; Terran_Missile_Turret 8935; Terran_Supply_Depot 1390; Terran_Engineering_Bay 7900; Terran_Science_Facility 12730; Terran_Machine_Shop 8280; Terran_Armory 0; Terran_Starport 11245; Terran_Opening Bio; Terran_Academy 5940; Terran_Bunker 15010; Terran_Factory 6975; 
Terran_Control_Tower 12740; Terran_Comsat_Station 7855; Terran_Barracks 2220; Terran_Expansion 4710; Terran_Refinery 5980; Terran_Barracks2 2840; Terran_Missile_Turret 10600; Terran_Supply_Depot 1455; Terran_Engineering_Bay 8295; Terran_Science_Facility 12715; Terran_Machine_Shop 11410; Terran_Armory 0; Terran_Starport 11380; Terran_Opening Bio; Terran_Academy 6470; Terran_Bunker 10915; Terran_Factory 10080; 
Terran_Control_Tower 12155; Terran_Comsat_Station 7440; Terran_Barracks 2245; Terran_Expansion 5095; Terran_Refinery 5360; Terran_Barracks2 2800; Terran_Missile_Turret 9550; Terran_Supply_Depot 1440; Terran_Engineering_Bay 5665; Terran_Science_Facility 12135; Terran_Machine_Shop 10920; Terran_Armory 0; Terran_Starport 10785; Terran_Opening Bio; Terran_Academy 6155; Terran_Bunker 8445; Terran_Factory 9460; 
Terran_Control_Tower 10485; Terran_Comsat_Station 7330; Terran_Barracks 1985; Terran_Expansion 13795; Terran_Refinery 5275; Terran_Barracks2 2705; Terran_Missile_Turret 10955; Terran_Supply_Depot 1390; Terran_Engineering_Bay 9670; Terran_Science_Facility 11210; Terran_Machine_Shop 13700; Terran_Armory 0; Terran_Starport 9270; Terran_Opening Bio; Terran_Academy 5620; Terran_Bunker 3350; Terran_Factory 7930; 
Terran_Control_Tower 0; Terran_Comsat_Station 5580; Terran_Barracks 1955; Terran_Expansion 7230; Terran_Refinery 3750; Terran_Barracks2 2820; Terran_Missile_Turret 0; Terran_Supply_Depot 1400; Terran_Engineering_Bay 7685; Terran_Science_Facility 0; Terran_Machine_Shop 9985; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 4150; Terran_Bunker 9215; Terran_Factory 8315; 
Terran_Control_Tower 13670; Terran_Comsat_Station 5520; Terran_Barracks 2130; Terran_Expansion 0; Terran_Refinery 3010; Terran_Barracks2 4750; Terran_Missile_Turret 11575; Terran_Supply_Depot 1435; Terran_Engineering_Bay 2570; Terran_Science_Facility 13280; Terran_Machine_Shop 8750; Terran_Armory 0; Terran_Starport 10915; Terran_Opening Bio; Terran_Academy 3790; Terran_Bunker 15970; Terran_Factory 7475; 
Terran_Control_Tower 7455; Terran_Comsat_Station 7170; Terran_Barracks 2135; Terran_Expansion 15600; Terran_Refinery 2555; Terran_Barracks2 6780; Terran_Missile_Turret 9950; Terran_Supply_Depot 1395; Terran_Engineering_Bay 8205; Terran_Science_Facility 6885; Terran_Machine_Shop 11230; Terran_Armory 0; Terran_Starport 5410; Terran_Opening TwoFactory; Terran_Academy 5900; Terran_Bunker 8910; Terran_Factory 4090; 
Terran_Control_Tower 12730; Terran_Comsat_Station 7355; Terran_Barracks 2045; Terran_Expansion 4980; Terran_Refinery 5570; Terran_Barracks2 2910; Terran_Missile_Turret 10510; Terran_Supply_Depot 1420; Terran_Engineering_Bay 7590; Terran_Science_Facility 12770; Terran_Machine_Shop 11365; Terran_Armory 16855; Terran_Starport 11560; Terran_Opening Bio; Terran_Academy 5985; Terran_Bunker 10470; Terran_Factory 9725; 
Terran_Control_Tower 7390; Terran_Comsat_Station 6775; Terran_Barracks 2165; Terran_Expansion 8155; Terran_Refinery 3645; Terran_Barracks2 2775; Terran_Missile_Turret 15735; Terran_Supply_Depot 1430; Terran_Engineering_Bay 14640; Terran_Science_Facility 7365; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 6220; Terran_Opening Bio; Terran_Academy 4075; Terran_Bunker 14830; Terran_Factory 4900; 
Terran_Control_Tower 13980; Terran_Comsat_Station 9095; Terran_Barracks 2165; Terran_Expansion 18055; Terran_Refinery 2510; Terran_Barracks2 8640; Terran_Missile_Turret 9125; Terran_Supply_Depot 1450; Terran_Engineering_Bay 8095; Terran_Science_Facility 12870; Terran_Machine_Shop 12810; Terran_Armory 0; Terran_Starport 5085; Terran_Opening FastDropship; Terran_Academy 7780; Terran_Bunker 14350; Terran_Factory 3805; 
Terran_Control_Tower 15825; Terran_Comsat_Station 7750; Terran_Barracks 2075; Terran_Expansion 5025; Terran_Refinery 5670; Terran_Barracks2 2865; Terran_Missile_Turret 11685; Terran_Supply_Depot 1460; Terran_Engineering_Bay 10655; Terran_Science_Facility 15840; Terran_Machine_Shop 9545; Terran_Armory 0; Terran_Starport 14435; Terran_Opening Bio; Terran_Academy 6240; Terran_Bunker 12455; Terran_Factory 8260; 
Terran_Control_Tower 10440; Terran_Comsat_Station 6545; Terran_Barracks 2020; Terran_Expansion 15610; Terran_Refinery 4345; Terran_Barracks2 2845; Terran_Missile_Turret 19815; Terran_Supply_Depot 1265; Terran_Engineering_Bay 17725; Terran_Science_Facility 10405; Terran_Machine_Shop 8890; Terran_Armory 0; Terran_Starport 8925; Terran_Opening Bio; Terran_Academy 5290; Terran_Bunker 9750; Terran_Factory 7470; 
Terran_Control_Tower 9950; Terran_Comsat_Station 6094; Terran_Barracks 2162; Terran_Expansion 4444; Terran_Refinery 2906; Terran_Barracks2 5378; Terran_Missile_Turret 9188; Terran_Supply_Depot 1442; Terran_Engineering_Bay 8146; Terran_Science_Facility 9932; Terran_Machine_Shop 13710; Terran_Armory 0; Terran_Starport 7998; Terran_Opening Bio; Terran_Academy 4774; Terran_Bunker 0; Terran_Factory 6650; 
Terran_Control_Tower 12105; Terran_Comsat_Station 7230; Terran_Barracks 2175; Terran_Expansion 5190; Terran_Refinery 5610; Terran_Barracks2 2620; Terran_Missile_Turret 9435; Terran_Supply_Depot 1415; Terran_Engineering_Bay 8440; Terran_Science_Facility 11545; Terran_Machine_Shop 12835; Terran_Armory 0; Terran_Starport 10255; Terran_Opening Bio; Terran_Academy 5880; Terran_Bunker 0; Terran_Factory 7375; 
Terran_Control_Tower 11310; Terran_Comsat_Station 7370; Terran_Barracks 1985; Terran_Expansion 5625; Terran_Refinery 5775; Terran_Barracks2 2690; Terran_Missile_Turret 10820; Terran_Supply_Depot 1415; Terran_Engineering_Bay 8670; Terran_Science_Facility 11855; Terran_Machine_Shop 10530; Terran_Armory 0; Terran_Starport 9585; Terran_Opening Bio; Terran_Academy 6035; Terran_Bunker 11595; Terran_Factory 8250; 
Terran_Control_Tower 13280; Terran_Comsat_Station 7655; Terran_Barracks 2030; Terran_Expansion 5480; Terran_Refinery 3945; Terran_Barracks2 2885; Terran_Missile_Turret 10090; Terran_Supply_Depot 1410; Terran_Engineering_Bay 8630; Terran_Science_Facility 14170; Terran_Machine_Shop 9675; Terran_Armory 0; Terran_Starport 12055; Terran_Opening Bio; Terran_Academy 6150; Terran_Bunker 9085; Terran_Factory 8250; 
Terran_Control_Tower 0; Terran_Comsat_Station 0; Terran_Barracks 1440; Terran_Expansion 0; Terran_Refinery 2865; Terran_Barracks2 3370; Terran_Missile_Turret 0; Terran_Supply_Depot 2110; Terran_Engineering_Bay 0; Terran_Science_Facility 0; Terran_Machine_Shop 0; Terran_Armory 0; Terran_Starport 0; Terran_Opening Bio; Terran_Academy 0; Terran_Bunker 0; Terran_Factory 0; 
