Terran_Control_Tower 622; Terran_Comsat_Station 666; Terran_Barracks 83; Terran_Expansion 376; Terran_Refinery 116; Terran_Barracks2 510; Terran_Missile_Turret 436; Terran_Supply_Depot 58; Terran_Engineering_Bay 300; Terran_Science_Facility -1; Terran_Machine_Shop 228; Terran_Armory -1; Terran_Starport 548; Terran_Opening ; Terran_Academy 590; Terran_Bunker 258; Terran_Factory 168; 
Terran_Control_Tower -1; Terran_Comsat_Station 427; Terran_Barracks 84; Terran_Expansion 311; Terran_Refinery 102; Terran_Barracks2 223; Terran_Missile_Turret 361; Terran_Supply_Depot 57; Terran_Engineering_Bay 320; Terran_Science_Facility 0; Terran_Machine_Shop 232; Terran_Armory 662; Terran_Starport 0; Terran_Opening ; Terran_Academy 357; Terran_Bunker -1; Terran_Factory 178; 
Terran_Control_Tower 878; Terran_Comsat_Station 423; Terran_Barracks 89; Terran_Expansion 221; Terran_Refinery 99; Terran_Barracks2 686; Terran_Missile_Turret 329; Terran_Supply_Depot 59; Terran_Engineering_Bay 285; Terran_Science_Facility 759; Terran_Machine_Shop 208; Terran_Armory 670; Terran_Starport 708; Terran_Opening ; Terran_Academy 360; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 414; Terran_Refinery 102; Terran_Barracks2 212; Terran_Missile_Turret 466; Terran_Supply_Depot 58; Terran_Engineering_Bay 327; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 414; Terran_Refinery 102; Terran_Barracks2 212; Terran_Missile_Turret 466; Terran_Supply_Depot 58; Terran_Engineering_Bay 327; Terran_Science_Facility -1; Terran_Machine_Shop 209; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 878; Terran_Comsat_Station 423; Terran_Barracks 89; Terran_Expansion 221; Terran_Refinery 99; Terran_Barracks2 686; Terran_Missile_Turret 329; Terran_Supply_Depot 59; Terran_Engineering_Bay 285; Terran_Science_Facility 759; Terran_Machine_Shop 208; Terran_Armory 670; Terran_Starport 708; Terran_Opening ; Terran_Academy 360; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower -1; Terran_Comsat_Station 629; Terran_Barracks 90; Terran_Expansion 407; Terran_Refinery 105; Terran_Barracks2 162; Terran_Missile_Turret 465; Terran_Supply_Depot 58; Terran_Engineering_Bay 411; Terran_Science_Facility -1; Terran_Machine_Shop 220; Terran_Armory 633; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 566; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 403; Terran_Comsat_Station 585; Terran_Barracks 94; Terran_Expansion 472; Terran_Refinery 107; Terran_Barracks2 371; Terran_Missile_Turret 369; Terran_Supply_Depot 62; Terran_Engineering_Bay 316; Terran_Science_Facility -1; Terran_Machine_Shop 230; Terran_Armory -1; Terran_Starport 344; Terran_Opening two_facto; Terran_Academy 509; Terran_Bunker 491; Terran_Factory 177; 
Terran_Control_Tower 865; Terran_Comsat_Station 0; Terran_Barracks 95; Terran_Expansion 407; Terran_Refinery 111; Terran_Barracks2 215; Terran_Missile_Turret 336; Terran_Supply_Depot 61; Terran_Engineering_Bay 286; Terran_Science_Facility 0; Terran_Machine_Shop 218; Terran_Armory 984; Terran_Starport 791; Terran_Opening two_facto; Terran_Academy 0; Terran_Bunker 507; Terran_Factory 165; 
Terran_Control_Tower 727; Terran_Comsat_Station 859; Terran_Barracks 86; Terran_Expansion 475; Terran_Refinery 106; Terran_Barracks2 142; Terran_Missile_Turret 408; Terran_Supply_Depot 52; Terran_Engineering_Bay 364; Terran_Science_Facility 0; Terran_Machine_Shop 222; Terran_Armory 0; Terran_Starport 662; Terran_Opening two_facto; Terran_Academy 780; Terran_Bunker -1; Terran_Factory 167; 
Terran_Control_Tower 936; Terran_Comsat_Station 752; Terran_Barracks 89; Terran_Expansion 733; Terran_Refinery 111; Terran_Barracks2 442; Terran_Missile_Turret 400; Terran_Supply_Depot 61; Terran_Engineering_Bay 352; Terran_Science_Facility -1; Terran_Machine_Shop 221; Terran_Armory -1; Terran_Starport 886; Terran_Opening two_facto; Terran_Academy 690; Terran_Bunker 358; Terran_Factory 166; 
Terran_Control_Tower 509; Terran_Comsat_Station 677; Terran_Barracks 85; Terran_Expansion 382; Terran_Refinery 103; Terran_Barracks2 149; Terran_Missile_Turret 431; Terran_Supply_Depot 56; Terran_Engineering_Bay 313; Terran_Science_Facility 0; Terran_Machine_Shop 213; Terran_Armory 756; Terran_Starport 460; Terran_Opening two_facto; Terran_Academy 613; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 0; Terran_Comsat_Station 971; Terran_Barracks 91; Terran_Expansion 419; Terran_Refinery 114; Terran_Barracks2 145; Terran_Missile_Turret 390; Terran_Supply_Depot 59; Terran_Engineering_Bay 333; Terran_Science_Facility -1; Terran_Machine_Shop 219; Terran_Armory 824; Terran_Starport 609; Terran_Opening two_facto; Terran_Academy 873; Terran_Bunker -1; Terran_Factory 165; 
Terran_Control_Tower 0; Terran_Comsat_Station 641; Terran_Barracks 94; Terran_Expansion 385; Terran_Refinery 132; Terran_Barracks2 381; Terran_Missile_Turret 366; Terran_Supply_Depot 60; Terran_Engineering_Bay 312; Terran_Science_Facility 0; Terran_Machine_Shop 242; Terran_Armory 0; Terran_Starport 0; Terran_Opening two_facto; Terran_Academy 564; Terran_Bunker -1; Terran_Factory 190; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion 15; Terran_Refinery 113; Terran_Barracks2 196; Terran_Missile_Turret -1; Terran_Supply_Depot 65; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 221; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 89; Terran_Expansion -1; Terran_Refinery 103; Terran_Barracks2 204; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 210; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station 821; Terran_Barracks 88; Terran_Expansion 325; Terran_Refinery 98; Terran_Barracks2 -1; Terran_Missile_Turret 405; Terran_Supply_Depot 52; Terran_Engineering_Bay 361; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 543; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 692; Terran_Bunker -1; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 88; Terran_Expansion 346; Terran_Refinery 105; Terran_Barracks2 -1; Terran_Missile_Turret 350; Terran_Supply_Depot 58; Terran_Engineering_Bay 292; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory -1; Terran_Starport -1; Terran_Opening vultures; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station 818; Terran_Barracks 89; Terran_Expansion 267; Terran_Refinery 98; Terran_Barracks2 -1; Terran_Missile_Turret 361; Terran_Supply_Depot 60; Terran_Engineering_Bay 312; Terran_Science_Facility 0; Terran_Machine_Shop 200; Terran_Armory 760; Terran_Starport 0; Terran_Opening ; Terran_Academy 736; Terran_Bunker -1; Terran_Factory 148; 
Terran_Control_Tower 946; Terran_Comsat_Station 506; Terran_Barracks 88; Terran_Expansion 328; Terran_Refinery 97; Terran_Barracks2 290; Terran_Missile_Turret 387; Terran_Supply_Depot 60; Terran_Engineering_Bay 340; Terran_Science_Facility 946; Terran_Machine_Shop 203; Terran_Armory 509; Terran_Starport 891; Terran_Opening ; Terran_Academy 435; Terran_Bunker 287; Terran_Factory 149; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 61; Terran_Expansion 352; Terran_Refinery 204; Terran_Barracks2 -1; Terran_Missile_Turret 463; Terran_Supply_Depot 79; Terran_Engineering_Bay 377; Terran_Science_Facility -1; Terran_Machine_Shop 313; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker 145; Terran_Factory 260; 
Terran_Control_Tower -1; Terran_Comsat_Station 520; Terran_Barracks 90; Terran_Expansion 298; Terran_Refinery 94; Terran_Barracks2 98; Terran_Missile_Turret 397; Terran_Supply_Depot 51; Terran_Engineering_Bay 353; Terran_Science_Facility -1; Terran_Machine_Shop 208; Terran_Armory -1; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 461; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 427; Terran_Comsat_Station 481; Terran_Barracks 90; Terran_Expansion 534; Terran_Refinery 107; Terran_Barracks2 598; Terran_Missile_Turret 422; Terran_Supply_Depot 60; Terran_Engineering_Bay 339; Terran_Science_Facility -1; Terran_Machine_Shop 302; Terran_Armory 918; Terran_Starport 363; Terran_Opening air; Terran_Academy 421; Terran_Bunker 176; Terran_Factory 248; 
Terran_Control_Tower -1; Terran_Comsat_Station 686; Terran_Barracks 91; Terran_Expansion 413; Terran_Refinery 100; Terran_Barracks2 245; Terran_Missile_Turret 310; Terran_Supply_Depot 60; Terran_Engineering_Bay 265; Terran_Science_Facility -1; Terran_Machine_Shop 220; Terran_Armory -1; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 603; Terran_Bunker -1; Terran_Factory 166; 
Terran_Control_Tower -1; Terran_Comsat_Station 472; Terran_Barracks 87; Terran_Expansion 335; Terran_Refinery 102; Terran_Barracks2 340; Terran_Missile_Turret 371; Terran_Supply_Depot 56; Terran_Engineering_Bay 329; Terran_Science_Facility -1; Terran_Machine_Shop 215; Terran_Armory 782; Terran_Starport -1; Terran_Opening ; Terran_Academy 393; Terran_Bunker 198; Terran_Factory 161; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 88; Terran_Expansion -1; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 726; Terran_Comsat_Station 456; Terran_Barracks 88; Terran_Expansion 291; Terran_Refinery 96; Terran_Barracks2 836; Terran_Missile_Turret 539; Terran_Supply_Depot 55; Terran_Engineering_Bay 480; Terran_Science_Facility 679; Terran_Machine_Shop 201; Terran_Armory 424; Terran_Starport 622; Terran_Opening vultures; Terran_Academy 381; Terran_Bunker -1; Terran_Factory 148; 
Terran_Control_Tower 376; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion 286; Terran_Refinery 103; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 61; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 204; Terran_Armory -1; Terran_Starport 322; Terran_Opening vultures; Terran_Academy 390; Terran_Bunker -1; Terran_Factory 151; 
Terran_Control_Tower 795; Terran_Comsat_Station 486; Terran_Barracks 91; Terran_Expansion 389; Terran_Refinery 109; Terran_Barracks2 333; Terran_Missile_Turret 555; Terran_Supply_Depot 60; Terran_Engineering_Bay 491; Terran_Science_Facility -1; Terran_Machine_Shop 214; Terran_Armory 687; Terran_Starport 736; Terran_Opening two_facto; Terran_Academy 416; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower -1; Terran_Comsat_Station 458; Terran_Barracks 86; Terran_Expansion 311; Terran_Refinery 103; Terran_Barracks2 382; Terran_Missile_Turret 430; Terran_Supply_Depot 57; Terran_Engineering_Bay 381; Terran_Science_Facility -1; Terran_Machine_Shop 225; Terran_Armory 540; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 397; Terran_Bunker 175; Terran_Factory 152; 
Terran_Control_Tower -1; Terran_Comsat_Station 579; Terran_Barracks 90; Terran_Expansion 279; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret 455; Terran_Supply_Depot 60; Terran_Engineering_Bay 392; Terran_Science_Facility 853; Terran_Machine_Shop 207; Terran_Armory 582; Terran_Starport 765; Terran_Opening vultures; Terran_Academy 521; Terran_Bunker 308; Terran_Factory 155; 
Terran_Control_Tower 0; Terran_Comsat_Station 868; Terran_Barracks 89; Terran_Expansion 297; Terran_Refinery 107; Terran_Barracks2 330; Terran_Missile_Turret 417; Terran_Supply_Depot 59; Terran_Engineering_Bay 375; Terran_Science_Facility 0; Terran_Machine_Shop 241; Terran_Armory 869; Terran_Starport 0; Terran_Opening ; Terran_Academy 803; Terran_Bunker 141; Terran_Factory 175; 
Terran_Control_Tower -1; Terran_Comsat_Station 551; Terran_Barracks 98; Terran_Expansion 597; Terran_Refinery 409; Terran_Barracks2 213; Terran_Missile_Turret 560; Terran_Supply_Depot 61; Terran_Engineering_Bay 519; Terran_Science_Facility -1; Terran_Machine_Shop 533; Terran_Armory 904; Terran_Starport 0; Terran_Opening ; Terran_Academy 496; Terran_Bunker 151; Terran_Factory 471; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 86; Terran_Expansion 218; Terran_Refinery 102; Terran_Barracks2 282; Terran_Missile_Turret 588; Terran_Supply_Depot 59; Terran_Engineering_Bay 545; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 789; Terran_Starport 277; Terran_Opening air; Terran_Academy 785; Terran_Bunker 299; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 96; Terran_Expansion -1; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 403; Terran_Supply_Depot 57; Terran_Engineering_Bay 357; Terran_Science_Facility -1; Terran_Machine_Shop 203; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 151; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 88; Terran_Expansion 507; Terran_Refinery 98; Terran_Barracks2 230; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 200; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 148; 
Terran_Control_Tower 625; Terran_Comsat_Station 317; Terran_Barracks 103; Terran_Expansion 222; Terran_Refinery 106; Terran_Barracks2 238; Terran_Missile_Turret 382; Terran_Supply_Depot 58; Terran_Engineering_Bay 151; Terran_Science_Facility -1; Terran_Machine_Shop 566; Terran_Armory -1; Terran_Starport 568; Terran_Opening ; Terran_Academy 239; Terran_Bunker 539; Terran_Factory 461; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 82; Terran_Expansion 395; Terran_Refinery 102; Terran_Barracks2 -1; Terran_Missile_Turret 862; Terran_Supply_Depot 55; Terran_Engineering_Bay 667; Terran_Science_Facility -1; Terran_Machine_Shop 204; Terran_Armory -1; Terran_Starport -1; Terran_Opening vultures; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower -1; Terran_Comsat_Station 615; Terran_Barracks 90; Terran_Expansion 408; Terran_Refinery 106; Terran_Barracks2 462; Terran_Missile_Turret 368; Terran_Supply_Depot 60; Terran_Engineering_Bay 323; Terran_Science_Facility -1; Terran_Machine_Shop 227; Terran_Armory 576; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 547; Terran_Bunker -1; Terran_Factory 164; 
Terran_Control_Tower 750; Terran_Comsat_Station 362; Terran_Barracks 94; Terran_Expansion 261; Terran_Refinery 100; Terran_Barracks2 -1; Terran_Missile_Turret 531; Terran_Supply_Depot 55; Terran_Engineering_Bay 488; Terran_Science_Facility 771; Terran_Machine_Shop 208; Terran_Armory 549; Terran_Starport 701; Terran_Opening vultures; Terran_Academy 306; Terran_Bunker -1; Terran_Factory 151; 
Terran_Control_Tower 908; Terran_Comsat_Station 429; Terran_Barracks 97; Terran_Expansion 304; Terran_Refinery 95; Terran_Barracks2 400; Terran_Missile_Turret 343; Terran_Supply_Depot 57; Terran_Engineering_Bay 301; Terran_Science_Facility 907; Terran_Machine_Shop 214; Terran_Armory 615; Terran_Starport 828; Terran_Opening vultures; Terran_Academy 374; Terran_Bunker -1; Terran_Factory 162; 
Terran_Control_Tower -1; Terran_Comsat_Station 555; Terran_Barracks 85; Terran_Expansion 281; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 440; Terran_Supply_Depot 56; Terran_Engineering_Bay 397; Terran_Science_Facility -1; Terran_Machine_Shop 205; Terran_Armory 591; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 500; Terran_Bunker 220; Terran_Factory 153; 
Terran_Control_Tower 273; Terran_Comsat_Station 576; Terran_Barracks 96; Terran_Expansion 363; Terran_Refinery 109; Terran_Barracks2 281; Terran_Missile_Turret 472; Terran_Supply_Depot 66; Terran_Engineering_Bay 425; Terran_Science_Facility 939; Terran_Machine_Shop 240; Terran_Armory 718; Terran_Starport 226; Terran_Opening two_facto; Terran_Academy 511; Terran_Bunker 503; Terran_Factory 162; 
Terran_Control_Tower 255; Terran_Comsat_Station 650; Terran_Barracks 89; Terran_Expansion 402; Terran_Refinery 102; Terran_Barracks2 330; Terran_Missile_Turret 435; Terran_Supply_Depot 60; Terran_Engineering_Bay 341; Terran_Science_Facility -1; Terran_Machine_Shop 207; Terran_Armory 605; Terran_Starport 208; Terran_Opening air; Terran_Academy 590; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 367; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion -1; Terran_Refinery 103; Terran_Barracks2 143; Terran_Missile_Turret 466; Terran_Supply_Depot 62; Terran_Engineering_Bay 381; Terran_Science_Facility -1; Terran_Machine_Shop 203; Terran_Armory -1; Terran_Starport 292; Terran_Opening unknown; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 152; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 90; Terran_Expansion 200; Terran_Refinery -1; Terran_Barracks2 230; Terran_Missile_Turret -1; Terran_Supply_Depot 57; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 100; Terran_Expansion 361; Terran_Refinery 104; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 60; Terran_Engineering_Bay 424; Terran_Science_Facility -1; Terran_Machine_Shop 213; Terran_Armory -1; Terran_Starport -1; Terran_Opening two_facto; Terran_Academy -1; Terran_Bunker 440; Terran_Factory 160; 
Terran_Control_Tower -1; Terran_Comsat_Station 411; Terran_Barracks 90; Terran_Expansion 304; Terran_Refinery 105; Terran_Barracks2 -1; Terran_Missile_Turret 471; Terran_Supply_Depot 58; Terran_Engineering_Bay 396; Terran_Science_Facility -1; Terran_Machine_Shop 222; Terran_Armory 806; Terran_Starport -1; Terran_Opening ; Terran_Academy 346; Terran_Bunker -1; Terran_Factory 157; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 101; Terran_Expansion -1; Terran_Refinery 106; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
Terran_Control_Tower 594; Terran_Comsat_Station 551; Terran_Barracks 89; Terran_Expansion 460; Terran_Refinery 104; Terran_Barracks2 212; Terran_Missile_Turret 504; Terran_Supply_Depot 60; Terran_Engineering_Bay 459; Terran_Science_Facility 956; Terran_Machine_Shop 209; Terran_Armory 656; Terran_Starport 498; Terran_Opening vultures; Terran_Academy 476; Terran_Bunker -1; Terran_Factory 156; 
Terran_Control_Tower 806; Terran_Comsat_Station 560; Terran_Barracks 89; Terran_Expansion 218; Terran_Refinery 104; Terran_Barracks2 842; Terran_Missile_Turret 453; Terran_Supply_Depot 58; Terran_Engineering_Bay 414; Terran_Science_Facility 707; Terran_Machine_Shop 211; Terran_Armory 494; Terran_Starport 635; Terran_Opening ; Terran_Academy 498; Terran_Bunker -1; Terran_Factory 158; 
Terran_Control_Tower 981; Terran_Comsat_Station 963; Terran_Barracks 82; Terran_Expansion 319; Terran_Refinery 102; Terran_Barracks2 0; Terran_Missile_Turret 498; Terran_Supply_Depot 56; Terran_Engineering_Bay 335; Terran_Science_Facility 979; Terran_Machine_Shop 207; Terran_Armory 677; Terran_Starport 924; Terran_Opening vultures; Terran_Academy 883; Terran_Bunker -1; Terran_Factory 155; 
Terran_Control_Tower 760; Terran_Comsat_Station 319; Terran_Barracks 88; Terran_Expansion 284; Terran_Refinery 141; Terran_Barracks2 153; Terran_Missile_Turret 431; Terran_Supply_Depot 59; Terran_Engineering_Bay 390; Terran_Science_Facility 783; Terran_Machine_Shop 417; Terran_Armory 624; Terran_Starport 699; Terran_Opening ; Terran_Academy 221; Terran_Bunker 259; Terran_Factory 355; 
Terran_Control_Tower 0; Terran_Comsat_Station 688; Terran_Barracks 99; Terran_Expansion 350; Terran_Refinery 101; Terran_Barracks2 170; Terran_Missile_Turret 458; Terran_Supply_Depot 56; Terran_Engineering_Bay 405; Terran_Science_Facility -1; Terran_Machine_Shop 217; Terran_Armory 618; Terran_Starport 1043; Terran_Opening two_facto; Terran_Academy 625; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower 810; Terran_Comsat_Station 478; Terran_Barracks 100; Terran_Expansion 225; Terran_Refinery 104; Terran_Barracks2 312; Terran_Missile_Turret 361; Terran_Supply_Depot 60; Terran_Engineering_Bay 307; Terran_Science_Facility 811; Terran_Machine_Shop 216; Terran_Armory 671; Terran_Starport 760; Terran_Opening ; Terran_Academy 400; Terran_Bunker -1; Terran_Factory 159; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 100; Terran_Expansion 270; Terran_Refinery 116; Terran_Barracks2 495; Terran_Missile_Turret -1; Terran_Supply_Depot 59; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop 229; Terran_Armory -1; Terran_Starport -1; Terran_Opening vultures; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 174; 
Terran_Control_Tower 588; Terran_Comsat_Station 658; Terran_Barracks 88; Terran_Expansion 354; Terran_Refinery 101; Terran_Barracks2 -1; Terran_Missile_Turret 455; Terran_Supply_Depot 55; Terran_Engineering_Bay 405; Terran_Science_Facility 0; Terran_Machine_Shop 214; Terran_Armory 684; Terran_Starport 538; Terran_Opening unknown; Terran_Academy 541; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower 682; Terran_Comsat_Station 440; Terran_Barracks 91; Terran_Expansion 204; Terran_Refinery 105; Terran_Barracks2 180; Terran_Missile_Turret 325; Terran_Supply_Depot 63; Terran_Engineering_Bay 283; Terran_Science_Facility 686; Terran_Machine_Shop 211; Terran_Armory 255; Terran_Starport 609; Terran_Opening ; Terran_Academy 384; Terran_Bunker 226; Terran_Factory 155; 
Terran_Control_Tower 270; Terran_Comsat_Station 821; Terran_Barracks 88; Terran_Expansion 420; Terran_Refinery 102; Terran_Barracks2 190; Terran_Missile_Turret 600; Terran_Supply_Depot 60; Terran_Engineering_Bay 516; Terran_Science_Facility 828; Terran_Machine_Shop 206; Terran_Armory 495; Terran_Starport 222; Terran_Opening unknown; Terran_Academy 751; Terran_Bunker -1; Terran_Factory 154; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion 415; Terran_Refinery 145; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 61; Terran_Engineering_Bay 532; Terran_Science_Facility -1; Terran_Machine_Shop 256; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 202; 
Terran_Control_Tower 269; Terran_Comsat_Station -1; Terran_Barracks 91; Terran_Expansion 369; Terran_Refinery 99; Terran_Barracks2 186; Terran_Missile_Turret 442; Terran_Supply_Depot 64; Terran_Engineering_Bay 377; Terran_Science_Facility -1; Terran_Machine_Shop 219; Terran_Armory -1; Terran_Starport 221; Terran_Opening unknown; Terran_Academy -1; Terran_Bunker -1; Terran_Factory 166; 
Terran_Control_Tower -1; Terran_Comsat_Station 516; Terran_Barracks 93; Terran_Expansion 286; Terran_Refinery 115; Terran_Barracks2 285; Terran_Missile_Turret 427; Terran_Supply_Depot 62; Terran_Engineering_Bay 380; Terran_Science_Facility -1; Terran_Machine_Shop 221; Terran_Armory -1; Terran_Starport -1; Terran_Opening vultures; Terran_Academy 461; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower -1; Terran_Comsat_Station 308; Terran_Barracks 97; Terran_Expansion 391; Terran_Refinery 209; Terran_Barracks2 126; Terran_Missile_Turret 495; Terran_Supply_Depot 57; Terran_Engineering_Bay 455; Terran_Science_Facility -1; Terran_Machine_Shop 366; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy 225; Terran_Bunker 430; Terran_Factory 309; 
Terran_Control_Tower 858; Terran_Comsat_Station 395; Terran_Barracks 87; Terran_Expansion 225; Terran_Refinery 117; Terran_Barracks2 140; Terran_Missile_Turret 491; Terran_Supply_Depot 54; Terran_Engineering_Bay 437; Terran_Science_Facility 857; Terran_Machine_Shop 220; Terran_Armory 643; Terran_Starport 758; Terran_Opening ; Terran_Academy 339; Terran_Bunker -1; Terran_Factory 168; 
Terran_Control_Tower 377; Terran_Comsat_Station 515; Terran_Barracks 88; Terran_Expansion 242; Terran_Refinery 123; Terran_Barracks2 225; Terran_Missile_Turret 426; Terran_Supply_Depot 59; Terran_Engineering_Bay 386; Terran_Science_Facility 1061; Terran_Machine_Shop 226; Terran_Armory 909; Terran_Starport 313; Terran_Opening air; Terran_Academy 453; Terran_Bunker -1; Terran_Factory 174; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks 87; Terran_Expansion 653; Terran_Refinery 103; Terran_Barracks2 262; Terran_Missile_Turret 482; Terran_Supply_Depot 60; Terran_Engineering_Bay 422; Terran_Science_Facility -1; Terran_Machine_Shop 206; Terran_Armory -1; Terran_Starport -1; Terran_Opening unknown; Terran_Academy -1; Terran_Bunker 408; Terran_Factory 153; 
Terran_Control_Tower -1; Terran_Comsat_Station -1; Terran_Barracks -1; Terran_Expansion -1; Terran_Refinery -1; Terran_Barracks2 -1; Terran_Missile_Turret -1; Terran_Supply_Depot 0; Terran_Engineering_Bay -1; Terran_Science_Facility -1; Terran_Machine_Shop -1; Terran_Armory -1; Terran_Starport -1; Terran_Opening ; Terran_Academy -1; Terran_Bunker -1; Terran_Factory -1; 
